,Son Of Haka,Smoking Sophie,Its Your Shout,Annas Spark,By The Dram,Sky Stone
08-01-2023 17:24:33.637410,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:34.550756,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:35.554864,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 50.8)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 18.545454545454547)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:36.493868,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 61.63636363636363)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 19.666666666666668)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:37.417347,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 61.63636363636363)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 19.666666666666668)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:38.367174,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 61.63636363636363)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 19.666666666666668)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:39.514275,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 61.63636363636363)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 19.666666666666668)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:40.465875,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 62.36363636363637)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:41.389443,"(10.0, 32.0, 29.175000000000004)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:42.288950,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:43.163332,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:44.079176,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:44.971231,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:45.899697,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:46.799929,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:47.679575,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:48.601750,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:49.493471,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:50.364131,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:51.293639,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:52.221860,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:53.115067,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:53.993810,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:54.864959,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:55.775907,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:56.663215,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:57.558243,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:58.423803,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:24:59.363614,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:00.263855,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:01.170360,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 77.5)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:02.045374,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:02.904657,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:03.795933,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:04.752680,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:05.646742,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:06.607559,"(10.0, 32.0, 22.583333333333336)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:07.519016,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:08.355017,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 20.4375)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:09.279105,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:10.177192,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:11.074014,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:11.962224,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:12.881280,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 65.0)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:13.763341,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:14.767751,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:15.640957,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:16.514723,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:17.426540,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:18.304907,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:19.257939,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:20.215582,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:21.079884,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:21.987856,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:22.910675,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:23.752697,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:24.672269,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:25.586268,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:26.457461,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:27.366632,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:28.276234,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:29.155223,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
08-01-2023 17:25:30.127451,"(10.0, 32.0, 19.946666666666665)","(20.0, 170.0, 52.4)","(5.5, 9.0, 5.993333333333334)","(5.0, 9.4, 6.1000000000000005)","(14.0, 32.0, 21.72222222222222)","(1.5, 2.0, 1.5569230769230769)"
