,Cosmic Leilani,Who Told Sarah,Speedy Quokka,Dr Dulcie,Boo Boos Better,Stars Hope,Gucci Giblet,Agnes
26,"[datetime.datetime(2022, 11, 28, 14, 42, 34, 59620), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 34, 59620), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 34, 59620), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 34, 59620), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 34, 59620), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 34, 59620), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 34, 59620), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 34, 59620), 26.0, 120.0]"
27,"[datetime.datetime(2022, 11, 28, 14, 42, 35, 191798), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 35, 191798), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 35, 191798), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 35, 191798), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 35, 191798), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 35, 191798), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 35, 191798), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 35, 191798), 26.0, 120.0]"
28,"[datetime.datetime(2022, 11, 28, 14, 42, 36, 330659), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 36, 330659), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 36, 330659), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 36, 330659), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 36, 330659), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 36, 330659), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 36, 330659), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 36, 330659), 26.0, 120.0]"
29,"[datetime.datetime(2022, 11, 28, 14, 42, 37, 469925), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 37, 469925), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 37, 469925), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 37, 469925), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 37, 469925), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 37, 469925), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 37, 469925), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 37, 469925), 26.0, 120.0]"
30,"[datetime.datetime(2022, 11, 28, 14, 42, 38, 602715), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 38, 602715), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 38, 602715), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 38, 602715), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 38, 602715), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 38, 602715), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 38, 602715), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 38, 602715), 26.0, 120.0]"
31,"[datetime.datetime(2022, 11, 28, 14, 42, 39, 736407), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 39, 736407), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 39, 736407), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 39, 736407), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 39, 736407), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 39, 736407), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 39, 736407), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 39, 736407), 26.0, 120.0]"
32,"[datetime.datetime(2022, 11, 28, 14, 42, 40, 870941), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 40, 870941), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 40, 870941), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 40, 870941), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 40, 870941), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 40, 870941), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 40, 870941), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 40, 870941), 26.0, 120.0]"
33,"[datetime.datetime(2022, 11, 28, 14, 42, 42, 6905), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 42, 6905), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 42, 6905), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 42, 6905), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 42, 6905), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 42, 6905), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 42, 6905), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 42, 6905), 26.0, 120.0]"
34,"[datetime.datetime(2022, 11, 28, 14, 42, 43, 146085), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 43, 146085), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 43, 146085), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 43, 146085), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 43, 146085), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 43, 146085), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 43, 146085), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 43, 146085), 26.0, 120.0]"
35,"[datetime.datetime(2022, 11, 28, 14, 42, 44, 272394), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 14, 42, 44, 272394), 3.7, 5.7]","[datetime.datetime(2022, 11, 28, 14, 42, 44, 272394), 4.2, 6.6]","[datetime.datetime(2022, 11, 28, 14, 42, 44, 272394), 7.5, 14.5]","[datetime.datetime(2022, 11, 28, 14, 42, 44, 272394), 31.0, 230.0]","[datetime.datetime(2022, 11, 28, 14, 42, 44, 272394), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 14, 42, 44, 272394), 3.0, 6.0]","[datetime.datetime(2022, 11, 28, 14, 42, 44, 272394), 26.0, 120.0]"
