,Terrific Keith,Lochinvar Jazz,Hannele Bale,Daksha Bale,Gotham Diva,Long Shadow,Vance Bale,Dr Ronald
11-01-2023 19:44:42.495166,"(1.95, 3.0, 2.651666666666667)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 10.246153846153845)","(31.0, 120.0, 47.2)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:43.698605,"(1.95, 2.98, 2.65)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 11.0, 10.377777777777776)","(31.0, 120.0, 47.2)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:44.890634,"(1.95, 2.98, 2.65)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 11.0, 10.377777777777776)","(31.0, 120.0, 47.2)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:46.214112,"(1.95, 2.98, 2.65)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 11.0, 10.377777777777776)","(31.0, 120.0, 47.2)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:47.519070,"(1.95, 2.98, 2.65)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 11.0, 10.377777777777776)","(31.0, 120.0, 47.2)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:48.787341,"(1.95, 2.98, 2.6683333333333334)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.072727272727272)","(8.0, 11.0, 10.377777777777776)","(31.0, 120.0, 47.2)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:49.991509,"(1.95, 2.98, 2.6683333333333334)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.072727272727272)","(8.0, 11.0, 10.377777777777776)","(31.0, 120.0, 47.2)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:51.234933,"(1.95, 2.98, 2.772222222222222)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.072727272727272)","(8.0, 11.0, 10.377777777777776)","(31.0, 120.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:52.622703,"(1.95, 3.15, 2.69578125)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.072727272727272)","(8.0, 11.0, 10.377777777777776)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:53.983028,"(1.95, 2.96, 2.7466666666666666)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.694117647058825)","(8.0, 11.0, 12.61)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.3333333333333335)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:55.324289,"(1.95, 2.96, 2.7466666666666666)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 8.36)","(8.0, 14.5, 11.91)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:44:56.665044,"(1.95, 2.96, 2.7466666666666666)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.9)","(8.0, 13.5, 11.91)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
