,Zipping Ontario,Dembe,Zipping Tracker,Mrs Chinn,Opawa Conan,Gitan
12-01-2023 16:08:14.707919,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:15.557792,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:16.414705,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:17.311595,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:18.214899,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:19.105655,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:19.946346,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:20.809806,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:21.738823,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:22.589723,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:23.408368,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:24.307114,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:25.182592,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:26.074461,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:27.304762,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:28.391972,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:29.431589,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:30.470729,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:31.534520,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:32.519763,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:33.739724,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:34.636865,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:35.641607,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:36.588622,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:37.494379,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:38.432314,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:39.316948,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:40.241582,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:41.114548,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:41.982797,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:42.948142,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:43.841836,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:44.715115,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:45.565698,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:46.500558,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:47.428405,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:48.622663,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:49.973163,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:50.968957,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:51.904031,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:53.008027,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:54.215790,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:55.298994,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:56.366970,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:57.266486,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:58.173338,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:59.022111,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:08:59.925197,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:00.838629,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:01.940952,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:02.902190,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:03.775774,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:04.647832,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:05.572971,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:06.508714,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:07.709960,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:08.843289,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:09.691232,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:10.595195,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:11.622933,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:12.621832,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:13.692522,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:14.620088,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 10.290909090909091)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:15.593954,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:16.564954,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:17.541688,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:18.492718,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:19.424047,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.173684210526316)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:20.401908,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:21.532626,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:22.525452,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:23.507683,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:24.526636,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:25.500416,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:26.645645,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:27.838426,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:28.839432,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:29.829789,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:30.794164,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:31.803184,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:32.707361,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:33.746485,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 11.721875)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:34.812067,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:35.799188,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:36.980310,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:37.909223,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:38.827297,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:39.856927,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
12-01-2023 16:09:40.870087,"(7.5, 16.0, 14.571428571428571)","(4.8, 7.8, 6.919047619047619)","(21.0, 160.0, 106.15384615384616)","(8.5, 16.0, 14.676923076923078)","(4.6, 12.5, 8.985714285714284)","(1.8, 2.88, 2.7161702127659573)"
