,Ocean Girl,Letter To You,Hurricane Daisy,Behind Greywalls,Gethsemane,Wolf,Queen Zipper
08-12-2022 14:36:10.052777,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:11.330196,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:12.646400,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:13.948857,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:15.150978,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:16.309248,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:17.538185,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:18.771493,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:20.068673,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:21.393949,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 8.114285714285714)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:22.689767,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.64, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:23.976667,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 10.0, 7.538095238095238)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
