,Maybe Tomorrow,Yamazaki Riot,Blocked Knows,Smell Like Beans,Slingshot Xena,Slingshot Sneaky
22,"[datetime.datetime(2022, 11, 28, 19, 36, 47, 284887), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 47, 284887), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 47, 284887), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 47, 284887), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 47, 284887), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 47, 284887), 5.0, 7.6]"
23,"[datetime.datetime(2022, 11, 28, 19, 36, 48, 381958), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 48, 381958), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 48, 381958), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 48, 381958), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 48, 381958), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 48, 381958), 5.0, 7.6]"
24,"[datetime.datetime(2022, 11, 28, 19, 36, 49, 479941), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 49, 479941), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 49, 479941), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 49, 479941), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 49, 479941), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 49, 479941), 5.0, 7.6]"
25,"[datetime.datetime(2022, 11, 28, 19, 36, 50, 574356), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 50, 574356), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 50, 574356), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 50, 574356), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 50, 574356), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 50, 574356), 5.0, 7.6]"
26,"[datetime.datetime(2022, 11, 28, 19, 36, 51, 671217), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 51, 671217), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 51, 671217), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 51, 671217), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 51, 671217), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 51, 671217), 5.0, 7.6]"
27,"[datetime.datetime(2022, 11, 28, 19, 36, 52, 776036), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 52, 776036), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 52, 776036), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 52, 776036), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 52, 776036), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 52, 776036), 5.0, 7.6]"
28,"[datetime.datetime(2022, 11, 28, 19, 36, 53, 874798), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 53, 874798), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 53, 874798), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 53, 874798), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 53, 874798), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 53, 874798), 5.0, 8.2]"
29,"[datetime.datetime(2022, 11, 28, 19, 36, 54, 978265), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 54, 978265), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 54, 978265), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 54, 978265), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 54, 978265), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 54, 978265), 5.0, 8.2]"
30,"[datetime.datetime(2022, 11, 28, 19, 36, 56, 91720), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 56, 91720), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 56, 91720), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 56, 91720), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 56, 91720), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 56, 91720), 5.0, 8.2]"
31,"[datetime.datetime(2022, 11, 28, 19, 36, 57, 194160), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 19, 36, 57, 194160), 16.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 36, 57, 194160), 2.0, 3.4]","[datetime.datetime(2022, 11, 28, 19, 36, 57, 194160), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 36, 57, 194160), 4.2, 7.2]","[datetime.datetime(2022, 11, 28, 19, 36, 57, 194160), 5.0, 8.0]"
