,My Mate Tip,Roman Blazer,Zipping James,Extreme Rock,Dundee Rebel,Ox The Man,Legal Bud
07-01-2023 20:02:28.802639,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:29.845856,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:31.087023,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:32.718039,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:34.080544,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:35.367011,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:36.596824,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:37.693634,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:38.853240,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:40.065388,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:41.259930,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:42.393051,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:43.647929,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:44.865381,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:45.908469,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:47.114000,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:48.304975,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:49.435331,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 18.375)","(7.0, 14.0, 13.112)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 21.3)"
07-01-2023 20:02:50.629863,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 20.083333333333332)","(7.0, 14.0, 12.593103448275862)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.923076923076923)"
07-01-2023 20:02:51.880733,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 20.083333333333332)","(7.0, 14.5, 12.593103448275862)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.923076923076923)"
07-01-2023 20:02:53.050837,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 20.083333333333332)","(7.0, 14.5, 12.761290322580646)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.923076923076923)"
07-01-2023 20:02:54.061441,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 20.083333333333332)","(7.0, 14.5, 12.761290322580646)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.923076923076923)"
07-01-2023 20:02:55.179923,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 20.083333333333332)","(7.0, 14.5, 12.761290322580646)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.923076923076923)"
07-01-2023 20:02:56.368039,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 3.65)","(6.0, 14.0, 7.2444444444444445)","(10.0, 21.0, 20.083333333333332)","(7.0, 14.5, 12.761290322580646)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:02:57.519886,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.6519801980198014)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.714285714285715)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:02:58.662935,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.6519801980198014)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.714285714285715)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:02:59.811313,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.6519801980198014)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.714285714285715)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:00.923206,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.6519801980198014)","(6.0, 14.0, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 14.5, 15.946666666666665)","(4.0, 7.6, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:02.142803,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 16.5, 15.946666666666665)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:03.440822,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 16.5, 15.946666666666665)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:04.653830,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 16.5, 15.946666666666665)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:05.785335,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 16.5, 15.946666666666665)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:06.884861,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 16.5, 15.946666666666665)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:08.128364,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 16.5, 15.946666666666665)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:09.200335,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 16.5, 15.946666666666665)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:10.369080,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 16.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:11.525609,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:12.674825,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:13.807398,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:14.963391,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:16.165037,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:17.297307,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:18.586586,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.714285714285715)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:20.054875,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:21.300602,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:22.753166,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:24.019432,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:25.165993,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:26.360872,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:27.518927,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:28.500526,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:29.712441,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 6.465384615384615)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:30.919552,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 8.2, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:32.104684,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:33.236774,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:34.440661,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:35.651060,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:36.934829,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:38.156258,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:39.308935,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 23.75892857142857)"
07-01-2023 20:03:40.344324,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.4, 4.206818181818182)","(6.0, 15.5, 14.65)","(10.0, 21.0, 20.142857142857142)","(7.0, 17.5, 16.880000000000003)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.875)"
07-01-2023 20:03:41.451688,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:42.611101,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:43.661321,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:44.724195,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:45.812578,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:46.888082,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:47.996210,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:49.163452,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:50.334442,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:51.385054,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:52.564331,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:53.728485,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:54.808630,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:55.854075,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:57.010154,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:58.128825,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
07-01-2023 20:03:59.194074,"(4.2, 5.9, 4.925000000000001)","(3.3, 5.3, 4.02258064516129)","(6.0, 14.0, 12.943396226415095)","(10.0, 21.0, 20.142857142857142)","(7.0, 14.5, 13.927272727272728)","(4.0, 7.6, 5.793548387096774)","(11.0, 24.0, 22.916666666666664)"
