,Indy Ghost,Xandra Bale,Star Impact,Impresario,Elite Jet,Release The Rage,Hill Top Jonnie,Ice Star
11-01-2023 20:19:58.317364,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.81818181818182)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:19:59.428618,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.81818181818182)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:20:00.569902,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.81818181818182)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:20:01.716403,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.81818181818182)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:20:02.933441,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.81818181818182)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:20:04.223425,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.81818181818182)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:20:05.434570,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 20.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 181.0)"
11-01-2023 20:20:06.570265,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 20.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 2.013)","(41.0, 320.0, 150.15384615384613)"
11-01-2023 20:20:07.683472,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 20.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 2.013)","(41.0, 320.0, 150.15384615384613)"
11-01-2023 20:20:08.789015,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 20.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 2.013)","(41.0, 320.0, 150.15384615384613)"
11-01-2023 20:20:09.906750,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 20.727272727272727)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 2.013)","(41.0, 320.0, 150.15384615384613)"
11-01-2023 20:20:11.076205,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 2.013)","(41.0, 320.0, 150.15384615384613)"
11-01-2023 20:20:12.253949,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.090909090909093)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 2.013)","(41.0, 320.0, 182.0)"
11-01-2023 20:20:13.513138,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.454545454545453)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 2.013)","(41.0, 320.0, 182.0)"
11-01-2023 20:20:14.784453,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.454545454545453)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 2.013)","(41.0, 320.0, 119.27272727272727)"
11-01-2023 20:20:16.039883,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 21.81818181818182)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 2.013)","(41.0, 320.0, 119.27272727272727)"
11-01-2023 20:20:17.397106,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 2.013)","(41.0, 320.0, 145.23076923076923)"
11-01-2023 20:20:18.750995,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 2.013)","(41.0, 320.0, 145.23076923076923)"
11-01-2023 20:20:20.030586,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 145.23076923076923)"
11-01-2023 20:20:21.349327,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 145.23076923076923)"
11-01-2023 20:20:22.508107,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 145.23076923076923)"
11-01-2023 20:20:23.710927,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 145.23076923076923)"
11-01-2023 20:20:24.814320,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 145.23076923076923)"
11-01-2023 20:20:25.979116,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 145.23076923076923)"
11-01-2023 20:20:27.124717,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:28.274052,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:29.441499,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 48.36363636363636)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:30.616929,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 56.92307692307693)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:31.742198,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 56.92307692307693)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:32.835515,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 56.92307692307693)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:33.928758,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 56.92307692307693)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:35.040979,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:36.184065,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:37.303618,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:38.457842,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:39.641020,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9677272727272728)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:40.789929,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:41.917756,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:42.954006,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:43.989707,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:45.040365,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:46.093093,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:47.219265,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:48.353649,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:49.439298,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 50.54545454545455)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:50.525204,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:51.604730,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 169.6)"
11-01-2023 20:20:52.651854,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 147.6923076923077)"
11-01-2023 20:20:53.793187,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 147.6923076923077)"
11-01-2023 20:20:54.866482,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 147.6923076923077)"
11-01-2023 20:20:55.957278,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 147.6923076923077)"
11-01-2023 20:20:57.047026,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 147.6923076923077)"
11-01-2023 20:20:58.133379,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 147.6923076923077)"
11-01-2023 20:20:59.175794,"(11.0, 25.0, 14.818181818181818)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 147.6923076923077)"
11-01-2023 20:21:00.234785,"(11.0, 25.0, 13.1)","(31.0, 100.0, 47.63636363636364)","(15.0, 40.0, 24.6875)","(18.0, 44.0, 26.8125)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:21:01.312382,"(11.0, 25.0, 13.470588235294118)","(31.0, 100.0, 62.0)","(15.0, 40.0, 24.6875)","(18.0, 44.0, 26.8125)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:21:02.420463,"(11.0, 25.0, 13.470588235294118)","(31.0, 100.0, 62.0)","(15.0, 40.0, 24.6875)","(18.0, 44.0, 26.8125)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:21:03.593913,"(11.0, 25.0, 13.470588235294118)","(31.0, 100.0, 53.125)","(15.0, 40.0, 24.6875)","(18.0, 44.0, 26.8125)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:21:04.737170,"(11.0, 25.0, 13.470588235294118)","(31.0, 100.0, 53.125)","(15.0, 40.0, 24.6875)","(18.0, 44.0, 26.8125)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:21:05.806364,"(11.0, 25.0, 13.470588235294118)","(31.0, 100.0, 53.125)","(15.0, 40.0, 24.6875)","(18.0, 44.0, 26.8125)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:21:06.901610,"(11.0, 25.0, 13.470588235294118)","(31.0, 100.0, 53.125)","(15.0, 40.0, 24.6875)","(18.0, 44.0, 26.8125)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:21:07.972029,"(11.0, 25.0, 13.470588235294118)","(31.0, 100.0, 53.75)","(15.0, 40.0, 24.6875)","(18.0, 44.0, 26.8125)","(2.7, 4.4, 3.2857142857142856)","(7.5, 16.0, 13.266666666666666)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 180.0)"
11-01-2023 20:21:09.144077,"(11.0, 25.0, 13.470588235294118)","(31.0, 100.0, 53.75)","(15.0, 40.0, 22.18181818181818)","(18.0, 44.0, 24.0)","(2.7, 4.4, 3.3815384615384616)","(7.5, 16.0, 11.444444444444443)","(1.85, 2.76, 1.9991666666666665)","(41.0, 320.0, 147.6923076923077)"
