,Epic Rooster,Off Grid,Diamond Georgio,Daves Deal,Homebush Rocket,Laredo Jewel,Nighthawk Swift,Sour Lemon
15-12-2022 14:06:25.022150,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:26.396416,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:28.062479,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:29.643049,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:30.987279,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:32.353693,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:33.634339,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:34.944295,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:36.225506,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:37.595601,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:39.035933,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:40.288995,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:41.539402,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:42.812430,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:44.068021,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:45.404418,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:46.774202,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:48.195573,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:49.368544,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:50.674372,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:51.855105,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:53.125688,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:54.482599,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:55.863685,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:57.157172,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:58.532703,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:59.918853,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:01.251351,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:02.498749,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.885714285714286)","(5.5, 9.2, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:03.704444,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:04.925155,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:06.152920,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:07.368907,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:08.530274,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:09.646541,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:10.805225,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:11.957139,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:13.188890,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:14.448981,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:15.737057,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:16.867184,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:17.990203,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:19.030116,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:20.195039,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:21.419185,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:22.616517,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:23.724227,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:24.848457,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:26.005216,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:27.267642,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:28.516747,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:29.740338,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:30.955852,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:32.333291,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:33.679688,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:35.039766,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:36.356604,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:37.612635,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:38.974525,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:40.301188,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.864)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:41.536167,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.6, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:42.995190,"(2.2, 4.1, 3.2104347826086954)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:44.441150,"(2.2, 4.1, 3.2104347826086954)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:45.733030,"(2.2, 4.1, 3.2104347826086954)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:47.016890,"(2.2, 4.1, 3.2104347826086954)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:48.288187,"(2.2, 4.1, 3.2104347826086954)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:49.523469,"(2.2, 4.1, 3.2104347826086954)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.2, 6.742857142857143)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:50.672357,"(2.2, 4.1, 3.2104347826086954)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.2, 6.742857142857143)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:07:51.953885,"(2.2, 4.1, 3.2104347826086954)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.4, 6.885714285714286)","(5.5, 9.2, 6.742857142857143)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
