,Repeal,Thats Better,Bottom Bar,Iron Hat,Single Touch,Anchors Point,Ghost Hunter,Miss Mazerati,Chill Out Miss,Allusive Eve
09-01-2023 13:07:23.422172,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:24.814490,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:26.118962,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:27.448769,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:28.856487,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:30.230973,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:31.580763,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:32.848157,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:34.155134,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:35.419259,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:36.705743,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:37.923442,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:39.250189,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:40.551635,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:41.812702,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:43.088244,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:44.452478,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:45.847999,"(18.0, 65.0, 56.36363636363637)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:47.217774,"(18.0, 65.0, 56.36363636363637)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:48.497390,"(18.0, 65.0, 56.36363636363637)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:49.776120,"(18.0, 65.0, 56.36363636363637)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:51.064654,"(18.0, 65.0, 56.36363636363637)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:52.288386,"(18.0, 65.0, 56.36363636363637)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:53.499932,"(18.0, 65.0, 56.36363636363637)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:54.682080,"(18.0, 65.0, 56.36363636363637)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:55.907239,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:57.139398,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:58.354348,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:59.668122,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:00.950953,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:02.318275,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:03.651244,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:05.041120,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:06.426791,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:07.772097,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:09.119696,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:10.459233,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:11.804296,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:13.054773,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:14.390245,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:15.656090,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:16.937728,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:18.224876,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:19.608779,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:21.001817,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:22.445104,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:23.812506,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:25.256352,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:26.565459,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:27.934732,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:29.275772,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:30.616121,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:31.952133,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:08:33.263478,"(18.0, 65.0, 33.0)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
