,Baggys Gold,Zambrana,Bigsy,Romarosa,Dundee Velvet,Jet Like Rico,Little Nellie,Lakeview Raymond
05-01-2023 17:09:38.866096,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.0)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:40.192130,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 7.9375)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:41.342099,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 7.9375)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:42.486888,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 7.9375)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.66)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:43.747329,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 8.969999999999999)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.94, 2.66)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:45.347321,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 10.850000000000001)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.94, 2.66)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:46.852413,"(10.0, 26.0, 17.11111111111111)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 10.850000000000001)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.94, 2.66)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:48.309717,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.94, 2.66)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:49.576184,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.94, 2.66)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:50.760433,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.94, 2.66)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:51.957066,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.94, 2.66)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:53.133695,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.94, 2.66)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:54.337835,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.94, 2.6)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:55.581911,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.92, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:56.722137,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:57.940862,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:59.099829,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:00.317010,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:01.494595,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:02.660622,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:03.896427,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:05.095332,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:06.301670,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:07.451415,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:08.642223,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:09.751963,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.0, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:10.849110,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:11.924841,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.9, 2.6466666666666665)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:13.106936,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.7359999999999998)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:14.288919,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:15.510070,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:16.720234,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:17.993669,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:19.219004,"(10.0, 26.0, 16.3125)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:20.467231,"(10.0, 26.0, 16.3125)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:21.710870,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:22.941734,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:24.145992,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:25.369702,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 7.7625)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:26.512333,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 11.589473684210526)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:27.607427,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 11.589473684210526)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:28.718254,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 10.008333333333333)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:29.763573,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.25)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.592)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:30.891966,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.25)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.88, 2.605)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:31.995714,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.472727272727273)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.86, 2.605)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:33.122975,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.25)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.86, 2.605)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:34.298682,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.25)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.86, 2.584)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:35.430983,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.25)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.84, 2.584)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:36.551902,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.25)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.82, 2.62)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:37.713110,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.25)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.82, 2.62)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:38.891684,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 10.850000000000001)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.82, 2.62)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:40.082792,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 10.850000000000001)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.82, 2.62)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:41.324779,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 10.850000000000001)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.82, 2.62)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:42.540219,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 10.850000000000001)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.82, 2.62)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:43.721369,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 10.850000000000001)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.82, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:44.861807,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 10.850000000000001)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:45.881661,"(10.0, 26.0, 16.3125)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:47.031142,"(10.0, 26.0, 16.3125)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:48.177533,"(10.0, 26.0, 16.3125)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:49.430517,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:50.653517,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:51.923907,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:53.196339,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:54.512372,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:55.809934,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:57.143304,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:58.393957,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.342857142857142)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:10:59.676340,"(10.0, 26.0, 18.0)","(6.5, 13.0, 8.49090909090909)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:11:00.949048,"(10.0, 26.0, 18.0)","(6.5, 13.0, 8.49090909090909)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:11:02.247146,"(10.0, 26.0, 18.0)","(6.5, 13.0, 8.49090909090909)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:11:03.528071,"(10.0, 26.0, 18.0)","(6.5, 13.0, 9.061538461538461)","(7.5, 14.5, 9.854545454545455)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.54, 2.524)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
