,Tiggys Em,Blackpool Blade,Rebels Spark,Son Of Cecil,Morning Lily,Nineteen Crimes,Inga Sally,Chloes Comet
12-01-2023 16:41:18.270511,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:19.453168,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:20.818243,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:21.909449,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:23.047758,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:24.358098,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:25.657399,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:26.790094,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:27.917989,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:29.031080,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:30.115353,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:31.167196,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:32.207092,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:33.350185,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:34.545427,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:35.759032,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:36.977076,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:38.167089,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:39.359009,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:40.754059,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:42.113328,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:43.416525,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:44.803571,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:46.227402,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:47.455601,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:48.747164,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:50.061326,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:51.287754,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:52.587534,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:53.815745,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:55.015782,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:56.189716,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:57.358445,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:58.663191,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:59.915530,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:01.226684,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:02.514540,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:03.814254,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:05.106953,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:06.457165,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:07.732523,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:08.986580,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:10.240422,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:11.494861,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:12.718999,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:13.875298,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:42:15.074228,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.833333333333336)","(5.0, 7.6, 5.266666666666667)"
