,Jayville Glory,Irenes A Star,She Has Zip,All Inn Ryder,Funky Felix,Dimes Ambition,Forcefully,La La Nebraska
15-12-2022 11:38:46.147359,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:47.301687,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:48.438396,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:49.493543,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:50.588792,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:51.714145,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:52.899089,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:54.106208,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:38:55.266779,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:38:56.347666,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:38:57.521273,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:38:58.679827,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:38:59.811986,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:39:00.979065,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:39:02.206933,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:39:03.360202,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:39:04.544273,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:39:05.729551,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:39:06.879764,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 16.066666666666666)"
15-12-2022 11:39:08.116852,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:09.290157,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:10.436920,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:11.549917,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:12.858798,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:14.130083,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:15.473496,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:16.885444,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:18.239700,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:19.677114,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:20.968484,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:22.132869,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:23.283453,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:24.442674,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:25.581248,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:26.690714,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:27.728065,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:28.869326,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:30.036355,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:31.214981,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:32.394647,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:33.567720,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:34.638280,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:35.623670,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:36.666626,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:37.713859,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:38.765102,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:39.790094,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:40.766427,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:41.773370,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:42.861174,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:43.992875,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:45.156825,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:46.229753,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:47.305785,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:48.318119,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:49.309351,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:50.397930,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:51.531490,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:52.612544,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:53.706566,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:54.718845,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:55.735592,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
15-12-2022 11:39:56.859080,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.26923076923077)","(6.5, 12.0, 9.975)","(10.0, 27.0, 18.5)","(7.0, 15.5, 10.541666666666668)","(4.8, 7.0, 5.8)","(9.0, 17.0, 14.714285714285714)"
