,Little Auckland,Hurricane Dream,Shesherz,Feelin Flirty,Akermanis,Lookat Mee,Studleigh Patricia,Delta Three Nz,Village Smirker,Beau Hart
16-12-2022 12:53:52.992990,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 225.0)"
16-12-2022 12:53:54.186912,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:53:55.404516,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:53:56.599936,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:53:57.795285,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:53:59.035912,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:00.243706,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:01.515774,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:02.791280,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:04.039400,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:05.319564,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:06.540279,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:07.765652,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:09.042853,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:10.352306,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:11.677733,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:12.926483,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:14.111698,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:15.425198,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:16.667490,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:17.894133,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:19.118394,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:20.336407,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:21.536466,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:22.745773,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:23.971229,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:25.250089,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:26.463467,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:27.776517,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:29.097591,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:30.375790,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:31.694645,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:32.996553,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:34.233654,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:35.514647,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:36.814189,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:38.179021,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:39.495172,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:40.745028,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:41.955999,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:43.171917,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:44.434853,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 31.0)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:45.694614,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 38.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 35.714285714285715)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:46.918024,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:48.233934,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:49.598847,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:50.958028,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:52.329825,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:53.667226,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:55.025996,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:56.382309,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:57.733169,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:54:59.113850,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:00.485764,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:01.807295,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:03.123392,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:04.493539,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:05.866410,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:07.233733,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:08.605532,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:10.040671,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:11.483137,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:12.929915,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
16-12-2022 12:55:14.273498,"(71.0, 270.0, 233.0)","(4.0, 5.4, 4.435714285714286)","(26.0, 55.0, 33.666666666666664)","(21.0, 50.0, 39.5)","(19.0, 36.0, 28.2)","(3.6, 6.4, 5.757142857142857)","(20.0, 42.0, 28.0)","(1.8, 99999, 99990)","(41.0, 160.0, 77.5)","(101.0, 250.0, 225.0)"
