,Foxpath,Lika Swift,Acrion,Atlantic Ridge,Ricco Doro,Gone Ahead,Kiloran Bay,Bella Cinque,Fine Rebel,Invest And Profit,Move On Over,Martha Lavinia
07-01-2023 12:52:40.628478,"(6.0, 8.6, 8.021052631578947)","(21.0, 40.0, 35.0)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 17.5, 16.883561643835616)","(41.0, 70.0, 66.25)","(21.0, 48.0, 46.0)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.366666666666667)","(14.0, 22.0, 20.857142857142858)","(51.0, 85.0, 75.0)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:42.221922,"(6.0, 8.6, 8.1)","(21.0, 40.0, 38.30769230769231)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 17.5, 15.25)","(41.0, 70.0, 66.25)","(21.0, 50.0, 46.0)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.366666666666667)","(14.0, 22.0, 20.666666666666668)","(51.0, 85.0, 75.0)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:43.736288,"(6.0, 8.6, 8.276470588235293)","(21.0, 40.0, 38.30769230769231)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 16.0, 14.125)","(41.0, 70.0, 66.25)","(21.0, 50.0, 46.0)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.366666666666667)","(14.0, 22.0, 21.94736842105263)","(51.0, 85.0, 75.0)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:45.183483,"(6.0, 8.6, 8.276470588235293)","(21.0, 40.0, 38.30769230769231)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 16.0, 13.916666666666666)","(41.0, 70.0, 66.25)","(21.0, 50.0, 46.0)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.366666666666667)","(14.0, 23.0, 21.333333333333332)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:46.775648,"(6.0, 8.6, 8.276470588235293)","(21.0, 40.0, 38.30769230769231)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 16.0, 13.840909090909092)","(41.0, 70.0, 66.25)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.366666666666667)","(14.0, 23.0, 20.5)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:48.309575,"(6.0, 8.6, 8.276470588235293)","(21.0, 40.0, 35.0)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 16.0, 13.840909090909092)","(41.0, 70.0, 66.25)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.65)","(14.0, 23.0, 21.333333333333332)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:49.809134,"(6.0, 8.6, 8.276470588235293)","(21.0, 40.0, 35.0)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 16.0, 14.109756097560975)","(41.0, 70.0, 66.25)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.366666666666667)","(14.0, 23.0, 21.333333333333332)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:51.266743,"(6.0, 8.6, 8.276470588235293)","(21.0, 40.0, 35.0)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.35)","(14.0, 16.0, 14.109756097560975)","(41.0, 70.0, 66.25)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.366666666666667)","(14.0, 23.0, 21.636363636363637)","(51.0, 85.0, 75.0)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:52.752120,"(6.0, 8.6, 8.276470588235293)","(21.0, 40.0, 35.0)","(4.2, 4.8, 4.701004016064257)","(6.0, 7.8, 7.294736842105263)","(14.0, 16.0, 14.109756097560975)","(41.0, 70.0, 66.25)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.5)","(8.0, 11.5, 10.65)","(14.0, 23.0, 21.529411764705884)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
07-01-2023 12:52:54.318265,"(6.0, 8.6, 8.310526315789474)","(21.0, 40.0, 35.0)","(4.2, 4.8, 4.611111111111112)","(6.0, 7.8, 7.466666666666667)","(14.0, 16.0, 14.109756097560975)","(41.0, 70.0, 67.85714285714286)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.975409836065573)","(8.0, 11.5, 10.65)","(14.0, 22.0, 22.166666666666668)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.830303030303031)"
