,Sweet Enough,Alpha Princess,Durham,Coonamble Kid,Adulate,Fancy A Scotch,Crystal Chaos,Wheres The Bar
11-01-2023 15:25:27.776433,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:29.050955,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:30.392201,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:31.737472,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:33.079826,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:34.386985,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:35.882581,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:37.309196,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:38.772180,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:40.378766,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:42.035657,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:43.399389,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:44.771861,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:46.182179,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:47.490149,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:48.819725,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:50.166466,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:51.446058,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:52.834960,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:54.269396,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:55.583933,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:56.895646,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:58.279215,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:59.624500,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:00.961486,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:02.331304,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:03.725447,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:04.983824,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:06.242557,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:07.563606,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:08.747318,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:10.067697,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:11.433092,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:12.699300,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:13.973806,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:15.463180,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:16.898321,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:18.213186,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:19.520959,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:20.824899,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:22.083529,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:23.371964,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:24.737009,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:25.935552,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:27.291682,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:28.636674,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:29.914339,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:31.337343,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:32.702560,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:34.017241,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:35.466561,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:36.732891,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:38.218892,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:39.598561,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:40.933695,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:42.311868,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:43.752532,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:45.078603,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:46.422398,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:47.761468,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:49.088350,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:50.441867,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:51.738492,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:53.048278,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:54.384683,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:55.731316,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:57.035436,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:58.262704,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:26:59.531711,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:27:00.865579,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:27:02.172805,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 18.05)","(61.0, 550.0, 326.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 405.0)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:27:03.524351,"(41.0, 460.0, 193.75)","(10.0, 21.0, 18.05)","(61.0, 550.0, 326.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 600.0)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:27:04.890993,"(41.0, 460.0, 193.75)","(10.0, 21.0, 18.05)","(61.0, 550.0, 326.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 600.0)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:27:06.170399,"(41.0, 460.0, 193.75)","(10.0, 21.0, 18.05)","(61.0, 550.0, 326.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 600.0)","(2.6, 4.3, 3.597142857142857)"
11-01-2023 15:27:07.488244,"(41.0, 460.0, 193.75)","(10.0, 21.0, 18.05)","(61.0, 550.0, 326.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 600.0)","(2.6, 4.3, 3.597142857142857)"
