,Glass Warrior,So Astounding,Travelling Gigolo,Super Swoop,Bell Ringer Boy,King Island,Steel Skies,Always A Winner,Not A Brass Razoo,The Executive,Sunset Gun,The Decider
06-01-2023 16:43:08.315293,"(11.0, 16.0, 15.2)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:09.774917,"(11.0, 16.0, 15.2)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:11.266996,"(11.0, 16.0, 15.2)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:12.771351,"(11.0, 16.0, 15.2)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.642105263157895)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:14.245144,"(11.0, 16.0, 14.833333333333334)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.65)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:15.698533,"(11.0, 16.0, 14.833333333333334)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.65)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:17.218326,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.65)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:18.829217,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.65)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:20.341718,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.65)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:21.857139,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.65)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:23.318425,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.65)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
06-01-2023 16:43:24.790664,"(11.0, 18.5, 16.5)","(7.5, 11.5, 10.15)","(2.7, 3.25, 3.2125)","(19.0, 22.0, 21.2)","(7.5, 9.4, 8.65)","(15.0, 32.0, 21.5)","(13.0, 19.5, 17.75)","(21.0, 32.0, 28.0)","(7.0, 11.0, 9.879999999999999)","(7.5, 9.8, 8.7)","(61.0, 180.0, 110.0)","(26.0, 48.0, 35.5)"
