,Wispy Bale,Flash The Hand,Hawk Girl,Redbank Molly,Post The Zipper,Brockies Way,Lucky Ethics,Magical Touch
10-01-2023 20:58:13.249417,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:14.575136,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:15.761214,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:17.007575,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:18.148475,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:19.314312,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:20.429388,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:21.613914,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:22.774660,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:24.183731,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:25.526626,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:26.813131,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:27.950153,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:29.110698,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:30.267227,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:31.469503,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:32.779693,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:33.905160,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:35.064976,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:36.235676,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:37.398903,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:38.569712,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:39.756889,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:40.962744,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:42.230238,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:43.465960,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:44.747511,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:45.941152,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:47.122836,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:48.252902,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:49.386364,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:50.488277,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:51.701336,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:52.942679,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:54.139908,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.414285714285715)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:55.397621,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:56.473329,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:57.660983,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:58.880603,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:59:00.147440,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:59:01.403036,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:59:02.637291,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:59:03.861431,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:59:05.027116,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 55.09090909090909)","(61.0, 520.0, 226.25)"
10-01-2023 20:59:06.176266,"(9.0, 18.0, 15.133333333333333)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.0, 16.166666666666668)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 55.09090909090909)","(61.0, 520.0, 226.25)"
10-01-2023 20:59:07.325486,"(9.0, 18.0, 15.133333333333333)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.0, 16.166666666666668)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 55.09090909090909)","(61.0, 520.0, 226.25)"
10-01-2023 20:59:08.479321,"(9.0, 18.0, 15.133333333333333)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.0, 16.166666666666668)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 55.09090909090909)","(61.0, 520.0, 226.25)"
10-01-2023 20:59:09.632090,"(9.0, 18.0, 15.133333333333333)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.0, 16.166666666666668)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 55.09090909090909)","(61.0, 520.0, 226.25)"
10-01-2023 20:59:10.782551,"(9.0, 18.0, 15.133333333333333)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.0, 16.166666666666668)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 55.09090909090909)","(61.0, 520.0, 226.25)"
10-01-2023 20:59:12.044116,"(9.0, 18.0, 15.133333333333333)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.0, 16.166666666666668)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 55.09090909090909)","(61.0, 520.0, 226.25)"
10-01-2023 20:59:13.470960,"(9.0, 18.0, 15.133333333333333)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.0, 16.166666666666668)","(6.5, 10.5, 10.896470588235294)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 55.09090909090909)","(61.0, 520.0, 226.25)"
10-01-2023 20:59:14.755398,"(9.0, 18.0, 15.133333333333333)","(3.6, 8.8, 7.428571428571429)","(10.0, 19.0, 16.166666666666668)","(6.5, 11.0, 10.896470588235294)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 55.09090909090909)","(61.0, 520.0, 226.25)"
