,Blue Yap,Mcentire,Untroubled,Touch Of Speed,Blue Stingray,Irinka Anna,Just Dream,Lady On Fire
09-01-2023 14:33:08.022983,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:09.289266,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:10.510896,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:11.995388,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:13.143922,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:14.448178,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:15.615262,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:16.871665,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:18.078089,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:19.315456,"(5.0, 10.0, 9.316666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:20.590431,"(5.0, 10.0, 9.316666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:21.752347,"(5.0, 10.0, 9.316666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:22.917254,"(5.0, 10.0, 9.316666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:24.000041,"(5.0, 10.0, 9.316666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:25.111519,"(5.0, 10.0, 9.316666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:26.306405,"(5.0, 10.0, 9.316666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:27.503877,"(5.0, 10.0, 9.316666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:28.728295,"(5.0, 10.0, 9.26153846153846)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:29.935952,"(5.0, 10.0, 8.955555555555556)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:31.095633,"(5.0, 10.0, 8.685714285714287)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:32.285325,"(5.0, 10.0, 8.685714285714287)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:33.390948,"(5.0, 10.0, 8.685714285714287)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:34.477192,"(5.0, 10.0, 7.5)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:35.596824,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:36.664717,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:37.830807,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:39.000744,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:40.176240,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:41.333908,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:42.471371,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:43.540568,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:44.597320,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:45.634300,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:46.641376,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:47.878705,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:49.100073,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:50.327083,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:51.589187,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:52.901053,"(5.0, 10.0, 7.555555555555555)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:54.235944,"(5.0, 10.0, 8.566666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:55.484217,"(5.0, 10.0, 8.566666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:56.700364,"(5.0, 10.0, 8.566666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:57.854036,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:58.978668,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:00.066019,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:01.215219,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:02.378714,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:03.519517,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:04.651892,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:05.751284,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:06.955019,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:08.191681,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:09.427102,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:10.669080,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:11.900913,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:13.160692,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:14.381261,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:15.606182,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:16.731356,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:17.901241,"(5.0, 10.0, 7.666666666666666)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:19.106493,"(5.0, 10.0, 8.633333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:20.316665,"(5.0, 10.0, 8.633333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:21.547564,"(5.0, 10.0, 8.633333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:22.722537,"(5.0, 10.0, 8.633333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:23.907254,"(5.0, 10.0, 8.633333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:25.105176,"(5.0, 10.0, 8.633333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:26.211806,"(5.0, 10.0, 8.633333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:27.378908,"(5.0, 10.0, 8.633333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:28.631468,"(5.0, 10.0, 8.5)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:29.860079,"(5.0, 10.0, 8.321428571428571)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:31.136065,"(5.0, 10.0, 8.321428571428571)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:34:32.345621,"(5.0, 10.0, 8.321428571428571)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
