,Cortes,Darksaber,Kokonotsu,Lonfire,Ponte Vecchio,Rackermann,The Woke Waiter,Thornycroft,Dreamtime Girl,Field The Moment,Shuffle Dancer
14-12-2022 14:26:25.886238,"(11.0, 15.0, 14.789473684210526)","(31.0, 60.0, 54.285714285714285)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.526315789473685)","(31.0, 70.0, 56.8)","(1.95, 2.2, 2.182650602409639)","(11.0, 15.0, 14.984848484848484)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 31.6)","(7.0, 9.2, 9.173333333333332)","(10.0, 12.5, 12.492307692307692)"
14-12-2022 14:26:27.711036,"(11.0, 15.0, 14.789473684210526)","(31.0, 60.0, 54.285714285714285)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.666666666666666)","(31.0, 70.0, 56.8)","(1.95, 2.2, 2.167978436657682)","(11.0, 15.0, 14.984848484848484)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 32.4)","(7.0, 9.4, 9.184000000000001)","(10.0, 12.5, 12.492307692307692)"
14-12-2022 14:26:29.416269,"(11.0, 15.0, 14.789473684210526)","(31.0, 60.0, 54.285714285714285)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.666666666666666)","(31.0, 70.0, 56.8)","(1.95, 2.18, 2.161692307692308)","(11.0, 15.0, 14.826530612244898)","(12.0, 16.5, 15.847826086956522)","(26.0, 34.0, 32.4)","(7.0, 9.4, 9.184000000000001)","(10.0, 12.5, 12.633333333333333)"
14-12-2022 14:26:31.107298,"(11.0, 15.0, 14.789473684210526)","(31.0, 60.0, 54.285714285714285)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.666666666666666)","(31.0, 70.0, 56.8)","(1.95, 2.18, 2.1454411764705883)","(11.0, 15.5, 14.826530612244898)","(12.0, 16.5, 15.847826086956522)","(26.0, 34.0, 32.08695652173913)","(7.0, 9.4, 9.184000000000001)","(10.0, 13.0, 12.767857142857142)"
14-12-2022 14:26:32.841566,"(11.0, 15.0, 14.789473684210526)","(31.0, 60.0, 55.07692307692308)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.666666666666666)","(31.0, 70.0, 56.8)","(1.95, 2.16, 2.1454411764705883)","(11.0, 15.5, 14.826530612244898)","(12.0, 16.5, 15.847826086956522)","(26.0, 34.0, 32.08695652173913)","(7.0, 9.4, 9.236363636363636)","(10.0, 13.0, 12.8125)"
14-12-2022 14:26:34.523846,"(11.0, 15.0, 14.789473684210526)","(31.0, 60.0, 55.07692307692308)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.75)","(31.0, 70.0, 56.8)","(1.95, 2.16, 2.1350943396226416)","(11.0, 15.5, 14.826530612244898)","(12.0, 16.5, 15.9)","(26.0, 34.0, 32.08695652173913)","(7.0, 9.4, 9.236363636363636)","(10.0, 13.0, 12.763157894736842)"
14-12-2022 14:26:36.321293,"(11.0, 15.0, 14.625)","(31.0, 60.0, 49.6)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.75)","(31.0, 70.0, 56.8)","(1.95, 2.14, 2.1350943396226416)","(11.0, 15.5, 14.859223300970873)","(12.0, 16.5, 15.9)","(26.0, 34.0, 32.08695652173913)","(7.0, 9.4, 9.236363636363636)","(10.0, 13.0, 12.763157894736842)"
14-12-2022 14:26:38.002431,"(11.0, 15.0, 14.625)","(31.0, 55.0, 49.6)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.75)","(31.0, 70.0, 56.8)","(1.95, 2.14, 2.1350943396226416)","(11.0, 15.5, 14.905405405405405)","(12.0, 16.5, 15.9)","(26.0, 34.0, 32.08695652173913)","(7.0, 9.4, 9.236363636363636)","(10.0, 13.0, 12.763157894736842)"
14-12-2022 14:26:39.704203,"(11.0, 15.0, 14.625)","(31.0, 55.0, 49.6)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.75)","(31.0, 70.0, 56.8)","(1.95, 2.14, 2.1514)","(11.0, 15.5, 14.905405405405405)","(12.0, 16.5, 15.9)","(26.0, 34.0, 33.2)","(7.0, 9.4, 9.236363636363636)","(10.0, 13.0, 12.763157894736842)"
14-12-2022 14:26:41.383973,"(11.0, 15.0, 14.625)","(31.0, 55.0, 49.6)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.75)","(31.0, 70.0, 56.8)","(1.95, 2.16, 2.1514)","(11.0, 15.5, 14.905405405405405)","(12.0, 16.5, 15.9)","(26.0, 34.0, 33.2)","(7.0, 9.4, 9.236363636363636)","(10.0, 13.0, 12.853333333333333)"
14-12-2022 14:26:42.995648,"(11.0, 15.0, 14.625)","(31.0, 55.0, 49.6)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.75)","(31.0, 70.0, 56.8)","(1.95, 2.16, 2.1514)","(11.0, 15.5, 14.905405405405405)","(12.0, 16.5, 15.9)","(26.0, 34.0, 33.2)","(7.0, 9.4, 9.236363636363636)","(10.0, 13.0, 12.853333333333333)"
14-12-2022 14:26:44.678031,"(11.0, 15.0, 14.806451612903226)","(31.0, 55.0, 51.142857142857146)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.75)","(31.0, 70.0, 59.09090909090909)","(1.95, 2.16, 2.1779735682819386)","(11.0, 15.5, 14.905405405405405)","(12.0, 16.5, 15.9)","(26.0, 34.0, 33.2)","(7.0, 9.4, 9.236363636363636)","(10.0, 13.0, 12.761904761904763)"
14-12-2022 14:26:46.319894,"(11.0, 15.0, 14.806451612903226)","(31.0, 55.0, 51.142857142857146)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.75)","(31.0, 70.0, 59.09090909090909)","(1.95, 2.18, 2.1779735682819386)","(11.0, 15.5, 14.905405405405405)","(12.0, 16.5, 15.9)","(26.0, 34.0, 32.8)","(7.0, 9.4, 9.1)","(10.0, 13.0, 12.727272727272727)"
14-12-2022 14:26:48.027760,"(11.0, 15.0, 14.789473684210526)","(31.0, 55.0, 51.142857142857146)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 59.09090909090909)","(1.95, 2.18, 2.1779735682819386)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.8)","(7.5, 9.4, 9.1)","(10.0, 13.0, 12.727272727272727)"
14-12-2022 14:26:49.688655,"(11.0, 15.0, 14.789473684210526)","(31.0, 55.0, 52.0)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 62.0)","(1.95, 2.18, 2.1779735682819386)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.8)","(7.5, 9.4, 9.1)","(10.0, 13.0, 12.727272727272727)"
14-12-2022 14:26:51.655558,"(11.0, 15.0, 14.789473684210526)","(31.0, 55.0, 52.0)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 59.09090909090909)","(1.95, 2.18, 2.1779735682819386)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.8)","(7.5, 9.4, 9.1)","(10.0, 13.0, 12.727272727272727)"
14-12-2022 14:26:53.434762,"(11.0, 15.0, 14.789473684210526)","(31.0, 55.0, 52.0)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.18, 2.1779735682819386)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.8)","(7.5, 9.4, 9.057142857142857)","(10.0, 13.0, 12.727272727272727)"
14-12-2022 14:26:55.207266,"(11.0, 15.0, 14.789473684210526)","(31.0, 55.0, 52.0)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.18, 2.1779735682819386)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.8)","(7.5, 9.4, 9.057142857142857)","(10.0, 13.0, 12.272727272727273)"
14-12-2022 14:26:56.929287,"(11.0, 15.0, 14.789473684210526)","(31.0, 55.0, 53.714285714285715)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.18, 2.196756756756757)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.8)","(7.5, 9.4, 9.100000000000001)","(10.0, 12.0, 11.909090909090908)"
14-12-2022 14:26:58.684296,"(11.0, 15.0, 14.789473684210526)","(31.0, 55.0, 53.714285714285715)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.196756756756757)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.8)","(7.5, 9.4, 9.100000000000001)","(10.0, 12.0, 11.909090909090908)"
14-12-2022 14:27:00.584732,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.714285714285715)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.196727272727273)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.8)","(7.5, 9.4, 9.100000000000001)","(10.0, 12.0, 11.909090909090908)"
14-12-2022 14:27:02.323118,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.714285714285715)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.198277511961723)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 31.866666666666667)","(7.5, 9.4, 9.100000000000001)","(10.0, 12.0, 12.32089552238806)"
14-12-2022 14:27:04.129976,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.714285714285715)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.1984549356223178)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 31.866666666666667)","(7.5, 9.4, 9.100000000000001)","(10.0, 12.5, 12.307142857142857)"
14-12-2022 14:27:06.090116,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.714285714285715)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.833333333333334)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.196275303643725)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 31.866666666666667)","(7.5, 9.4, 9.100000000000001)","(10.0, 12.5, 12.307142857142857)"
14-12-2022 14:27:08.124063,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.714285714285715)","(41.0, 70.0, 65.13333333333334)","(11.0, 15.0, 14.277777777777779)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.196275303643725)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 31.866666666666667)","(7.5, 9.2, 9.015384615384615)","(10.0, 12.5, 12.344827586206897)"
14-12-2022 14:27:09.816250,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.6)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.277777777777779)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.196275303643725)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 31.866666666666667)","(7.5, 9.2, 8.975)","(10.0, 12.5, 12.344827586206897)"
14-12-2022 14:27:11.478925,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.333333333333336)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.166666666666666)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.196275303643725)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 31.866666666666667)","(7.5, 9.2, 8.975)","(10.0, 12.5, 12.344827586206897)"
14-12-2022 14:27:13.148313,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.333333333333336)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.166666666666666)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.196275303643725)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 31.866666666666667)","(7.5, 9.2, 8.975)","(10.0, 12.5, 12.344827586206897)"
14-12-2022 14:27:14.758871,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.333333333333336)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.166666666666666)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.2, 2.194857142857143)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 31.866666666666667)","(7.5, 9.2, 8.975)","(10.0, 12.5, 12.23)"
14-12-2022 14:27:16.431210,"(11.0, 15.0, 14.755102040816327)","(31.0, 55.0, 53.6)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.267857142857142)","(31.0, 70.0, 52.666666666666664)","(1.95, 2.2, 2.1960869565217394)","(11.0, 15.5, 14.86734693877551)","(12.0, 16.5, 16.25)","(26.0, 34.0, 32.0)","(7.5, 9.2, 9.0)","(10.0, 12.5, 12.207317073170731)"
14-12-2022 14:27:18.080768,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 53.333333333333336)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.22340425531915)","(31.0, 70.0, 63.14285714285714)","(1.95, 2.2, 2.1960869565217394)","(11.0, 15.5, 14.852941176470589)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.0)","(7.5, 9.2, 9.057142857142857)","(10.0, 12.0, 11.875)"
14-12-2022 14:27:19.739436,"(11.0, 15.0, 14.76923076923077)","(31.0, 55.0, 54.583333333333336)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.117647058823529)","(31.0, 70.0, 67.33333333333333)","(1.95, 2.2, 2.1960869565217394)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.0)","(7.5, 9.2, 9.057142857142857)","(10.0, 12.0, 11.891304347826086)"
14-12-2022 14:27:21.336705,"(11.0, 15.0, 14.784313725490197)","(31.0, 55.0, 54.416666666666664)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.117647058823529)","(31.0, 70.0, 67.33333333333333)","(1.95, 2.2, 2.1960869565217394)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.0)","(7.5, 9.2, 9.057142857142857)","(10.0, 12.0, 11.966666666666667)"
14-12-2022 14:27:23.125976,"(11.0, 15.0, 14.784313725490197)","(31.0, 55.0, 54.416666666666664)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.117647058823529)","(31.0, 70.0, 56.666666666666664)","(1.95, 2.2, 2.172826747720365)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.0)","(7.5, 9.2, 9.184615384615384)","(10.0, 12.5, 11.966666666666667)"
14-12-2022 14:27:24.874802,"(11.0, 15.0, 14.784313725490197)","(31.0, 55.0, 54.5625)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.117647058823529)","(31.0, 70.0, 56.666666666666664)","(1.95, 2.18, 2.172826747720365)","(11.0, 15.5, 14.877358490566039)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.0)","(7.5, 9.4, 9.16551724137931)","(10.0, 12.5, 12.0)"
14-12-2022 14:27:26.680126,"(11.0, 15.0, 14.803571428571429)","(31.0, 55.0, 54.5625)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.117647058823529)","(31.0, 70.0, 56.666666666666664)","(1.95, 2.18, 2.164561403508772)","(11.0, 15.5, 14.912844036697248)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.0)","(7.5, 9.4, 9.145454545454546)","(10.0, 12.5, 12.025423728813559)"
14-12-2022 14:27:28.350792,"(11.0, 15.0, 14.803571428571429)","(31.0, 55.0, 54.5625)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.117647058823529)","(31.0, 70.0, 56.666666666666664)","(1.95, 2.18, 2.164561403508772)","(11.0, 15.5, 14.912844036697248)","(12.0, 16.5, 16.38888888888889)","(26.0, 34.0, 32.0)","(7.5, 9.4, 9.145454545454546)","(10.0, 12.5, 11.806930693069306)"
14-12-2022 14:27:30.093374,"(11.0, 15.0, 14.79245283018868)","(31.0, 55.0, 54.416666666666664)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.216666666666667)","(31.0, 70.0, 56.666666666666664)","(1.95, 2.18, 2.16)","(11.0, 15.5, 14.898058252427184)","(12.0, 16.5, 16.25)","(26.0, 34.0, 32.0)","(7.5, 9.4, 9.145454545454546)","(10.0, 12.5, 12.194444444444445)"
14-12-2022 14:27:31.677805,"(11.0, 15.0, 14.79245283018868)","(31.0, 55.0, 54.416666666666664)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.216666666666667)","(31.0, 70.0, 56.666666666666664)","(1.95, 2.18, 2.16)","(11.0, 15.5, 14.898058252427184)","(12.0, 16.5, 16.25)","(26.0, 34.0, 32.0)","(7.5, 9.4, 9.145454545454546)","(10.0, 12.5, 12.2)"
14-12-2022 14:27:33.232639,"(11.0, 15.0, 14.65625)","(31.0, 55.0, 54.416666666666664)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.075)","(31.0, 70.0, 56.666666666666664)","(1.95, 2.14, 2.134777777777778)","(11.0, 15.5, 14.898058252427184)","(12.0, 16.5, 16.25)","(26.0, 34.0, 32.0)","(7.5, 9.4, 9.145454545454546)","(10.0, 12.5, 12.2)"
14-12-2022 14:27:34.804724,"(11.0, 15.0, 14.65625)","(31.0, 55.0, 54.416666666666664)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.075)","(31.0, 70.0, 64.28571428571429)","(1.95, 2.14, 2.137621621621622)","(11.0, 15.5, 14.87962962962963)","(12.0, 16.5, 16.25)","(26.0, 34.0, 32.0)","(7.5, 9.4, 9.145454545454546)","(10.0, 12.5, 12.2)"
14-12-2022 14:27:36.353127,"(11.0, 15.0, 14.710526315789474)","(31.0, 55.0, 50.76315789473684)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.16)","(31.0, 85.0, 76.25)","(1.95, 2.14, 2.137731958762887)","(11.0, 15.5, 14.887931034482758)","(12.0, 17.0, 16.5)","(26.0, 36.0, 35.22222222222222)","(7.5, 9.4, 9.208)","(10.0, 12.5, 12.15)"
14-12-2022 14:27:37.875630,"(11.0, 15.0, 14.710526315789474)","(31.0, 55.0, 49.03703703703704)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.16)","(31.0, 80.0, 76.25)","(1.95, 2.14, 2.1355656108597287)","(11.0, 15.5, 14.941176470588236)","(12.0, 17.0, 16.5)","(26.0, 36.0, 35.22222222222222)","(7.5, 9.4, 9.208)","(10.0, 12.5, 12.15)"
14-12-2022 14:27:39.511641,"(11.0, 15.0, 14.710526315789474)","(31.0, 55.0, 50.26470588235294)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.16)","(31.0, 80.0, 76.25)","(1.95, 2.14, 2.1355656108597287)","(11.0, 15.5, 14.941176470588236)","(12.0, 17.0, 16.5)","(26.0, 36.0, 35.22222222222222)","(7.5, 9.4, 9.208)","(10.0, 12.5, 12.15)"
14-12-2022 14:27:41.119764,"(11.0, 15.0, 14.744186046511627)","(31.0, 55.0, 49.806451612903224)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.075)","(31.0, 80.0, 76.25)","(1.95, 2.14, 2.1351960784313726)","(11.0, 15.5, 15.075)","(12.0, 17.0, 16.5)","(26.0, 36.0, 35.625)","(7.5, 9.4, 9.178947368421053)","(10.0, 12.5, 12.153284671532846)"
14-12-2022 14:27:42.624136,"(11.0, 15.0, 14.744186046511627)","(31.0, 55.0, 49.806451612903224)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.138297872340425)","(31.0, 80.0, 76.25)","(1.95, 2.14, 2.1375141242937854)","(11.0, 15.5, 15.075)","(12.0, 17.0, 16.5)","(26.0, 36.0, 35.625)","(7.5, 9.4, 9.232)","(10.0, 12.5, 12.153284671532846)"
14-12-2022 14:27:44.105775,"(11.0, 15.0, 14.744186046511627)","(31.0, 55.0, 48.80769230769231)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.16)","(31.0, 80.0, 76.25)","(1.95, 2.14, 2.1430379746835446)","(11.0, 15.5, 15.075)","(12.0, 17.0, 16.5)","(26.0, 36.0, 35.625)","(7.5, 9.4, 9.232)","(10.0, 12.5, 12.15)"
14-12-2022 14:27:45.592109,"(11.0, 15.0, 14.744186046511627)","(31.0, 55.0, 50.121212121212125)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.095238095238095)","(31.0, 80.0, 76.25)","(1.95, 2.16, 2.147338129496403)","(11.0, 15.5, 14.921052631578947)","(12.0, 17.0, 16.5)","(26.0, 36.0, 34.833333333333336)","(7.5, 9.4, 9.232)","(10.0, 12.5, 12.137037037037038)"
14-12-2022 14:27:47.017558,"(11.0, 15.0, 14.695652173913043)","(31.0, 55.0, 50.121212121212125)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.153061224489797)","(31.0, 80.0, 76.25)","(1.95, 2.16, 2.147338129496403)","(11.0, 15.5, 15.98)","(12.0, 17.0, 16.333333333333332)","(26.0, 36.0, 34.833333333333336)","(7.5, 9.4, 9.229999999999999)","(10.0, 12.5, 12.137037037037038)"
14-12-2022 14:27:48.520485,"(11.0, 15.0, 14.695652173913043)","(31.0, 55.0, 50.121212121212125)","(41.0, 70.0, 65.13333333333334)","(11.0, 14.5, 14.181818181818182)","(31.0, 80.0, 76.25)","(1.95, 2.16, 2.147153284671533)","(11.0, 16.5, 16.243243243243242)","(12.0, 17.0, 16.333333333333332)","(26.0, 36.0, 34.833333333333336)","(7.5, 9.4, 9.133333333333333)","(10.0, 12.5, 12.137037037037038)"
