,Bushmans Prayer,Ishmy Ruby,Short Deuce,My Dad Baz,Tame The Beast,American Star,Nullify
12-01-2023 10:35:47.661939,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:48.613461,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:49.643689,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:50.670650,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:51.693082,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:52.656717,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:53.642326,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:54.691425,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:55.756514,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:56.802759,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:57.829649,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:58.771287,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:59.752551,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:00.783755,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:01.846745,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:02.889953,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:03.851796,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:04.867749,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:05.960220,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:07.035326,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:08.079605,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:09.068912,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:10.061149,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:11.129866,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:12.214309,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:13.270741,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:14.289640,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:15.232063,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:16.218434,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:17.267652,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:18.283091,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:19.263800,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:20.249869,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:21.329773,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:22.372203,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:23.413368,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:24.405106,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:25.387627,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:26.420735,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:27.483078,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:28.495721,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:29.415559,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:30.405164,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:31.524174,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:32.599784,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:33.681968,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:34.685853,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:35.755213,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:36.809869,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:37.897300,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:38.867043,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:39.889779,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:40.978488,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:42.184448,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:43.279100,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 7.887499999999999)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:44.281293,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:45.422887,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:46.528476,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:47.653204,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:48.722596,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:49.864870,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:51.021226,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:52.329948,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:53.557929,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:54.630588,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:55.820531,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:56.936377,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:57.972687,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:36:59.157202,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:37:00.361062,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:37:01.533785,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.78125)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
