,Just Admit It,Vinny Can Gogh,Jax,Rogue Temptation,Mt View Buck,Poppy To Burn,Orson Franky,Laras Love
20,"[datetime.datetime(2022, 11, 28, 15, 4, 42, 995557), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 42, 995557), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 42, 995557), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 42, 995557), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 42, 995557), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 42, 995557), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 42, 995557), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 42, 995557), 11.0, 22.0]"
21,"[datetime.datetime(2022, 11, 28, 15, 4, 44, 122494), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 44, 122494), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 44, 122494), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 44, 122494), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 44, 122494), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 44, 122494), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 44, 122494), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 44, 122494), 11.0, 22.0]"
22,"[datetime.datetime(2022, 11, 28, 15, 4, 45, 254335), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 45, 254335), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 45, 254335), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 45, 254335), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 45, 254335), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 45, 254335), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 45, 254335), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 45, 254335), 11.0, 22.0]"
23,"[datetime.datetime(2022, 11, 28, 15, 4, 46, 378905), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 46, 378905), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 46, 378905), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 46, 378905), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 46, 378905), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 46, 378905), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 46, 378905), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 46, 378905), 11.0, 22.0]"
24,"[datetime.datetime(2022, 11, 28, 15, 4, 47, 507547), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 47, 507547), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 47, 507547), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 47, 507547), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 47, 507547), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 47, 507547), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 47, 507547), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 47, 507547), 11.0, 22.0]"
25,"[datetime.datetime(2022, 11, 28, 15, 4, 48, 631834), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 48, 631834), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 48, 631834), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 48, 631834), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 48, 631834), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 48, 631834), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 48, 631834), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 48, 631834), 11.0, 22.0]"
26,"[datetime.datetime(2022, 11, 28, 15, 4, 49, 760930), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 49, 760930), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 49, 760930), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 49, 760930), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 49, 760930), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 49, 760930), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 49, 760930), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 49, 760930), 11.0, 22.0]"
27,"[datetime.datetime(2022, 11, 28, 15, 4, 50, 891253), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 50, 891253), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 50, 891253), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 50, 891253), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 50, 891253), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 50, 891253), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 50, 891253), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 50, 891253), 11.0, 22.0]"
28,"[datetime.datetime(2022, 11, 28, 15, 4, 52, 16940), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 52, 16940), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 52, 16940), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 52, 16940), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 52, 16940), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 52, 16940), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 52, 16940), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 4, 52, 16940), 11.0, 22.0]"
29,"[datetime.datetime(2022, 11, 28, 15, 4, 53, 150322), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 53, 150322), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 53, 150322), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 53, 150322), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 53, 150322), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 53, 150322), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 53, 150322), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 15, 4, 53, 150322), 11.0, 22.0]"
