,Count On Me,Direct Affect,Jessandi,Mikasa,Myeyesadoreyou,Penfold Park,Calm Down,Dark Lever
15-12-2022 13:09:37.266945,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:38.536377,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:39.799525,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:41.049812,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:42.357253,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:43.558194,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:44.754072,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:45.904190,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:47.115314,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:48.342736,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:49.508009,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.23469387755102)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:50.684312,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.3, 5.23469387755102)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:51.812923,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.3, 5.23469387755102)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:53.047960,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.3, 4.833333333333333)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:54.139703,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.3, 4.833333333333333)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:55.291317,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.3, 4.833333333333333)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:56.508164,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.2, 5.0)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:57.695679,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 38.0, 35.25)","(3.8, 5.2, 5.0)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:58.843379,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 38.0, 35.25)","(3.8, 5.2, 5.0)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:59.910703,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 38.0, 35.25)","(3.8, 5.2, 4.944444444444445)","(41.0, 280.0, 115.0)"
15-12-2022 13:10:01.007549,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 38.0, 35.25)","(3.8, 5.3, 5.053846153846154)","(41.0, 280.0, 115.0)"
15-12-2022 13:10:02.151622,"(6.0, 7.4, 7.393220338983051)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.785714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.3, 5.092307692307693)","(41.0, 280.0, 115.0)"
15-12-2022 13:10:03.277575,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.8)","(3.7, 4.4, 4.355555555555556)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.2, 4.9)","(41.0, 280.0, 115.0)"
15-12-2022 13:10:04.331033,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 20.0, 19.875)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.2, 5.007692307692308)","(41.0, 280.0, 186.0)"
15-12-2022 13:10:05.493953,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 26.0, 24.2)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.1, 5.007692307692308)","(41.0, 270.0, 180.0)"
15-12-2022 13:10:06.604196,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 26.0, 24.2)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.1, 5.007692307692308)","(41.0, 260.0, 180.0)"
15-12-2022 13:10:07.753494,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 26.0, 24.2)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.1, 4.98125)","(41.0, 260.0, 180.0)"
15-12-2022 13:10:08.898323,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 25.0, 23.88888888888889)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.2, 5.007692307692308)","(41.0, 260.0, 174.0)"
15-12-2022 13:10:10.076256,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 23.11111111111111)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.1, 4.6571428571428575)","(41.0, 250.0, 174.0)"
15-12-2022 13:10:11.310084,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 23.11111111111111)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.0, 4.644736842105263)","(41.0, 250.0, 127.5)"
15-12-2022 13:10:12.476499,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 23.11111111111111)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 5.0, 4.74)","(41.0, 240.0, 127.5)"
15-12-2022 13:10:13.677434,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 23.11111111111111)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.74)","(41.0, 240.0, 127.5)"
15-12-2022 13:10:14.850003,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 23.11111111111111)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.88876404494382)","(41.0, 240.0, 150.0)"
15-12-2022 13:10:16.027584,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 23.11111111111111)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.88876404494382)","(41.0, 240.0, 188.57142857142858)"
15-12-2022 13:10:17.159697,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 20.75)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.88876404494382)","(41.0, 230.0, 181.42857142857142)"
15-12-2022 13:10:18.241213,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 22.7)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.88876404494382)","(41.0, 230.0, 174.28571428571428)"
15-12-2022 13:10:19.373755,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 21.214285714285715)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.015384615384615)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.88876404494382)","(41.0, 220.0, 174.28571428571428)"
15-12-2022 13:10:20.524391,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 22.285714285714285)","(3.7, 4.4, 4.3)","(5.0, 8.4, 7.828571428571428)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.7)","(41.0, 220.0, 142.5)"
15-12-2022 13:10:21.695923,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 22.285714285714285)","(3.7, 4.4, 4.3)","(5.0, 8.4, 7.828571428571428)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.7)","(41.0, 220.0, 142.5)"
15-12-2022 13:10:22.948056,"(6.0, 7.4, 7.393650793650794)","(4.4, 5.6, 5.428571428571429)","(14.0, 24.0, 22.285714285714285)","(3.7, 4.4, 4.3)","(5.0, 8.4, 8.2)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.7)","(41.0, 220.0, 168.33333333333331)"
15-12-2022 13:10:24.147154,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.88876404494382)","(41.0, 220.0, 142.5)"
15-12-2022 13:10:25.393939,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.65)","(41.0, 220.0, 137.5)"
15-12-2022 13:10:26.541331,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 210.0, 137.5)"
15-12-2022 13:10:27.687525,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 210.0, 132.5)"
15-12-2022 13:10:28.963276,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 200.0, 132.5)"
15-12-2022 13:10:30.107449,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 200.0, 132.5)"
15-12-2022 13:10:31.271425,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 200.0, 132.5)"
15-12-2022 13:10:32.365165,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 200.0, 132.5)"
15-12-2022 13:10:33.549936,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 200.0, 132.5)"
15-12-2022 13:10:34.648795,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 200.0, 132.5)"
15-12-2022 13:10:35.864115,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 21.6)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.838655462184874)","(41.0, 200.0, 127.5)"
15-12-2022 13:10:37.057819,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.7)","(41.0, 180.0, 122.5)"
15-12-2022 13:10:38.246566,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.7)","(41.0, 180.0, 117.5)"
15-12-2022 13:10:39.496905,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.96)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.7)","(41.0, 170.0, 112.5)"
15-12-2022 13:10:40.764606,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 9.4, 7.684210526315789)","(20.0, 38.0, 35.25)","(3.8, 4.9, 4.65)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:41.979516,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 9.2, 7.949999999999999)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:43.270836,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 9.0, 7.949999999999999)","(20.0, 38.0, 35.25)","(3.8, 4.8, 4.65)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:44.502015,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 9.0, 8.0)","(20.0, 38.0, 29.869565217391305)","(3.8, 4.8, 4.65)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:45.705820,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 8.8, 8.0)","(20.0, 38.0, 29.869565217391305)","(3.8, 4.8, 4.65)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:46.910522,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 8.8, 8.0)","(20.0, 38.0, 29.869565217391305)","(3.8, 4.8, 4.65)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:48.110477,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 8.8, 7.933333333333333)","(20.0, 38.0, 32.4)","(3.8, 4.8, 4.84390243902439)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:49.372088,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 8.6, 7.933333333333333)","(20.0, 36.0, 32.4)","(3.8, 5.0, 4.84390243902439)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:50.568506,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 8.6, 7.933333333333333)","(20.0, 36.0, 32.4)","(3.8, 5.0, 4.84390243902439)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:51.678527,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 18.94736842105263)","(3.7, 4.4, 4.3)","(5.0, 8.6, 7.933333333333333)","(20.0, 36.0, 30.0)","(3.8, 5.0, 4.766666666666667)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:52.925810,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 19.82608695652174)","(3.7, 4.4, 4.314285714285714)","(5.0, 8.6, 7.933333333333333)","(20.0, 36.0, 31.5)","(3.8, 4.9, 4.766666666666667)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:54.114423,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 20.307692307692307)","(3.7, 4.4, 4.314285714285714)","(5.0, 8.6, 8.36)","(20.0, 36.0, 31.5)","(3.8, 4.9, 4.766666666666667)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:55.373816,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 20.307692307692307)","(3.7, 4.4, 4.314285714285714)","(5.0, 8.6, 8.36)","(20.0, 36.0, 31.5)","(3.8, 4.9, 4.766666666666667)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:56.635543,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 19.11111111111111)","(3.7, 4.4, 4.314285714285714)","(5.0, 8.6, 8.0)","(20.0, 36.0, 31.5)","(3.8, 4.9, 4.766666666666667)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:57.829767,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 19.11111111111111)","(3.7, 4.4, 4.314285714285714)","(5.0, 8.4, 8.0)","(20.0, 36.0, 31.5)","(3.8, 4.9, 4.766666666666667)","(41.0, 160.0, 112.5)"
15-12-2022 13:10:59.014015,"(6.0, 7.4, 7.393548387096774)","(4.4, 5.6, 5.3999999999999995)","(14.0, 24.0, 19.11111111111111)","(3.7, 4.4, 4.314285714285714)","(5.0, 8.4, 8.0)","(20.0, 36.0, 31.5)","(3.8, 4.9, 4.888636363636364)","(41.0, 160.0, 112.5)"
