,Miss Indi,Up The Score,Skylas Elite,Upper West Side,Locked Up,Our Girl Lola,Unacceptable Max,Framalda
09-01-2023 13:34:16.623626,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:17.896194,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:19.155292,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:20.462169,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:21.621334,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:22.895490,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 16.068181818181817)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:24.277449,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.8)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 16.068181818181817)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:25.624838,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:26.888071,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:28.045172,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:29.288558,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:30.639492,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:31.950666,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:33.210189,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:34.566261,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:35.830266,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:37.174357,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:38.489211,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:39.780690,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:40.921238,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 16.068181818181817)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:42.112551,"(6.0, 11.0, 10.376923076923077)","(8.0, 15.0, 12.8)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 13.363636363636363)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:43.345954,"(6.0, 11.0, 7.7)","(8.0, 15.0, 12.8)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:44.615147,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:45.962631,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:47.126441,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:48.238082,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:49.509061,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:50.780446,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:52.114328,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:53.413203,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:54.706558,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:55.972677,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:57.262997,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:58.501885,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:59.755713,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:01.046052,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:02.425117,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:03.794794,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:05.176712,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:06.570414,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:07.886521,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:09.116192,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:10.419491,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:11.730464,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:12.966474,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 7.887499999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:14.229033,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:15.483728,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:16.811749,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:18.233614,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:19.632367,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:20.859553,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:22.160357,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:23.362161,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:24.603814,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:25.870127,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:27.167185,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:28.530805,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:29.912705,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:31.251741,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:32.578698,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:33.910915,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:35.173342,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:36.458091,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:37.788838,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:39.063539,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:40.398677,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:41.729959,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:43.114135,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:44.559471,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.8)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 16.068181818181817)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:45.972282,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:47.360323,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
09-01-2023 13:35:48.664319,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.75)","(6.5, 15.5, 13.325)","(4.6, 7.8, 5.3)"
