,Tiggerlong Rebel,Excess Power,Easy Breezy,Rocket Power,Silky Rose,Tat Panda,Island Chief
15-12-2022 12:09:23.844217,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:24.832322,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:25.801178,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:26.788831,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:27.922237,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:29.063921,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:30.138323,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:31.245694,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:32.369923,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:33.422864,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:34.351389,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:35.327115,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:36.267531,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:37.186245,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:38.148271,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:39.093175,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:40.075166,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:41.079254,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:42.130599,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:43.162085,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 367.6923076923077)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:44.225545,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:45.229986,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:46.250822,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:47.224410,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:48.134514,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:49.058375,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:50.006205,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:50.933805,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:51.911131,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:52.901255,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:53.906889,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:54.905731,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:55.913512,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:56.872079,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:57.830958,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:58.797676,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:59.759351,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:10:00.704558,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.08)"
15-12-2022 12:10:01.677456,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:02.675513,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:03.649838,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:04.609285,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:05.553586,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:06.485625,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:07.373463,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:08.295308,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:09.272267,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:10.347962,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:11.438239,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:12.458466,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:13.465058,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:14.501919,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:15.530905,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:16.555575,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:17.599686,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:18.610117,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:19.551154,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:20.456040,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:21.378324,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:22.349347,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:23.329917,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:24.315721,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:25.388688,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:26.432760,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:27.517392,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:28.658423,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:29.754230,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:30.738703,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:31.783837,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:32.732653,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:33.623715,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:34.518445,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:35.571824,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:36.530055,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:37.554713,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.8886666666666667)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 6.325714285714286)"
15-12-2022 12:10:38.602813,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.8886666666666667)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 7.036363636363635)"
15-12-2022 12:10:39.661591,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.8886666666666667)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 5.48695652173913)"
15-12-2022 12:10:40.670766,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.8886666666666667)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 5.48695652173913)"
15-12-2022 12:10:41.750850,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.8886666666666667)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 5.48695652173913)"
15-12-2022 12:10:42.683858,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.903)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 5.48695652173913)"
15-12-2022 12:10:43.648609,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.903)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 5.48695652173913)"
15-12-2022 12:10:44.573819,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.903)","(13.0, 29.0, 21.708333333333332)","(61.0, 560.0, 310.0)","(61.0, 560.0, 310.0)","(7.0, 14.0, 13.314285714285713)","(4.2, 8.2, 5.48695652173913)"
