,Flying Foo Foo,Imperial Master,Stellar Lad,Boogie Value,Jet Age,Winlock At Large,Penshurst Lass,Demolition
10-01-2023 13:54:18.218368,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 30.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:19.413135,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 9.972222222222221)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 30.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:20.596010,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 10.05)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 30.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:21.759687,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 10.05)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 30.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:23.002239,"(1.6, 2.16, 1.7523529411764707)","(6.0, 12.5, 10.05)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 30.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:24.128823,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 10.05)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 30.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:25.274720,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.618181818181819)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 27.333333333333336)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:26.502377,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.618181818181819)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:27.777522,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 8.37)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:29.008167,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 8.37)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:30.187505,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:31.297972,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:32.477971,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 9.35)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:33.761487,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 9.35)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:34.938800,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 8.23)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:36.014055,"(1.6, 2.16, 1.7523529411764707)","(6.0, 12.5, 8.09)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 70.4)"
10-01-2023 13:54:37.121222,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 70.4)"
10-01-2023 13:54:38.185538,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.37)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 70.4)"
10-01-2023 13:54:39.283569,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.37)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 70.4)"
10-01-2023 13:54:40.402523,"(1.6, 2.16, 1.9936585365853658)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 70.4)"
10-01-2023 13:54:41.546543,"(1.6, 2.16, 1.9936585365853658)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:42.768709,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.5, 8.363636363636363)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:44.068644,"(1.6, 2.16, 1.6191666666666666)","(6.0, 12.5, 9.35)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:45.279943,"(1.6, 2.16, 1.6191666666666666)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.5)","(13.0, 48.0, 23.6)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:46.470281,"(1.6, 2.16, 1.6191666666666666)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.794)","(13.0, 48.0, 32.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:47.704612,"(1.6, 2.16, 1.6191666666666666)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.794)","(13.0, 48.0, 32.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:48.909468,"(1.6, 2.16, 1.6191666666666666)","(6.0, 12.5, 8.09)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.7625)","(13.0, 48.0, 32.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:50.248901,"(1.6, 2.16, 1.6191666666666666)","(6.0, 12.5, 6.7250000000000005)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.7625)","(13.0, 48.0, 32.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:51.571890,"(1.6, 2.16, 1.6191666666666666)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.8779999999999997)","(13.0, 48.0, 32.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:52.759785,"(1.6, 2.16, 1.6191666666666666)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.85)","(13.0, 48.0, 35.368421052631575)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:53.942586,"(1.6, 2.16, 1.6191666666666666)","(6.0, 12.5, 9.35)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.85)","(13.0, 48.0, 35.368421052631575)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:55.146366,"(1.6, 2.16, 1.901923076923077)","(6.0, 12.5, 9.35)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.7625)","(13.0, 48.0, 35.368421052631575)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:56.336179,"(1.6, 2.16, 1.901923076923077)","(6.0, 12.0, 10.55)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.7625)","(13.0, 48.0, 35.368421052631575)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 109.53846153846153)"
10-01-2023 13:54:57.542160,"(1.6, 2.16, 1.901923076923077)","(6.0, 12.0, 10.55)","(31.0, 290.0, 116.66666666666667)","(3.4, 5.6, 3.8779999999999997)","(13.0, 48.0, 35.5)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 88.57142857142857)"
10-01-2023 13:54:58.716694,"(1.6, 2.16, 1.901923076923077)","(6.0, 12.0, 10.65)","(31.0, 290.0, 116.66666666666667)","(3.4, 5.6, 3.85)","(13.0, 48.0, 35.5)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 88.57142857142857)"
10-01-2023 13:54:59.833214,"(1.6, 2.16, 1.901923076923077)","(6.0, 12.0, 10.65)","(31.0, 290.0, 116.66666666666667)","(3.4, 5.6, 3.85)","(13.0, 48.0, 35.5)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 88.57142857142857)"
10-01-2023 13:55:00.940379,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 10.65)","(31.0, 290.0, 116.66666666666667)","(3.4, 5.6, 3.85)","(13.0, 48.0, 35.5)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 88.57142857142857)"
10-01-2023 13:55:02.026719,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 10.983333333333334)","(31.0, 290.0, 116.66666666666667)","(3.4, 5.6, 3.5)","(13.0, 48.0, 35.5)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 88.57142857142857)"
10-01-2023 13:55:03.163377,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 10.983333333333334)","(31.0, 290.0, 116.66666666666667)","(3.4, 5.6, 3.5)","(13.0, 48.0, 35.5)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 88.57142857142857)"
10-01-2023 13:55:04.500359,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 11.516666666666666)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 35.5)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 88.57142857142857)"
10-01-2023 13:55:05.722133,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 11.516666666666666)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 29.25)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 88.57142857142857)"
10-01-2023 13:55:06.950437,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 11.516666666666666)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 30.25)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:08.154280,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 10.879999999999999)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 28.555555555555557)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:09.350720,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 10.879999999999999)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.4375)","(16.0, 44.0, 27.88888888888889)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:10.738872,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 10.65)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.4375)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:12.126136,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.0, 9.25)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.4375)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:13.286757,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.5, 9.25)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.4375)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:14.440967,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.5, 8.09)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:15.607272,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.5, 8.37)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:16.835258,"(1.6, 2.16, 1.806842105263158)","(6.0, 12.5, 8.67)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:18.010760,"(1.6, 2.12, 1.79)","(6.0, 13.5, 8.67)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:19.194192,"(1.6, 2.12, 1.79)","(6.0, 13.5, 9.892307692307693)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:20.344212,"(1.6, 2.12, 1.79)","(6.0, 13.5, 10.466666666666667)","(31.0, 290.0, 116.66666666666667)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:21.535942,"(1.6, 2.12, 1.79)","(6.0, 13.5, 9.6)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 3.5)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:22.775151,"(1.6, 2.12, 1.79)","(6.0, 13.5, 9.6)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.6, 4.1)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:23.972324,"(1.6, 2.12, 1.79)","(6.0, 13.5, 9.6)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:25.329163,"(1.6, 2.12, 1.6970967741935485)","(6.0, 13.5, 9.6)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 26.75)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:26.525398,"(1.6, 2.12, 1.6970967741935485)","(6.0, 13.5, 9.6)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.375)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:27.845559,"(1.6, 2.12, 1.6970967741935485)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.375)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 86.42857142857143)"
10-01-2023 13:55:29.352815,"(1.6, 2.12, 1.6970967741935485)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.375)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:30.686914,"(1.6, 2.12, 1.6970967741935485)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.375)","(16.0, 44.0, 20.25)","(91.0, 650.0, 365.0)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:32.048973,"(1.6, 2.12, 1.6970967741935485)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 552.5)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:33.265889,"(1.6, 2.12, 1.6970967741935485)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:34.406380,"(1.6, 2.12, 1.6970967741935485)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:35.628364,"(1.6, 2.12, 1.6970967741935485)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:36.851499,"(1.6, 2.12, 1.6970967741935485)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:38.248397,"(1.6, 2.12, 1.656046511627907)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:39.558106,"(1.6, 2.12, 1.656046511627907)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:40.823339,"(1.6, 2.12, 1.656046511627907)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 61.666666666666664)"
10-01-2023 13:55:42.073549,"(1.6, 2.12, 1.656046511627907)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 87.14285714285714)"
10-01-2023 13:55:43.345599,"(1.6, 2.12, 1.656046511627907)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 552.5)","(26.0, 240.0, 87.14285714285714)"
10-01-2023 13:55:44.667309,"(1.6, 2.12, 1.656046511627907)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 27.6875)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 87.14285714285714)"
10-01-2023 13:55:46.102690,"(1.6, 2.12, 1.656046511627907)","(6.0, 16.5, 13.333333333333332)","(31.0, 290.0, 104.28571428571429)","(3.4, 5.5, 4.1)","(13.0, 48.0, 25.5)","(16.0, 44.0, 20.25)","(91.0, 650.0, 360.0)","(26.0, 240.0, 87.14285714285714)"
