,California Press,Shines,Captain George,Karuta King,Sacred Delago,Sippity Sip,Ponca,War Memorial,Skye Banner,Buckin Rippa
08-12-2022 14:54:06.531897,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.62)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 95.0, 68.84615384615384)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:07.854855,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.62)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 95.0, 69.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:09.217800,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.62)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 90.0, 69.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:10.604494,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 90.0, 69.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:12.021755,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 90.0, 69.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:13.495419,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 90.0, 69.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:14.926294,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 90.0, 69.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:16.390449,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 90.0, 69.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:17.863985,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 90.0, 60.142857142857146)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:19.288152,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 85.0, 54.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:20.717030,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 54.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:22.176858,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 54.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:23.645350,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 54.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:25.014192,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 54.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:26.396251,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 54.0)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:27.752070,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 65.55555555555556)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:29.180347,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 65.55555555555556)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:30.671675,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 65.55555555555556)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:32.106361,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 65.55555555555556)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:33.546888,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 65.55555555555556)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:35.035424,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 80.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:36.590445,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:38.098095,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:39.559142,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:40.958621,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:42.306882,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:43.657509,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:45.127471,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:46.595564,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:47.999953,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:49.441655,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 187.5)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:50.801090,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:52.225612,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 63.94117647058823)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:53.584784,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:54.908477,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:56.327060,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:57.654147,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.482352941176471)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.8235294117647056)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:58.990247,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:00.340998,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:01.698441,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:03.057819,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 6.0, 5.433333333333334)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:04.396804,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.7)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:05.807591,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.7)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:07.214559,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 5.9, 5.7)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 75.0, 68.73333333333333)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:08.654903,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 5.9, 5.323076923076923)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 75.0, 97.78947368421052)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:10.039954,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 130.0, 83.25)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:11.410352,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 130.0, 83.25)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:12.806440,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 130.0, 87.22222222222223)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:14.306408,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 110.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:15.713573,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:17.047151,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 79.6)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:18.363268,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 79.6)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:19.681985,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 79.6)","(51.0, 320.0, 276.6666666666667)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:21.146181,"(4.0, 4.8, 4.510714285714286)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 79.6)","(51.0, 320.0, 276.6666666666667)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:22.530772,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 79.6)","(51.0, 320.0, 276.6666666666667)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:23.912647,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 79.6)","(51.0, 320.0, 276.6666666666667)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:25.300890,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 79.6)","(51.0, 320.0, 276.6666666666667)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:26.797504,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 91.0)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:55:28.227468,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.3527272727272734)","(4.0, 6.0, 5.323076923076923)","(21.0, 110.0, 91.0)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 100.0, 80.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
