,Go Forward Tink,Oh Suzie,Flying Bella,Udella Bale,Hasten Jet,Pablos Star,Im Indigo,Levator
05-01-2023 13:59:49.089051,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:50.401519,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:51.673702,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:53.098399,"(9.0, 34.0, 28.125)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:54.423339,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:55.677658,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:56.879378,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:57.967497,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:59.196378,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:00.408377,"(9.0, 34.0, 28.25)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 60.333333333333336)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
