,Dinosaurus Rex,Why Not Surf,Our Uncle Harold,Ben Detto,American Shuffle Nz,Weona Sir Vivor,Rainbow Titan,Buddy Rockx,Mittys Three Aces Nz,Modern Power
11-01-2023 17:47:47.665628,"(16.0, 30.0, 26.5)","(14.0, 17.0, 16.833333333333332)","(31.0, 44.0, 42.666666666666664)","(41.0, 70.0, 63.2)","(16.0, 99999, 99990)","(4.6, 5.1, 4.895652173913044)","(18.0, 32.0, 33.9375)","(21.0, 60.0, 53.0)","(26.0, 99999, 99990)","(1.55, 1.78, 1.783404255319149)"
11-01-2023 17:47:48.901861,"(16.0, 30.0, 26.5)","(14.0, 17.0, 16.8)","(31.0, 44.0, 43.2)","(41.0, 80.0, 63.2)","(16.0, 99999, 99990)","(4.6, 4.9, 4.9409090909090905)","(18.0, 36.0, 33.9375)","(21.0, 60.0, 51.33333333333333)","(26.0, 99999, 99990)","(1.55, 1.84, 1.7837762237762238)"
11-01-2023 17:47:50.107778,"(16.0, 30.0, 26.5)","(14.0, 17.0, 16.8)","(31.0, 44.0, 43.2)","(41.0, 80.0, 68.8)","(16.0, 99999, 99990)","(4.6, 5.1, 4.940322580645161)","(18.0, 36.0, 31.049999999999997)","(21.0, 60.0, 53.45454545454545)","(26.0, 99999, 99990)","(1.55, 1.84, 1.7837762237762238)"
11-01-2023 17:47:51.361162,"(16.0, 30.0, 26.5)","(14.0, 17.0, 16.785714285714285)","(31.0, 44.0, 43.2)","(41.0, 75.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.1, 4.642857142857142)","(18.0, 36.0, 33.9375)","(21.0, 60.0, 57.33333333333333)","(26.0, 99999, 99990)","(1.55, 1.84, 1.7556643356643358)"
11-01-2023 17:47:52.609909,"(16.0, 30.0, 26.5)","(14.0, 17.0, 16.785714285714285)","(31.0, 44.0, 43.2)","(41.0, 70.0, 65.2)","(16.0, 99999, 99990)","(4.6, 5.1, 4.644117647058823)","(18.0, 36.0, 24.57142857142857)","(21.0, 60.0, 52.888888888888886)","(26.0, 99999, 99990)","(1.55, 1.84, 1.7837762237762238)"
11-01-2023 17:47:53.913071,"(16.0, 30.0, 28.4)","(14.0, 17.0, 16.7)","(31.0, 44.0, 43.2)","(41.0, 70.0, 66.0)","(16.0, 99999, 99990)","(4.6, 5.1, 4.7457142857142856)","(18.0, 28.0, 24.0)","(21.0, 55.0, 52.888888888888886)","(31.0, 99999, 99990)","(1.55, 1.84, 1.7837762237762238)"
11-01-2023 17:47:55.100114,"(16.0, 30.0, 28.4)","(14.0, 17.0, 16.7)","(31.0, 44.0, 43.2)","(41.0, 70.0, 57.5)","(16.0, 99999, 99990)","(4.6, 5.1, 5.003125)","(18.0, 28.0, 32.95454545454545)","(21.0, 55.0, 52.888888888888886)","(31.0, 99999, 99990)","(1.55, 1.84, 1.8302189781021898)"
11-01-2023 17:47:56.237612,"(16.0, 30.0, 28.4)","(14.0, 17.0, 16.8)","(31.0, 46.0, 44.0)","(41.0, 80.0, 57.5)","(16.0, 99999, 99990)","(4.6, 5.1, 4.826470588235294)","(18.0, 38.0, 31.428571428571427)","(21.0, 55.0, 45.5)","(31.0, 99999, 99990)","(1.55, 1.84, 1.7866666666666666)"
11-01-2023 17:47:57.635570,"(16.0, 30.0, 28.857142857142858)","(14.0, 17.0, 16.75)","(31.0, 46.0, 44.0)","(41.0, 80.0, 60.0)","(16.0, 99999, 99990)","(4.6, 5.1, 4.917647058823529)","(18.0, 36.0, 30.666666666666664)","(21.0, 55.0, 52.285714285714285)","(31.0, 99999, 99990)","(1.55, 1.78, 1.778888888888889)"
11-01-2023 17:47:58.852929,"(16.0, 30.0, 28.857142857142858)","(14.0, 17.0, 16.75)","(31.0, 46.0, 44.0)","(41.0, 80.0, 68.75)","(16.0, 99999, 99990)","(4.6, 5.1, 4.949999999999999)","(18.0, 36.0, 30.545454545454547)","(21.0, 55.0, 47.6)","(31.0, 99999, 99990)","(1.55, 1.78, 1.8172972972972974)"
11-01-2023 17:48:00.096013,"(16.0, 30.0, 27.666666666666668)","(14.0, 17.0, 16.5)","(31.0, 46.0, 42.0)","(41.0, 75.0, 63.0)","(16.0, 99999, 99990)","(4.4, 5.1, 4.918181818181819)","(18.0, 36.0, 29.0)","(26.0, 50.0, 47.6)","(31.0, 99999, 99990)","(1.55, 1.82, 1.8171428571428572)"
11-01-2023 17:48:01.294899,"(16.0, 30.0, 28.0)","(14.0, 17.0, 15.666666666666666)","(31.0, 46.0, 44.22222222222222)","(41.0, 75.0, 61.25)","(16.0, 99999, 99990)","(4.4, 5.1, 5.007216494845361)","(18.0, 32.0, 31.307692307692307)","(26.0, 50.0, 48.8)","(31.0, 99999, 99990)","(1.55, 1.82, 1.8162500000000001)"
11-01-2023 17:48:02.436381,"(16.0, 30.0, 29.142857142857142)","(14.0, 21.0, 16.11111111111111)","(31.0, 46.0, 44.22222222222222)","(41.0, 80.0, 59.0)","(16.0, 99999, 99990)","(4.4, 5.1, 5.007216494845361)","(18.0, 32.0, 31.363636363636363)","(26.0, 50.0, 52.0)","(31.0, 99999, 99990)","(1.55, 1.82, 1.8184615384615386)"
