,Cronin,Rocknroll Tony,Uncle Gregory,Straytothepoolroom,Dont Tell Dorothy,Tulhurst Blaster,Yellow Bow,Power To Bolt,Baberock
15-12-2022 11:47:28.351417,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:29.573412,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:30.755470,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:31.925762,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:33.137153,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:34.391670,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:35.669173,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:36.974368,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:38.221485,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:39.484570,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:40.675526,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:41.856254,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 46.0, 34.33333333333333)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:42.959981,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 34.33333333333333)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:44.156139,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 26.6)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:45.280744,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 26.6)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:46.476363,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 26.6)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:47.580438,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 26.6)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:48.728146,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 26.6)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:49.903674,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 26.6)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:51.113102,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 40.33333333333333)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:47:52.385146,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:47:53.908970,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:47:55.389152,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:47:56.774175,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:47:58.210380,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:47:59.740146,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:01.205242,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:02.678405,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:04.109535,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:05.546969,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:06.956996,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:08.299497,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:09.672805,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:11.031940,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:12.311908,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:13.637690,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:14.904991,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:16.124517,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:17.312017,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:18.497285,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:19.706621,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:20.864696,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:22.235967,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:23.455194,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:24.621560,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:26.031516,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:27.222046,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:28.669785,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:30.035815,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:31.262681,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:32.584900,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:33.868077,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:35.100179,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:36.322339,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:37.533952,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 15.760000000000002)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:38.782252,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:39.931567,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:41.080805,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:42.296115,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:43.427313,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
15-12-2022 11:48:44.587291,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 38.0)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 44.0, 31.799999999999997)","(31.0, 140.0, 86.0)"
