,Prince Capri,Always Lurking,Fix You,Macey Keeping,Too Much Fun,Charos Max,Oh So Lavish
11-01-2023 20:53:44.683095,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.95, 3.0633333333333335)","(8.5, 11.5, 9.630769230769232)","(10.0, 17.5, 13.346153846153847)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:45.848410,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.95, 3.0633333333333335)","(8.5, 11.5, 9.630769230769232)","(10.0, 17.5, 13.346153846153847)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:46.986748,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.95, 3.0633333333333335)","(8.5, 11.5, 9.64)","(10.0, 17.5, 14.833333333333334)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:48.209404,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.95, 3.0633333333333335)","(8.5, 11.5, 9.325)","(10.0, 16.5, 13.722222222222221)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:49.216703,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.95, 3.0633333333333335)","(8.5, 11.5, 9.325)","(10.0, 16.5, 13.722222222222221)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:50.223941,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.95, 3.0633333333333335)","(8.5, 11.5, 9.325)","(10.0, 15.5, 13.1)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:51.267219,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 16.0, 13.04)","(10.0, 17.0, 14.642857142857142)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:52.276282,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 16.0, 13.942857142857143)","(10.0, 17.0, 14.642857142857142)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:53.356827,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 16.0, 13.942857142857143)","(10.0, 17.0, 14.642857142857142)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:54.415433,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 11.376923076923077)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:55.467557,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.9)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:56.539974,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.9)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:57.676745,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.9)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:58.808794,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 12.3625)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:00.000566,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:01.101560,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:02.222193,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:03.241774,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:04.243358,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:05.272232,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:06.343315,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:07.379749,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:08.433000,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:09.426747,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:10.442682,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:11.409727,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:12.456345,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.2)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:13.481356,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.92)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:14.546948,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.92)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:15.544730,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.92)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:16.518573,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.92)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:17.416719,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.92)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:18.356582,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.133333333333334)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:19.330914,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:20.351336,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:21.371289,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:22.359780,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:23.297115,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 11.39090909090909)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:24.272387,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.5, 14.3)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:25.195627,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 16.5, 14.3)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:26.138745,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 16.0, 11.569230769230769)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:27.128380,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 16.0, 11.569230769230769)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:28.045165,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 16.0, 11.569230769230769)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:28.979845,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 16.0, 11.569230769230769)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:29.943741,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 16.0, 11.845454545454546)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:30.986135,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 11.845454545454546)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:32.014594,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 11.845454545454546)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:32.997485,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 11.845454545454546)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:34.016030,"(4.4, 5.9, 4.675)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 11.845454545454546)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:35.017391,"(4.4, 6.6, 4.7625)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 11.845454545454546)","(10.0, 17.0, 13.7)","(19.0, 55.0, 27.25)"
11-01-2023 20:54:35.973291,"(4.4, 6.2, 4.7125)","(5.0, 8.0, 6.75)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 11.845454545454546)","(10.0, 17.0, 13.7)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:36.996273,"(4.4, 6.2, 4.7125)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:37.950887,"(4.4, 6.2, 4.7125)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:38.866537,"(4.4, 6.2, 4.7125)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:39.819503,"(4.4, 6.2, 4.7125)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:40.810663,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.816216216216216)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 21.307692307692307)"
11-01-2023 20:54:41.795291,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:42.807265,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:43.759193,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:44.748560,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:45.712772,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 9.928571428571429)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:46.668732,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.5, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:47.621496,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:48.618740,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:49.583989,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:50.584773,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:51.482679,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:52.470558,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:53.417824,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:54.366954,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:55.435890,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 11.0)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:56.469580,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 15.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:57.500713,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:58.470887,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:54:59.419842,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:55:00.314535,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:55:01.263464,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.5928571428571425)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:55:02.261789,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.956756756756756)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:55:03.302454,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.956756756756756)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:55:04.322035,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.956756756756756)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:55:05.274818,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.956756756756756)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:55:06.245824,"(4.4, 6.0, 4.714285714285714)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.956756756756756)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:55:07.219112,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.956756756756756)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
11-01-2023 20:55:08.238525,"(4.4, 5.9, 4.675)","(5.0, 8.0, 7.0)","(3.4, 6.8, 5.956756756756756)","(3.0, 3.85, 3.283333333333333)","(8.5, 14.0, 9.833333333333334)","(10.0, 17.0, 12.714285714285714)","(19.0, 55.0, 23.714285714285715)"
