,Bywonner,Rebel Cadeau,Spirit Above,Wonga Flyer,Apricus,Looking Suave,Graffias,Go Now
04-01-2023 13:24:05.767119,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 37.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:07.017123,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.189473684210526)","(3.4, 4.4, 3.8923076923076922)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 37.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:08.383017,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.189473684210526)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 36.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:09.727958,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:10.950539,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:12.190740,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:13.378976,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:14.529186,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:15.675669,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:16.903319,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:18.118709,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:19.301253,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 32.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:20.537059,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 32.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:21.739178,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2176470588235295)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 32.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:23.010771,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 32.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:24.257822,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 32.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:25.490445,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.4, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 32.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:26.684327,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 32.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:27.802647,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 32.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:28.986331,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:30.265633,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:31.577700,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:32.827993,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:33.990358,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:35.165772,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:36.415376,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:37.695506,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:38.940949,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:40.114554,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:41.294625,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:42.497793,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:43.723958,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:44.897981,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:46.056615,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.2263157894736842)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:47.272250,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:48.492083,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:49.558348,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:50.617691,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 37.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:51.769594,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 37.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:52.846916,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 37.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:24:53.902484,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 37.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:24:55.161663,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 37.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:24:56.392643,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 37.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:24:57.547838,"(31.0, 55.0, 47.0)","(19.0, 29.0, 26.0)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 37.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:24:58.730255,"(31.0, 55.0, 47.0)","(19.0, 29.0, 26.0)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 37.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:24:59.931048,"(31.0, 55.0, 47.0)","(19.0, 29.0, 26.0)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 46.0, 36.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:25:01.165042,"(31.0, 55.0, 47.0)","(19.0, 29.0, 26.0)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:25:02.387129,"(31.0, 55.0, 47.0)","(19.0, 29.0, 26.0)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.8, 6.65)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:25:03.629108,"(31.0, 55.0, 47.0)","(19.0, 29.0, 26.0)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.4, 6.65)","(51.0, 120.0, 95.0)","(21.0, 44.0, 36.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:25:04.946492,"(31.0, 55.0, 47.0)","(19.0, 29.0, 26.5)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 3.925)","(4.6, 7.4, 6.581818181818182)","(51.0, 120.0, 95.0)","(21.0, 44.0, 32.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:25:06.534434,"(31.0, 55.0, 47.6)","(19.0, 34.0, 26.5)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.4, 6.581818181818182)","(51.0, 120.0, 95.0)","(21.0, 42.0, 34.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:25:08.398128,"(31.0, 50.0, 42.0)","(19.0, 34.0, 26.5)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.4, 6.581818181818182)","(51.0, 120.0, 95.0)","(21.0, 40.0, 34.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:25:09.808857,"(31.0, 50.0, 42.0)","(19.0, 34.0, 26.5)","(2.5, 3.3, 3.239130434782609)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.4, 6.581818181818182)","(51.0, 120.0, 95.0)","(21.0, 40.0, 34.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:25:11.273933,"(31.0, 48.0, 37.5)","(19.0, 34.0, 26.5)","(2.5, 3.3, 3.135294117647059)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.4, 6.581818181818182)","(51.0, 120.0, 95.0)","(21.0, 40.0, 34.0)","(4.4, 5.6, 5.15)"
04-01-2023 13:25:12.618932,"(31.0, 48.0, 37.5)","(19.0, 34.0, 26.5)","(2.5, 3.3, 3.135294117647059)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.4, 6.581818181818182)","(51.0, 120.0, 95.0)","(21.0, 40.0, 34.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:14.008634,"(31.0, 48.0, 37.5)","(19.0, 34.0, 28.0)","(2.5, 3.3, 3.135294117647059)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.4, 6.581818181818182)","(51.0, 120.0, 95.0)","(21.0, 40.0, 34.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:15.277380,"(31.0, 48.0, 37.5)","(19.0, 32.0, 26.0)","(2.5, 3.3, 3.135294117647059)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.4, 6.525)","(51.0, 120.0, 95.0)","(21.0, 40.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:16.477091,"(31.0, 48.0, 46.0)","(19.0, 32.0, 26.0)","(2.5, 3.3, 3.13)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.4, 6.800000000000001)","(51.0, 120.0, 95.0)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:17.679997,"(31.0, 50.0, 47.6)","(19.0, 32.0, 26.0)","(2.5, 3.3, 3.125)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.7)","(51.0, 120.0, 95.0)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:19.005691,"(31.0, 70.0, 52.666666666666664)","(19.0, 30.0, 25.2)","(2.5, 3.3, 3.125)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.0, 6.7)","(51.0, 120.0, 95.0)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:20.274042,"(31.0, 65.0, 54.5)","(19.0, 30.0, 25.2)","(2.5, 3.3, 3.125)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.0, 6.7)","(51.0, 120.0, 95.0)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:21.578263,"(31.0, 65.0, 54.5)","(19.0, 30.0, 25.2)","(2.5, 3.3, 3.125)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.0, 6.7)","(51.0, 120.0, 95.0)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:22.809153,"(31.0, 65.0, 54.5)","(19.0, 30.0, 25.2)","(2.5, 3.3, 3.125)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.0, 6.720000000000001)","(51.0, 120.0, 95.0)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:24.064057,"(31.0, 65.0, 54.5)","(19.0, 30.0, 25.2)","(2.5, 3.3, 3.1210526315789475)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 120.0, 95.0)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:25.441535,"(31.0, 65.0, 54.5)","(19.0, 30.0, 25.2)","(2.5, 3.3, 3.1210526315789475)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 120.0, 95.0)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:26.886540,"(31.0, 65.0, 54.5)","(19.0, 30.0, 25.714285714285715)","(2.5, 3.3, 3.1671875)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 120.0, 102.5)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:28.321415,"(31.0, 65.0, 53.0)","(19.0, 30.0, 25.714285714285715)","(2.5, 3.3, 3.1671875)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 102.5)","(21.0, 46.0, 40.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:29.915025,"(31.0, 65.0, 53.0)","(19.0, 30.0, 25.714285714285715)","(2.5, 3.3, 3.1671875)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 102.5)","(21.0, 46.0, 35.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:31.587167,"(31.0, 65.0, 53.0)","(19.0, 30.0, 26.0)","(2.5, 3.3, 3.1671875)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 102.5)","(21.0, 44.0, 35.0)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:33.135064,"(31.0, 65.0, 50.0)","(19.0, 32.0, 26.0)","(2.5, 3.3, 3.1671875)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 102.5)","(21.0, 44.0, 38.375)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:34.398318,"(31.0, 60.0, 50.0)","(19.0, 32.0, 26.0)","(2.5, 3.3, 3.1671875)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 102.5)","(21.0, 44.0, 38.375)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:35.682766,"(31.0, 60.0, 50.0)","(19.0, 32.0, 26.0)","(2.5, 3.3, 3.1671875)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 102.5)","(21.0, 44.0, 38.375)","(4.4, 5.6, 5.24)"
04-01-2023 13:25:36.997697,"(31.0, 60.0, 50.0)","(19.0, 32.0, 26.0)","(2.5, 3.3, 3.1671875)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 102.5)","(21.0, 44.0, 38.285714285714285)","(4.4, 5.6, 5.3428571428571425)"
04-01-2023 13:25:38.280397,"(31.0, 60.0, 50.0)","(19.0, 32.0, 26.0)","(2.5, 3.3, 3.196296296296296)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 102.5)","(21.0, 42.0, 36.857142857142854)","(4.4, 5.6, 5.3428571428571425)"
04-01-2023 13:25:39.507996,"(31.0, 60.0, 50.0)","(19.0, 32.0, 26.0)","(2.5, 3.25, 3.1658064516129034)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 102.5)","(21.0, 40.0, 36.857142857142854)","(4.4, 5.6, 5.3428571428571425)"
04-01-2023 13:25:40.698733,"(31.0, 60.0, 50.0)","(19.0, 32.0, 26.0)","(2.5, 3.25, 3.1726666666666667)","(3.4, 4.3, 4.014285714285714)","(4.6, 7.2, 6.720000000000001)","(51.0, 110.0, 100.0)","(21.0, 40.0, 36.857142857142854)","(4.4, 5.6, 5.3428571428571425)"
