,Aston Marley,Fired Up,Thunder Dash,Scott Hue,Aston Prince,Ripplebrook Snip
07-12-2022 14:01:23.231977,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:24.231594,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:25.217060,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:26.252484,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:27.232191,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:28.237132,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:29.355036,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:30.374425,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:31.394417,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:32.418214,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:33.353342,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.933333333333333)","(12.0, 23.0, 20.375)"
