,Ripstone Snorter,Mista Moose,Nifty Ronald,Parallel,Operative Anna,Little Cessna,Louisiana Freedom,Bettor Be Lucky,Rum Delight Nz,Change Of Mind
10-01-2023 14:08:07.734105,"(7.0, 9.8, 9.338461538461539)","(21.0, 50.0, 37.0)","(31.0, 65.0, 41.666666666666664)","(2.1, 2.94, 2.7666666666666666)","(3.5, 4.9, 4.6000000000000005)","(21.0, 36.0, 27.75)","(9.0, 10.0, 8.527272727272727)","(71.0, 95.0, 83.57142857142857)","(9.0, 99999, 99990)","(41.0, 160.0, 119.33333333333333)"
10-01-2023 14:08:09.126826,"(7.0, 9.8, 9.338461538461539)","(21.0, 48.0, 37.0)","(31.0, 65.0, 41.666666666666664)","(2.1, 2.94, 2.7666666666666666)","(3.5, 4.9, 4.6)","(21.0, 36.0, 27.75)","(9.0, 10.0, 9.054545454545455)","(71.0, 95.0, 83.57142857142857)","(9.0, 99999, 99990)","(41.0, 160.0, 119.33333333333333)"
10-01-2023 14:08:10.468222,"(7.0, 9.8, 9.338461538461539)","(21.0, 46.0, 34.0)","(31.0, 60.0, 59.66666666666667)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.2, 4.75)","(21.0, 36.0, 34.111111111111114)","(9.0, 10.0, 9.054545454545455)","(71.0, 95.0, 83.57142857142857)","(9.0, 99999, 99990)","(41.0, 160.0, 119.33333333333333)"
10-01-2023 14:08:11.828078,"(7.0, 9.8, 9.254545454545454)","(21.0, 46.0, 39.333333333333336)","(31.0, 75.0, 59.66666666666667)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.1, 4.6000000000000005)","(21.0, 36.0, 30.5)","(9.0, 10.0, 9.054545454545455)","(71.0, 95.0, 83.57142857142857)","(9.0, 99999, 99990)","(41.0, 160.0, 112.66666666666667)"
10-01-2023 14:08:13.241805,"(7.0, 9.8, 9.254545454545454)","(21.0, 44.0, 35.0)","(31.0, 70.0, 66.27272727272728)","(2.1, 2.94, 2.7666666666666666)","(3.5, 4.9, 4.642857142857142)","(21.0, 36.0, 30.5)","(9.0, 10.0, 9.2)","(71.0, 95.0, 83.57142857142857)","(9.0, 99999, 99990)","(41.0, 150.0, 106.0)"
10-01-2023 14:08:14.659624,"(7.0, 9.8, 9.254545454545454)","(21.0, 44.0, 35.0)","(31.0, 70.0, 63.166666666666664)","(2.1, 2.94, 2.7666666666666666)","(3.5, 4.8, 4.525)","(21.0, 36.0, 27.833333333333336)","(9.0, 10.0, 9.2)","(71.0, 95.0, 104.44444444444444)","(9.0, 99999, 99990)","(41.0, 140.0, 99.33333333333334)"
10-01-2023 14:08:16.105727,"(7.0, 14.0, 13.3)","(21.0, 42.0, 29.555555555555557)","(31.0, 65.0, 52.84615384615385)","(2.1, 2.94, 2.7666666666666666)","(3.5, 4.8, 3.995)","(21.0, 32.0, 25.833333333333332)","(9.0, 10.0, 9.054545454545455)","(71.0, 120.0, 87.5)","(9.0, 99999, 99990)","(41.0, 130.0, 92.66666666666666)"
10-01-2023 14:08:17.526484,"(7.0, 13.0, 11.4)","(21.0, 40.0, 29.11111111111111)","(31.0, 60.0, 50.666666666666664)","(2.1, 2.94, 2.832307692307692)","(3.5, 4.8, 4.277272727272727)","(21.0, 29.0, 23.3)","(9.0, 10.0, 9.054545454545455)","(71.0, 100.0, 83.75)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:19.126194,"(7.0, 13.0, 10.333333333333334)","(21.0, 36.0, 28.285714285714285)","(31.0, 55.0, 50.666666666666664)","(2.1, 2.94, 2.824367816091954)","(3.5, 4.8, 4.277272727272727)","(21.0, 29.0, 23.75)","(9.0, 10.0, 9.054545454545455)","(71.0, 95.0, 80.0)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:20.637298,"(7.0, 13.0, 10.333333333333334)","(21.0, 34.0, 31.5)","(31.0, 55.0, 50.666666666666664)","(2.1, 3.2, 2.8343749999999996)","(3.5, 4.8, 4.277272727272727)","(21.0, 28.0, 21.166666666666668)","(9.0, 10.0, 8.786666666666667)","(71.0, 90.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:22.123856,"(7.0, 13.0, 10.333333333333334)","(21.0, 38.0, 31.5)","(31.0, 55.0, 50.666666666666664)","(2.1, 3.05, 2.8314999999999997)","(3.5, 4.8, 4.277272727272727)","(21.0, 27.0, 23.166666666666668)","(9.0, 10.0, 8.786666666666667)","(71.0, 85.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:23.572602,"(7.0, 13.0, 10.333333333333334)","(21.0, 36.0, 27.444444444444443)","(31.0, 55.0, 50.666666666666664)","(2.1, 3.05, 2.8314999999999997)","(3.5, 4.8, 4.277272727272727)","(21.0, 25.0, 23.166666666666668)","(9.0, 10.0, 8.76842105263158)","(71.0, 85.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:25.164260,"(7.0, 13.0, 10.333333333333334)","(21.0, 36.0, 27.444444444444443)","(31.0, 55.0, 50.666666666666664)","(2.15, 3.05, 2.8752)","(3.5, 4.8, 4.277272727272727)","(21.0, 25.0, 23.166666666666668)","(8.5, 10.0, 9.168)","(61.0, 85.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:26.630063,"(7.0, 13.0, 10.333333333333334)","(21.0, 36.0, 28.142857142857142)","(31.0, 55.0, 50.666666666666664)","(2.15, 3.05, 2.8752)","(3.5, 4.8, 4.1125)","(21.0, 25.0, 23.166666666666668)","(8.5, 10.0, 8.786666666666667)","(61.0, 85.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:28.058893,"(7.0, 12.0, 10.9)","(21.0, 36.0, 28.142857142857142)","(31.0, 55.0, 50.666666666666664)","(2.15, 3.05, 2.8695)","(3.5, 4.8, 4.1125)","(21.0, 25.0, 23.166666666666668)","(8.5, 10.0, 8.786666666666667)","(61.0, 85.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:29.492945,"(7.0, 12.0, 10.166666666666668)","(21.0, 36.0, 28.142857142857142)","(31.0, 55.0, 50.666666666666664)","(2.15, 3.05, 2.8755555555555556)","(3.5, 4.8, 4.1125)","(21.0, 25.0, 23.166666666666668)","(8.5, 10.0, 8.786666666666667)","(61.0, 85.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:30.884911,"(7.0, 12.0, 10.166666666666668)","(21.0, 36.0, 28.142857142857142)","(31.0, 55.0, 50.666666666666664)","(2.15, 3.0, 2.8755555555555556)","(3.5, 4.8, 4.1125)","(21.0, 25.0, 23.166666666666668)","(8.5, 10.0, 8.786666666666667)","(61.0, 85.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:32.316184,"(7.0, 12.0, 10.166666666666668)","(21.0, 36.0, 28.142857142857142)","(31.0, 55.0, 45.5)","(2.15, 3.0, 2.8755555555555556)","(3.5, 4.8, 4.1125)","(21.0, 25.0, 23.166666666666668)","(8.5, 10.0, 8.786666666666667)","(61.0, 85.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:33.624902,"(7.0, 12.0, 10.166666666666668)","(21.0, 36.0, 28.142857142857142)","(31.0, 55.0, 45.5)","(2.15, 3.0, 2.888)","(3.5, 4.8, 4.1125)","(21.0, 25.0, 23.166666666666668)","(8.5, 10.0, 8.988888888888889)","(61.0, 85.0, 72.5)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:34.990556,"(7.0, 12.0, 10.166666666666668)","(21.0, 36.0, 32.5)","(31.0, 55.0, 46.5)","(2.15, 3.0, 2.765625)","(3.5, 4.8, 4.133333333333334)","(21.0, 25.0, 23.166666666666668)","(8.5, 10.0, 9.457142857142857)","(61.0, 85.0, 74.70588235294117)","(9.0, 99999, 99990)","(41.0, 120.0, 80.0)"
10-01-2023 14:08:36.368213,"(7.0, 12.0, 10.166666666666668)","(21.0, 55.0, 32.5)","(31.0, 55.0, 46.5)","(2.15, 2.82, 2.835)","(3.4, 4.9, 3.9916666666666667)","(21.0, 25.0, 23.166666666666668)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 72.5)","(10.0, 99999, 99990)","(41.0, 120.0, 80.0)"
10-01-2023 14:08:37.754455,"(7.0, 12.0, 10.114285714285716)","(21.0, 48.0, 38.8)","(31.0, 55.0, 44.0)","(2.15, 2.92, 2.85)","(3.4, 5.2, 4.722222222222222)","(21.0, 25.0, 21.25)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 65.55555555555556)","(10.0, 99999, 99990)","(41.0, 120.0, 75.0)"
10-01-2023 14:08:39.248499,"(7.0, 12.0, 10.9)","(21.0, 46.0, 36.4)","(31.0, 50.0, 44.0)","(2.15, 2.9, 2.8166666666666664)","(3.4, 5.0, 4.722222222222222)","(21.0, 23.0, 21.25)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 65.55555555555556)","(10.0, 99999, 99990)","(41.0, 110.0, 75.0)"
10-01-2023 14:08:40.684746,"(7.0, 11.0, 10.4)","(21.0, 44.0, 36.4)","(31.0, 50.0, 44.0)","(2.15, 2.86, 2.8166666666666664)","(3.4, 5.0, 4.555000000000001)","(21.0, 23.0, 22.125)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 70.41666666666666)","(10.0, 99999, 99990)","(41.0, 110.0, 75.0)"
10-01-2023 14:08:42.082974,"(7.0, 11.0, 10.4)","(21.0, 44.0, 36.4)","(31.0, 50.0, 44.0)","(2.15, 2.86, 2.7857142857142856)","(3.4, 4.9, 4.680000000000001)","(21.0, 23.0, 22.125)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 68.84615384615384)","(10.0, 99999, 99990)","(41.0, 110.0, 75.0)"
10-01-2023 14:08:43.406419,"(7.0, 11.0, 10.4)","(21.0, 44.0, 36.4)","(31.0, 50.0, 44.0)","(2.15, 2.86, 2.7857142857142856)","(3.4, 4.9, 4.48)","(21.0, 23.0, 22.125)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 68.84615384615384)","(10.0, 99999, 99990)","(41.0, 110.0, 75.0)"
10-01-2023 14:08:44.657487,"(7.0, 11.0, 10.4)","(21.0, 44.0, 36.4)","(31.0, 50.0, 44.0)","(2.15, 2.86, 2.7857142857142856)","(3.4, 4.9, 4.547058823529412)","(21.0, 23.0, 21.25)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 68.84615384615384)","(10.0, 99999, 99990)","(41.0, 110.0, 75.0)"
10-01-2023 14:08:45.898517,"(7.0, 11.0, 10.4)","(21.0, 44.0, 36.4)","(31.0, 50.0, 44.0)","(2.15, 2.86, 2.783333333333333)","(3.4, 4.9, 4.870588235294118)","(21.0, 23.0, 21.25)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 64.0)","(10.0, 99999, 99990)","(41.0, 110.0, 75.0)"
10-01-2023 14:08:47.123735,"(7.0, 13.0, 10.120000000000001)","(21.0, 44.0, 36.4)","(31.0, 50.0, 44.0)","(2.15, 2.82, 2.6866666666666665)","(3.4, 5.0, 4.266666666666667)","(21.0, 23.0, 21.25)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 64.0)","(10.0, 99999, 99990)","(41.0, 110.0, 85.0)"
10-01-2023 14:08:48.360305,"(7.0, 12.0, 10.533333333333333)","(21.0, 42.0, 33.5)","(31.0, 50.0, 44.0)","(2.15, 2.82, 2.762857142857143)","(3.4, 4.9, 4.628571428571429)","(21.0, 23.0, 21.25)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 64.0)","(10.0, 99999, 99990)","(41.0, 100.0, 85.0)"
10-01-2023 14:08:49.678970,"(7.0, 12.0, 10.114285714285716)","(21.0, 42.0, 37.75)","(31.0, 50.0, 44.0)","(2.15, 2.82, 2.775)","(3.4, 4.9, 4.671428571428572)","(21.0, 23.0, 25.357142857142858)","(8.0, 9.8, 9.457142857142857)","(61.0, 85.0, 70.0)","(10.0, 99999, 99990)","(41.0, 100.0, 67.5)"
10-01-2023 14:08:51.029521,"(7.0, 11.0, 10.666666666666666)","(21.0, 40.0, 35.0)","(31.0, 50.0, 44.0)","(2.15, 2.84, 2.7083333333333335)","(3.4, 4.9, 4.722222222222222)","(21.0, 40.0, 33.888888888888886)","(8.0, 9.8, 9.533333333333333)","(61.0, 85.0, 64.0)","(10.0, 99999, 99990)","(41.0, 95.0, 107.5)"
10-01-2023 14:08:52.393262,"(7.0, 11.5, 11.071428571428571)","(21.0, 40.0, 37.666666666666664)","(31.0, 50.0, 44.0)","(2.15, 2.72, 2.6923076923076925)","(3.4, 4.8, 4.792307692307693)","(21.0, 38.0, 31.049999999999997)","(8.0, 9.8, 9.533333333333333)","(61.0, 85.0, 64.0)","(10.0, 99999, 99990)","(41.0, 130.0, 107.5)"
10-01-2023 14:08:53.706162,"(7.0, 11.5, 10.842857142857143)","(21.0, 44.0, 37.666666666666664)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.4, 4.9, 4.792307692307693)","(21.0, 36.0, 26.857142857142858)","(8.0, 9.8, 9.533333333333333)","(61.0, 85.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 130.0, 107.5)"
10-01-2023 14:08:54.990117,"(7.0, 11.0, 10.7)","(21.0, 44.0, 37.666666666666664)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.4, 4.9, 4.792307692307693)","(21.0, 32.0, 26.857142857142858)","(8.0, 9.8, 9.533333333333333)","(61.0, 85.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 130.0, 107.5)"
10-01-2023 14:08:56.283231,"(7.0, 11.5, 10.842857142857143)","(21.0, 44.0, 33.5)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.4, 4.9, 4.425000000000001)","(21.0, 32.0, 24.8)","(8.0, 9.8, 9.533333333333333)","(61.0, 85.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 130.0, 107.5)"
10-01-2023 14:08:57.494005,"(7.0, 11.5, 10.842857142857143)","(21.0, 42.0, 33.5)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.4, 4.9, 4.108333333333333)","(21.0, 29.0, 25.81818181818182)","(8.0, 9.8, 9.533333333333333)","(61.0, 85.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 130.0, 107.5)"
10-01-2023 14:08:58.766939,"(7.0, 11.5, 10.842857142857143)","(21.0, 42.0, 33.5)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.4, 4.9, 4.6625000000000005)","(21.0, 28.0, 25.333333333333332)","(8.0, 9.8, 12.65)","(61.0, 85.0, 61.25)","(10.0, 99999, 99990)","(41.0, 130.0, 107.5)"
10-01-2023 14:09:00.095158,"(7.0, 11.5, 10.35)","(21.0, 40.0, 32.5)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.4, 4.9, 4.15)","(21.0, 26.0, 23.291666666666668)","(8.0, 16.5, 13.585714285714285)","(61.0, 80.0, 65.0)","(10.0, 99999, 99990)","(41.0, 130.0, 107.5)"
10-01-2023 14:09:01.363538,"(7.0, 11.0, 10.7)","(21.0, 40.0, 31.5)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.4, 4.9, 4.15)","(21.0, 26.0, 23.2)","(8.0, 15.5, 10.383333333333335)","(61.0, 75.0, 59.44444444444444)","(10.0, 99999, 99990)","(41.0, 130.0, 66.66666666666667)"
10-01-2023 14:09:02.690485,"(7.0, 13.0, 12.05)","(21.0, 38.0, 30.5)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.4, 4.9, 4.15)","(21.0, 24.0, 22.0)","(8.0, 14.5, 10.454545454545455)","(61.0, 75.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 120.0, 63.33333333333333)"
10-01-2023 14:09:04.077723,"(7.0, 11.5, 10.58)","(21.0, 36.0, 30.5)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.5, 4.9, 4.15)","(21.0, 23.0, 44.0)","(8.0, 13.0, 10.25)","(61.0, 75.0, 65.0)","(9.0, 99999, 99990)","(41.0, 110.0, 63.33333333333333)"
10-01-2023 14:09:05.408508,"(7.0, 11.0, 9.69090909090909)","(21.0, 36.0, 30.5)","(31.0, 50.0, 44.0)","(2.15, 2.7, 2.6923076923076925)","(3.5, 4.9, 4.15)","(21.0, 50.0, 29.23076923076923)","(8.0, 11.5, 9.470588235294118)","(61.0, 75.0, 65.0)","(9.0, 99999, 99990)","(41.0, 110.0, 63.33333333333333)"
10-01-2023 14:09:06.721920,"(7.5, 11.0, 9.69090909090909)","(21.0, 36.0, 30.5)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.6923076923076925)","(3.5, 4.9, 4.15)","(20.0, 50.0, 33.714285714285715)","(8.0, 11.0, 9.63809523809524)","(51.0, 75.0, 65.0)","(10.0, 99999, 99990)","(41.0, 110.0, 63.33333333333333)"
10-01-2023 14:09:07.964512,"(7.5, 11.0, 9.69090909090909)","(21.0, 36.0, 30.5)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.6923076923076925)","(3.5, 4.9, 4.15)","(20.0, 44.0, 33.333333333333336)","(8.0, 11.0, 9.63809523809524)","(51.0, 75.0, 65.0)","(10.0, 99999, 99990)","(41.0, 110.0, 63.33333333333333)"
10-01-2023 14:09:09.213050,"(7.5, 11.0, 9.69090909090909)","(21.0, 36.0, 30.5)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.6923076923076925)","(3.5, 4.9, 4.15)","(20.0, 40.0, 26.666666666666668)","(8.0, 11.0, 9.63809523809524)","(51.0, 75.0, 65.0)","(10.0, 99999, 99990)","(41.0, 110.0, 63.33333333333333)"
10-01-2023 14:09:10.416256,"(7.5, 11.0, 9.69090909090909)","(21.0, 36.0, 30.5)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.6923076923076925)","(3.5, 4.9, 4.15)","(20.0, 40.0, 32.8)","(8.0, 11.0, 10.014285714285714)","(51.0, 75.0, 67.0)","(10.0, 99999, 99990)","(41.0, 110.0, 63.33333333333333)"
10-01-2023 14:09:11.675382,"(7.5, 10.5, 10.066666666666666)","(21.0, 36.0, 30.5)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.6923076923076925)","(3.5, 4.9, 4.15)","(20.0, 36.0, 25.333333333333332)","(8.0, 10.5, 9.633333333333335)","(51.0, 75.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 110.0, 63.33333333333333)"
10-01-2023 14:09:12.935132,"(7.5, 10.5, 10.066666666666666)","(21.0, 36.0, 48.15384615384615)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.6923076923076925)","(3.5, 4.9, 4.15)","(20.0, 36.0, 26.857142857142858)","(8.0, 9.8, 9.633333333333335)","(51.0, 75.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 110.0, 105.0)"
10-01-2023 14:09:14.234613,"(7.5, 10.5, 10.066666666666666)","(21.0, 50.0, 38.0)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.63)","(3.5, 4.9, 4.15)","(20.0, 32.0, 27.5)","(8.0, 9.8, 9.633333333333335)","(51.0, 75.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 170.0, 105.0)"
10-01-2023 14:09:15.502127,"(7.5, 10.5, 10.066666666666666)","(21.0, 48.0, 38.0)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.5694117647058823)","(3.5, 4.9, 4.15)","(20.0, 29.0, 25.4)","(8.0, 9.8, 9.633333333333335)","(51.0, 75.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 170.0, 105.0)"
10-01-2023 14:09:16.743007,"(7.5, 13.0, 12.428571428571429)","(21.0, 48.0, 36.0)","(31.0, 50.0, 44.0)","(2.2, 2.58, 2.571)","(3.5, 4.9, 4.4)","(20.0, 29.0, 26.3)","(8.0, 9.8, 9.633333333333335)","(51.0, 75.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 170.0, 88.75)"
10-01-2023 14:09:17.962324,"(7.5, 12.5, 9.86)","(21.0, 48.0, 37.5)","(31.0, 50.0, 44.0)","(2.2, 2.58, 2.577735849056604)","(3.5, 4.9, 4.54)","(20.0, 27.0, 23.9375)","(8.0, 9.8, 9.633333333333335)","(51.0, 75.0, 61.666666666666664)","(10.0, 99999, 99990)","(41.0, 170.0, 112.0)"
10-01-2023 14:09:19.214030,"(7.5, 11.0, 10.357142857142858)","(21.0, 46.0, 36.5)","(31.0, 50.0, 44.0)","(2.2, 2.58, 2.5904347826086958)","(3.5, 4.9, 4.5)","(20.0, 27.0, 23.9375)","(8.0, 9.8, 9.633333333333335)","(51.0, 75.0, 60.0)","(10.0, 99999, 99990)","(41.0, 160.0, 112.0)"
10-01-2023 14:09:20.456993,"(7.5, 11.0, 10.357142857142858)","(21.0, 44.0, 36.5)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.6416666666666666)","(3.5, 4.9, 4.3)","(20.0, 27.0, 23.9375)","(8.0, 9.8, 9.633333333333335)","(51.0, 75.0, 62.5)","(10.0, 99999, 99990)","(41.0, 160.0, 112.0)"
10-01-2023 14:09:21.757467,"(7.5, 11.0, 9.559999999999999)","(21.0, 44.0, 36.5)","(31.0, 50.0, 44.0)","(2.2, 2.7, 2.6416666666666666)","(3.5, 4.9, 4.3)","(20.0, 27.0, 23.9375)","(8.0, 9.8, 9.633333333333335)","(51.0, 70.0, 60.0)","(10.0, 99999, 99990)","(41.0, 160.0, 112.0)"
10-01-2023 14:09:23.029546,"(7.5, 11.0, 9.08)","(21.0, 44.0, 36.5)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.6036363636363635)","(3.5, 4.9, 4.688235294117647)","(20.0, 27.0, 22.333333333333332)","(8.0, 9.8, 9.600000000000001)","(51.0, 70.0, 59.0)","(10.0, 99999, 99990)","(41.0, 160.0, 81.33333333333334)"
10-01-2023 14:09:24.381386,"(7.5, 10.5, 10.364285714285714)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.68, 2.608)","(3.5, 4.9, 4.775)","(20.0, 27.0, 22.333333333333332)","(8.0, 9.8, 9.600000000000001)","(51.0, 65.0, 57.5)","(10.0, 99999, 99990)","(41.0, 160.0, 78.0)"
10-01-2023 14:09:25.756105,"(7.5, 10.0, 9.5625)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.62, 2.608)","(3.5, 4.9, 4.633333333333334)","(20.0, 27.0, 22.333333333333332)","(8.0, 9.8, 9.685714285714287)","(51.0, 65.0, 65.0)","(10.0, 99999, 99990)","(41.0, 150.0, 78.0)"
10-01-2023 14:09:27.066144,"(7.5, 10.0, 9.461538461538462)","(21.0, 44.0, 34.666666666666664)","(31.0, 50.0, 44.0)","(2.2, 2.62, 2.656)","(3.5, 4.9, 4.557142857142857)","(20.0, 27.0, 22.333333333333332)","(8.0, 9.8, 9.73846153846154)","(51.0, 75.0, 57.142857142857146)","(10.0, 99999, 99990)","(41.0, 150.0, 71.33333333333333)"
