,Simon Rose,Uforo Bale,Coalville Flyer,Why Not Ajay,Green Can Lad,Minter Dominate,Brocky Sands,Downtown Zion
11-01-2023 20:35:13.123521,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:14.382652,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:15.667515,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:17.001345,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:18.342862,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:19.744401,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:21.102845,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:22.279904,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:23.332269,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:24.447130,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:25.573061,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:26.755956,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:27.969197,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:29.130352,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:30.351123,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:31.546267,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:32.755590,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:33.975580,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:35.240465,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:36.488567,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:37.651839,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:38.768321,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 53.26)"
11-01-2023 20:35:39.906797,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 2.9180851063829785)","(4.4, 6.6, 5.22)","(13.0, 55.0, 53.26)"
11-01-2023 20:35:41.012980,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.6, 2.9180851063829785)","(4.4, 6.6, 5.22)","(13.0, 55.0, 53.26)"
11-01-2023 20:35:42.026018,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.6, 3.1)","(4.4, 6.6, 5.22)","(13.0, 55.0, 53.26)"
11-01-2023 20:35:43.036535,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 55.0, 53.26)"
11-01-2023 20:35:44.145970,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 55.0, 53.26)"
11-01-2023 20:35:45.326372,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.4945454545454546)","(4.4, 6.6, 5.22)","(13.0, 55.0, 53.26)"
11-01-2023 20:35:46.471620,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.4945454545454546)","(4.4, 6.6, 5.22)","(13.0, 55.0, 53.26)"
11-01-2023 20:35:47.710817,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.4945454545454546)","(4.4, 6.6, 5.22)","(13.0, 55.0, 53.26)"
11-01-2023 20:35:48.969708,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.4945454545454546)","(4.4, 6.6, 5.22)","(13.0, 55.0, 55.775862068965516)"
11-01-2023 20:35:50.257341,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.4945454545454546)","(4.4, 6.6, 5.22)","(13.0, 65.0, 55.775862068965516)"
11-01-2023 20:35:51.552180,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 65.0, 55.775862068965516)"
11-01-2023 20:35:52.769387,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 65.0, 55.775862068965516)"
11-01-2023 20:35:53.998031,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 65.0, 55.775862068965516)"
11-01-2023 20:35:55.242300,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 65.0, 55.775862068965516)"
11-01-2023 20:35:56.457152,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 65.0, 55.775862068965516)"
11-01-2023 20:35:57.724017,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 65.0, 55.775862068965516)"
11-01-2023 20:35:58.997037,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 65.0, 67.66)"
11-01-2023 20:36:00.434319,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 70.0, 67.66)"
11-01-2023 20:36:01.783158,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 70.0, 67.66)"
11-01-2023 20:36:03.084911,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 24.61777777777778)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.5, 3.1)","(4.4, 6.6, 5.22)","(13.0, 70.0, 67.66)"
