,Arentee,Lucky Exchange,I Am Lethal,Ready For Anything,Mobstar,Prime Asset,Spiritualised,Pentito,Charlies Case,Resonator,Wealthy Investor,Daytona,West Of Africa,Oakfield Triumph,Data Patch
07-01-2023 16:10:44.555019,"(6.0, 6.2, 6.07986798679868)","(31.0, 80.0, 75.0)","(7.5, 8.8, 8.269026548672565)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 42.61538461538461)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 6.992727272727273)","(71.0, 100.0, 93.75)","(51.0, 110.0, 81.36363636363636)","(3.5, 4.1, 3.9621212121212124)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.756756756756756)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:46.446560,"(6.0, 6.2, 6.07986798679868)","(31.0, 80.0, 75.0)","(7.5, 8.4, 8.253465346534654)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 41.80952380952381)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 7.019047619047619)","(71.0, 100.0, 93.75)","(51.0, 110.0, 87.5)","(3.5, 4.0, 3.9625000000000004)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.756756756756756)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 112.0)"
07-01-2023 16:10:48.185240,"(6.0, 6.2, 6.07986798679868)","(31.0, 80.0, 77.0)","(7.5, 8.4, 8.253465346534654)","(81.0, 180.0, 148.1818181818182)","(21.0, 46.0, 41.111111111111114)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 7.019047619047619)","(71.0, 100.0, 93.75)","(51.0, 110.0, 87.5)","(3.5, 4.0, 3.9625000000000004)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.756756756756756)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 112.0)"
07-01-2023 16:10:49.994788,"(6.0, 6.2, 6.080398671096345)","(31.0, 80.0, 82.5)","(7.5, 8.4, 8.254545454545454)","(81.0, 180.0, 155.0)","(21.0, 46.0, 41.80952380952381)","(51.0, 95.0, 93.18181818181819)","(5.5, 7.2, 6.95)","(71.0, 100.0, 94.73684210526315)","(51.0, 110.0, 97.14285714285714)","(3.5, 4.0, 3.9675824175824177)","(51.0, 85.0, 68.05084745762711)","(8.0, 11.0, 10.828947368421053)","(6.0, 7.8, 7.658823529411764)","(71.0, 100.0, 82.85714285714286)","(71.0, 120.0, 115.55555555555556)"
07-01-2023 16:10:51.732918,"(6.0, 6.2, 6.065053763440861)","(31.0, 100.0, 94.16666666666666)","(7.5, 8.4, 8.211666666666666)","(81.0, 180.0, 155.0)","(21.0, 46.0, 41.875)","(51.0, 95.0, 90.0)","(5.5, 7.0, 6.95)","(71.0, 100.0, 94.73684210526315)","(51.0, 110.0, 97.14285714285714)","(3.5, 4.0, 3.9890243902439027)","(51.0, 85.0, 68.05084745762711)","(8.0, 11.0, 10.824324324324325)","(6.0, 7.8, 7.851851851851852)","(71.0, 100.0, 82.85714285714286)","(71.0, 120.0, 108.33333333333333)"
07-01-2023 16:10:53.493613,"(6.0, 6.2, 6.06016713091922)","(31.0, 100.0, 95.0)","(7.5, 8.4, 8.211666666666666)","(81.0, 180.0, 155.0)","(21.0, 46.0, 41.875)","(51.0, 95.0, 90.0)","(5.5, 7.0, 6.846153846153846)","(71.0, 100.0, 94.73684210526315)","(51.0, 110.0, 92.3076923076923)","(3.5, 4.0, 4.043203883495146)","(51.0, 85.0, 68.05084745762711)","(8.0, 11.0, 10.75)","(6.0, 8.0, 7.851851851851852)","(71.0, 100.0, 82.85714285714286)","(71.0, 120.0, 115.0)"
07-01-2023 16:10:55.193264,"(6.0, 6.2, 6.06016713091922)","(31.0, 100.0, 95.0)","(7.5, 8.4, 8.211666666666666)","(81.0, 180.0, 155.0)","(21.0, 46.0, 41.875)","(51.0, 95.0, 90.0)","(5.5, 7.0, 6.846153846153846)","(71.0, 100.0, 94.73684210526315)","(51.0, 100.0, 92.3076923076923)","(3.5, 4.1, 4.043203883495146)","(51.0, 85.0, 68.05084745762711)","(8.0, 11.0, 10.75)","(6.0, 8.0, 7.851851851851852)","(71.0, 100.0, 82.85714285714286)","(71.0, 120.0, 115.0)"
07-01-2023 16:10:56.877419,"(6.0, 6.2, 6.06016713091922)","(31.0, 100.0, 95.0)","(7.5, 8.4, 8.211666666666666)","(81.0, 180.0, 155.0)","(21.0, 46.0, 41.875)","(51.0, 95.0, 90.0)","(5.5, 7.0, 6.846153846153846)","(71.0, 100.0, 94.73684210526315)","(51.0, 100.0, 92.3076923076923)","(3.5, 4.1, 4.043203883495146)","(51.0, 85.0, 68.05084745762711)","(8.0, 11.0, 10.75)","(6.0, 8.0, 7.851851851851852)","(71.0, 100.0, 82.85714285714286)","(71.0, 120.0, 115.0)"
07-01-2023 16:10:58.578706,"(6.0, 6.2, 6.0194244604316545)","(31.0, 100.0, 94.0)","(7.5, 8.2, 8.170491803278688)","(81.0, 170.0, 164.0)","(21.0, 46.0, 41.875)","(51.0, 95.0, 90.0)","(5.5, 7.2, 7.034782608695652)","(71.0, 100.0, 94.73684210526315)","(51.0, 100.0, 92.3076923076923)","(3.5, 4.1, 4.043203883495146)","(51.0, 85.0, 71.11111111111111)","(8.0, 11.0, 10.75)","(6.0, 7.6, 7.453333333333333)","(71.0, 100.0, 82.85714285714286)","(71.0, 120.0, 115.0)"
07-01-2023 16:11:00.415638,"(6.0, 6.2, 5.956410256410257)","(31.0, 100.0, 94.0)","(7.5, 8.2, 8.20983606557377)","(81.0, 170.0, 164.0)","(21.0, 46.0, 42.5)","(51.0, 95.0, 92.77777777777777)","(5.5, 7.2, 7.109677419354838)","(71.0, 100.0, 95.23809523809524)","(51.0, 100.0, 93.33333333333333)","(3.5, 4.1, 4.054285714285714)","(51.0, 85.0, 67.33333333333333)","(8.0, 11.0, 10.728813559322035)","(6.0, 7.6, 7.446886446886447)","(71.0, 100.0, 82.85714285714286)","(71.0, 120.0, 115.625)"
07-01-2023 16:11:02.236954,"(6.0, 6.0, 5.95072463768116)","(31.0, 100.0, 90.0)","(7.5, 8.4, 8.190990990990992)","(81.0, 170.0, 164.54545454545453)","(21.0, 46.0, 41.333333333333336)","(51.0, 95.0, 92.77777777777777)","(5.5, 7.2, 7.022857142857143)","(71.0, 100.0, 90.625)","(51.0, 100.0, 93.33333333333333)","(3.5, 4.1, 4.065142857142857)","(51.0, 85.0, 67.33333333333333)","(8.0, 11.0, 10.686274509803921)","(6.0, 7.8, 7.436101083032491)","(71.0, 100.0, 88.0)","(71.0, 120.0, 110.0)"
07-01-2023 16:11:04.028110,"(6.0, 6.0, 5.939512195121951)","(31.0, 100.0, 109.0)","(7.5, 8.4, 8.238202247191012)","(81.0, 170.0, 156.66666666666669)","(21.0, 46.0, 44.5)","(51.0, 95.0, 90.0)","(5.5, 7.2, 7.241176470588235)","(71.0, 100.0, 95.0)","(51.0, 100.0, 94.0)","(3.5, 4.1, 3.9055555555555554)","(51.0, 85.0, 68.50877192982456)","(8.0, 11.0, 10.231277533039648)","(6.0, 7.6, 7.480645161290322)","(71.0, 100.0, 92.72727272727272)","(71.0, 130.0, 111.81818181818181)"
07-01-2023 16:11:05.707135,"(6.0, 6.2, 5.939512195121951)","(31.0, 160.0, 123.57142857142857)","(7.5, 8.4, 8.238202247191012)","(81.0, 180.0, 156.66666666666669)","(21.0, 46.0, 43.0)","(51.0, 100.0, 86.0)","(5.5, 7.4, 7.241176470588235)","(71.0, 100.0, 95.0)","(51.0, 100.0, 92.5)","(3.5, 4.0, 3.9055555555555554)","(51.0, 85.0, 68.50877192982456)","(8.0, 11.5, 10.231277533039648)","(6.0, 7.6, 7.480645161290322)","(71.0, 100.0, 92.72727272727272)","(71.0, 130.0, 111.81818181818181)"
07-01-2023 16:11:07.580504,"(6.0, 6.2, 5.939512195121951)","(31.0, 160.0, 123.57142857142857)","(7.5, 8.4, 8.253061224489796)","(81.0, 180.0, 156.66666666666669)","(21.0, 46.0, 44.0)","(51.0, 100.0, 87.27272727272727)","(5.5, 7.4, 7.257894736842106)","(71.0, 100.0, 95.5)","(51.0, 100.0, 92.5)","(3.5, 4.0, 3.9055555555555554)","(51.0, 85.0, 68.50877192982456)","(8.0, 11.5, 10.24235807860262)","(6.0, 7.6, 7.480645161290322)","(71.0, 100.0, 92.72727272727272)","(71.0, 130.0, 101.42857142857143)"
07-01-2023 16:11:09.319930,"(6.0, 6.2, 6.027966101694915)","(31.0, 160.0, 126.0)","(7.5, 8.4, 8.247457627118644)","(81.0, 180.0, 158.125)","(21.0, 46.0, 44.8)","(51.0, 100.0, 87.27272727272727)","(5.5, 7.4, 7.211111111111111)","(71.0, 100.0, 95.5)","(51.0, 100.0, 92.5)","(3.5, 4.0, 3.953932584269663)","(51.0, 85.0, 71.17647058823529)","(8.0, 11.5, 10.696629213483146)","(6.0, 7.6, 7.499029126213593)","(71.0, 100.0, 92.5)","(71.0, 130.0, 100.0)"
07-01-2023 16:11:11.160777,"(6.0, 6.2, 6.027966101694915)","(31.0, 160.0, 126.0)","(7.5, 8.4, 8.247457627118644)","(81.0, 180.0, 158.125)","(21.0, 46.0, 44.8)","(51.0, 100.0, 87.27272727272727)","(5.5, 7.4, 7.211111111111111)","(71.0, 100.0, 95.5)","(51.0, 100.0, 92.5)","(3.5, 4.0, 3.9000000000000004)","(51.0, 85.0, 71.17647058823529)","(8.0, 11.0, 10.703296703296703)","(6.0, 7.6, 7.499029126213593)","(71.0, 100.0, 92.5)","(71.0, 130.0, 100.0)"
07-01-2023 16:11:12.992928,"(6.0, 6.2, 6.027966101694915)","(31.0, 160.0, 126.0)","(7.5, 8.4, 8.247457627118644)","(81.0, 180.0, 158.125)","(21.0, 46.0, 45.333333333333336)","(51.0, 100.0, 87.27272727272727)","(5.5, 7.2, 7.165217391304348)","(71.0, 100.0, 95.5)","(51.0, 100.0, 92.5)","(3.5, 3.95, 3.9000000000000004)","(51.0, 85.0, 71.17647058823529)","(8.0, 11.0, 10.703296703296703)","(6.0, 7.6, 7.499029126213593)","(71.0, 100.0, 92.5)","(71.0, 130.0, 100.0)"
07-01-2023 16:11:14.901169,"(6.0, 6.2, 6.045267489711934)","(31.0, 160.0, 130.0)","(7.5, 8.8, 8.464516129032258)","(81.0, 180.0, 162.5)","(21.0, 48.0, 44.44444444444444)","(51.0, 100.0, 88.0)","(5.5, 7.0, 6.869565217391305)","(71.0, 100.0, 92.5)","(51.0, 100.0, 96.25)","(3.5, 3.9, 3.88125)","(51.0, 85.0, 75.8)","(8.0, 11.5, 10.780821917808218)","(6.0, 7.8, 7.510344827586207)","(71.0, 100.0, 95.0)","(71.0, 130.0, 114.0)"
07-01-2023 16:11:16.583907,"(6.0, 6.2, 6.045267489711934)","(31.0, 160.0, 87.14285714285714)","(7.5, 8.8, 8.5)","(81.0, 180.0, 162.5)","(21.0, 48.0, 44.44444444444444)","(51.0, 100.0, 85.0)","(5.5, 7.2, 7.044897959183674)","(71.0, 100.0, 96.25)","(51.0, 100.0, 96.66666666666667)","(3.5, 3.9, 3.87212389380531)","(51.0, 85.0, 75.8)","(8.0, 11.5, 10.780821917808218)","(6.0, 7.6, 7.510344827586207)","(71.0, 100.0, 95.0)","(71.0, 130.0, 117.6923076923077)"
07-01-2023 16:11:18.376690,"(6.0, 6.2, 6.045267489711934)","(31.0, 160.0, 87.14285714285714)","(7.5, 8.8, 8.5)","(81.0, 180.0, 162.5)","(21.0, 48.0, 44.44444444444444)","(51.0, 100.0, 85.0)","(5.5, 7.2, 7.04390243902439)","(71.0, 100.0, 92.5)","(51.0, 100.0, 91.92307692307692)","(3.5, 3.95, 3.844155844155844)","(51.0, 85.0, 75.8)","(8.0, 11.5, 10.780821917808218)","(6.0, 7.6, 7.510344827586207)","(71.0, 100.0, 95.0)","(71.0, 130.0, 117.6923076923077)"
07-01-2023 16:11:20.197653,"(6.0, 6.2, 6.045267489711934)","(31.0, 160.0, 87.14285714285714)","(7.5, 8.8, 8.5)","(81.0, 180.0, 162.5)","(21.0, 48.0, 44.0)","(51.0, 100.0, 89.0909090909091)","(5.5, 7.2, 6.891666666666667)","(71.0, 100.0, 96.25)","(51.0, 100.0, 93.82352941176471)","(3.5, 3.85, 3.885)","(51.0, 85.0, 75.8)","(8.0, 11.5, 10.822033898305085)","(6.0, 7.6, 7.231649831649832)","(71.0, 100.0, 95.0)","(71.0, 130.0, 117.6923076923077)"
07-01-2023 16:11:22.262949,"(6.0, 6.2, 6.045267489711934)","(31.0, 160.0, 87.14285714285714)","(7.5, 8.8, 8.635294117647058)","(81.0, 180.0, 162.5)","(21.0, 48.0, 44.0)","(51.0, 100.0, 89.0909090909091)","(5.5, 7.0, 6.8382978723404255)","(71.0, 100.0, 96.25)","(51.0, 100.0, 93.63636363636364)","(3.5, 3.9, 3.885)","(51.0, 85.0, 70.625)","(8.0, 11.0, 10.822033898305085)","(6.0, 7.4, 7.2319727891156464)","(71.0, 100.0, 95.0)","(71.0, 130.0, 118.57142857142857)"
07-01-2023 16:11:24.582251,"(5.5, 6.2, 6.0496)","(31.0, 160.0, 113.63636363636364)","(7.5, 8.8, 8.821052631578947)","(81.0, 180.0, 160.0)","(21.0, 48.0, 46.61538461538461)","(51.0, 100.0, 92.5)","(5.5, 7.0, 6.860869565217391)","(71.0, 100.0, 96.25)","(51.0, 100.0, 92.5)","(3.5, 3.95, 3.9239130434782608)","(51.0, 85.0, 70.625)","(8.0, 11.0, 10.842857142857143)","(6.0, 7.2, 7.163636363636364)","(71.0, 100.0, 95.0)","(71.0, 130.0, 118.33333333333333)"
07-01-2023 16:11:26.568970,"(5.5, 6.2, 6.048387096774194)","(31.0, 160.0, 117.5)","(7.5, 9.0, 8.825233644859814)","(81.0, 180.0, 160.0)","(21.0, 48.0, 46.666666666666664)","(51.0, 100.0, 90.0)","(5.5, 7.0, 6.84390243902439)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 93.63636363636364)","(3.5, 3.95, 3.877173913043478)","(51.0, 85.0, 70.91836734693878)","(8.0, 11.0, 10.85135135135135)","(6.0, 7.2, 7.165384615384616)","(71.0, 100.0, 95.55555555555556)","(71.0, 130.0, 119.23076923076923)"
07-01-2023 16:11:28.638457,"(5.5, 6.2, 6.048387096774194)","(31.0, 160.0, 120.76923076923077)","(7.5, 9.0, 8.825233644859814)","(81.0, 180.0, 160.0)","(21.0, 48.0, 46.666666666666664)","(51.0, 100.0, 92.5)","(5.5, 7.0, 6.84390243902439)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 92.5)","(3.5, 3.9, 3.8723214285714285)","(51.0, 85.0, 70.91836734693878)","(8.0, 11.0, 10.85135135135135)","(6.0, 7.2, 7.165384615384616)","(71.0, 100.0, 95.55555555555556)","(71.0, 130.0, 119.23076923076923)"
07-01-2023 16:11:30.547060,"(5.5, 6.2, 6.048387096774194)","(31.0, 160.0, 120.76923076923077)","(7.5, 9.0, 8.825233644859814)","(81.0, 180.0, 160.0)","(21.0, 48.0, 46.666666666666664)","(51.0, 100.0, 90.0)","(5.5, 7.0, 6.844444444444444)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 93.63636363636364)","(3.5, 3.9, 3.8723214285714285)","(51.0, 85.0, 70.91836734693878)","(8.0, 11.0, 10.85135135135135)","(6.0, 7.2, 7.166990291262136)","(71.0, 100.0, 95.55555555555556)","(71.0, 130.0, 108.46153846153847)"
07-01-2023 16:11:32.301336,"(5.5, 6.2, 6.046994535519126)","(31.0, 160.0, 113.63636363636364)","(7.5, 9.0, 8.832286995515696)","(81.0, 180.0, 160.0)","(21.0, 48.0, 46.666666666666664)","(51.0, 100.0, 90.0)","(5.5, 7.0, 6.827692307692308)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 92.5)","(3.5, 3.9, 3.8666666666666667)","(51.0, 85.0, 70.91836734693878)","(8.0, 11.0, 10.85135135135135)","(6.0, 7.2, 7.103303303303304)","(71.0, 100.0, 95.55555555555556)","(71.0, 130.0, 108.46153846153847)"
07-01-2023 16:11:34.261064,"(5.5, 6.2, 6.046994535519126)","(31.0, 160.0, 113.63636363636364)","(7.5, 9.0, 8.825233644859814)","(81.0, 180.0, 151.42857142857144)","(21.0, 48.0, 45.75)","(51.0, 100.0, 87.14285714285714)","(5.5, 7.0, 6.827692307692308)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 95.33333333333333)","(3.5, 3.9, 3.8666666666666667)","(51.0, 85.0, 70.91836734693878)","(8.0, 11.0, 10.85135135135135)","(6.0, 7.4, 7.100584795321637)","(71.0, 100.0, 95.55555555555556)","(71.0, 130.0, 108.46153846153847)"
07-01-2023 16:11:36.129138,"(5.5, 6.2, 6.046994535519126)","(31.0, 160.0, 113.63636363636364)","(7.5, 9.0, 8.825233644859814)","(81.0, 180.0, 151.42857142857144)","(21.0, 48.0, 45.75)","(51.0, 100.0, 87.14285714285714)","(5.5, 7.0, 6.827692307692308)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 95.33333333333333)","(3.5, 3.9, 3.8666666666666667)","(51.0, 85.0, 70.91836734693878)","(8.0, 11.0, 10.85135135135135)","(6.0, 7.4, 7.100584795321637)","(71.0, 100.0, 95.55555555555556)","(71.0, 130.0, 108.46153846153847)"
07-01-2023 16:11:38.063665,"(5.5, 6.2, 6.056410256410256)","(31.0, 160.0, 113.63636363636364)","(7.5, 9.0, 8.817560975609757)","(81.0, 180.0, 161.8181818181818)","(21.0, 48.0, 45.75)","(51.0, 100.0, 87.14285714285714)","(5.5, 7.0, 6.827692307692308)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 95.33333333333333)","(3.5, 3.9, 3.8666666666666667)","(51.0, 85.0, 70.91836734693878)","(8.0, 11.0, 10.85135135135135)","(6.0, 7.4, 7.100584795321637)","(71.0, 100.0, 95.55555555555556)","(71.0, 130.0, 113.52941176470588)"
07-01-2023 16:11:39.928963,"(5.5, 6.2, 6.056410256410256)","(31.0, 160.0, 113.63636363636364)","(7.5, 9.0, 8.817560975609757)","(81.0, 180.0, 163.33333333333334)","(21.0, 48.0, 45.75)","(51.0, 100.0, 87.14285714285714)","(5.5, 7.0, 6.837681159420289)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 95.33333333333333)","(3.5, 3.9, 3.8695121951219513)","(51.0, 85.0, 70.91836734693878)","(8.0, 11.0, 10.855263157894736)","(6.0, 7.4, 7.104046242774567)","(71.0, 100.0, 96.0)","(71.0, 130.0, 114.44444444444444)"
07-01-2023 16:11:41.742581,"(5.5, 6.2, 6.05929648241206)","(31.0, 160.0, 103.33333333333334)","(7.5, 9.0, 8.820192307692308)","(81.0, 180.0, 163.33333333333334)","(21.0, 48.0, 45.75)","(51.0, 100.0, 80.64516129032258)","(5.5, 7.0, 6.837681159420289)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 95.33333333333333)","(3.5, 3.9, 3.8695121951219513)","(51.0, 85.0, 70.91836734693878)","(8.0, 11.0, 10.855263157894736)","(6.0, 7.4, 7.115555555555556)","(71.0, 100.0, 96.0)","(71.0, 130.0, 114.44444444444444)"
07-01-2023 16:11:43.671185,"(5.5, 6.2, 6.05929648241206)","(31.0, 160.0, 109.0)","(7.5, 9.0, 8.820192307692308)","(81.0, 180.0, 163.33333333333334)","(21.0, 48.0, 45.75)","(51.0, 85.0, 80.64516129032258)","(5.5, 7.0, 6.837681159420289)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 95.33333333333333)","(3.5, 3.9, 3.8695121951219513)","(51.0, 85.0, 70.91836734693878)","(8.5, 11.0, 10.855263157894736)","(6.0, 7.4, 7.109090909090909)","(71.0, 100.0, 96.0)","(71.0, 130.0, 114.44444444444444)"
07-01-2023 16:11:45.487771,"(5.5, 6.2, 6.067924528301887)","(31.0, 160.0, 109.0)","(7.5, 9.0, 8.820192307692308)","(81.0, 180.0, 157.14285714285714)","(21.0, 48.0, 45.75)","(51.0, 85.0, 80.34482758620689)","(5.5, 7.0, 6.837681159420289)","(71.0, 100.0, 96.66666666666667)","(51.0, 100.0, 95.33333333333333)","(3.5, 3.9, 3.8695121951219513)","(51.0, 85.0, 70.91836734693878)","(8.5, 11.0, 10.855263157894736)","(6.0, 7.4, 7.105494505494506)","(71.0, 100.0, 96.0)","(71.0, 130.0, 110.0)"
