,Miracle Of Love,Angel Bail,Midnight Sophie,Dana Big Pete,Red Fire Bay,Ski Slope
09-01-2023 18:58:30.426328,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:31.284159,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:32.129274,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:33.019030,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 75.0)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:33.861799,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:34.781636,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:35.620858,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:36.465701,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:37.346449,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:38.197235,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:39.063538,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:39.972457,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:40.861955,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:41.700766,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:42.553953,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 65.19999999999999)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:43.459247,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:44.360110,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:45.268542,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:46.139285,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:46.984515,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:47.862794,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:48.755894,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:49.643790,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:50.561944,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:51.464472,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:52.361046,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:53.258338,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:54.084872,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:55.016440,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:55.896461,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:56.811943,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:57.703100,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:58.587582,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:59.438597,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:00.312257,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:01.149810,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:02.025777,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:02.944155,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:03.809444,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:04.693116,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:05.554196,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:06.409723,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:07.314072,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:08.224974,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:09.157906,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:10.042810,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:10.877235,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:11.748677,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:12.616311,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 58.92307692307693)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:13.493044,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 63.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:14.410372,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 63.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:15.338470,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 63.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:16.223543,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 63.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:17.079363,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 63.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:17.930087,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 63.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:18.776862,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:19.665840,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:20.539279,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:21.414662,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:22.287257,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:23.129003,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:23.997855,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:24.896391,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:25.795508,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:26.705986,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:27.556934,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:28.405139,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:29.289078,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:30.210947,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:31.178452,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:32.139390,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 55.07692307692307)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:33.093787,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 100.0, 72.625)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:33.983192,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 68.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:34.831881,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 68.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:35.727129,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 68.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:36.668463,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 68.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:37.638694,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 68.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:38.595199,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 68.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:39.493650,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 68.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:40.391879,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 68.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:59:41.289640,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 110.0, 68.5)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
