,Wishing Well,Indy Korie,Chinchilla Mist,Blackpool Dill,Edi Bale,Responder,Kyanna,Whiskey Diva
06-01-2023 14:44:38.981579,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.1, 4.968571428571428)","(6.0, 8.6, 7.875)"
06-01-2023 14:44:40.130411,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.1, 4.968571428571428)","(6.0, 8.6, 7.875)"
06-01-2023 14:44:41.380031,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.1, 4.968571428571428)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:42.619529,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.1, 4.968571428571428)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:43.757922,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.1, 4.968571428571428)","(6.0, 8.6, 7.8999999999999995)"
06-01-2023 14:44:45.029796,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.1, 4.968571428571428)","(6.0, 8.6, 7.8999999999999995)"
06-01-2023 14:44:46.320686,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.1, 5.733962264150943)","(6.0, 8.6, 7.8999999999999995)"
06-01-2023 14:44:47.490933,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 7.0, 5.733962264150943)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:48.633197,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 7.0, 4.555555555555555)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:49.816573,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 7.0, 4.4479999999999995)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:50.991582,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 7.0, 4.4479999999999995)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:52.147478,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 7.0, 6.373684210526315)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:53.308737,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 6.8, 6.373684210526315)","(6.0, 8.6, 8.0)"
06-01-2023 14:44:54.494847,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.5)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 6.8, 6.4625)","(6.0, 8.6, 8.0)"
