,Earstagrin,Tiger Tommy Nz,Kalypso Sam,Preachers Daughter,Tiza New Day,Ellen Shannon,Karinya Max,Zu Hoffen
06-01-2023 17:27:48.389017,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.675)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:49.430547,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.675)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:50.576119,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.675)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:51.725175,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.675)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:52.783924,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.2)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:53.888685,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.685714285714287)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:54.973141,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.78)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:56.106494,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.714285714285714)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:57.189664,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.742857142857144)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:58.350170,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.742857142857144)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:59.474253,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.82)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:00.564685,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.82)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:01.554848,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.861538461538462)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:02.674845,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 29.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:03.782091,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 29.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:04.883077,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:05.908041,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:07.039509,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:08.142131,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:09.228869,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:10.321849,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:11.395265,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:12.477668,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:13.524100,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 46.0, 26.5)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:14.621323,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 44.0, 28.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:15.784556,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 44.0, 22.214285714285715)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 15.0)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:28:16.819458,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 44.0, 22.214285714285715)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:17.853277,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:19.013503,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.871428571428572)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:20.153323,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.836363636363636)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:21.326005,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.7)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:22.444570,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.379999999999999)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.9)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:23.550535,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.8)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:24.580897,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.64)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:25.653226,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.771428571428572)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:26.718858,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.771428571428572)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:27.830792,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.771428571428572)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:28.997182,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.0)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:30.109331,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.457142857142859)","(6.5, 8.8, 8.5)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:31.127024,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.5)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:32.283836,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.5875)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:33.401860,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 13.5875)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:34.537914,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.36)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:35.568685,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 10.316129032258065)","(8.0, 14.5, 10.85)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:36.627840,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.77)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:37.774822,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.77)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:38.888070,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.77)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:39.932501,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.77)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:41.000350,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.77)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:42.045164,"(31.0, 85.0, 72.25)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.77)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:43.070259,"(31.0, 85.0, 54.375)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.77)","(6.5, 9.0, 8.333333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:44.209111,"(31.0, 85.0, 54.375)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.77)","(6.5, 9.0, 8.933333333333334)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:45.432356,"(31.0, 85.0, 54.375)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.08)","(6.5, 9.0, 7.9)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:46.565190,"(31.0, 85.0, 54.375)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.08)","(6.5, 9.0, 7.7)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:47.625662,"(31.0, 85.0, 54.375)","(5.5, 99999, 99990)","(19.0, 42.0, 32.33333333333333)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.08)","(6.5, 9.0, 7.7)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:48.754017,"(31.0, 85.0, 54.375)","(5.5, 99999, 99990)","(19.0, 40.0, 33.0)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.08)","(6.5, 9.0, 8.68888888888889)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:49.943846,"(31.0, 85.0, 54.375)","(5.5, 99999, 99990)","(19.0, 38.0, 33.0)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.08)","(6.5, 9.0, 8.533333333333333)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:51.077446,"(31.0, 85.0, 54.375)","(5.5, 99999, 99990)","(19.0, 38.0, 33.0)","(4.6, 10.5, 9.1)","(8.0, 14.5, 13.08)","(6.5, 9.0, 8.533333333333333)","(10.0, 19.0, 13.333333333333334)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:52.176691,"(31.0, 85.0, 54.375)","(5.5, 99999, 99990)","(19.0, 38.0, 33.0)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 9.0, 8.533333333333333)","(10.0, 19.0, 17.4)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:53.303051,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 9.0, 8.533333333333333)","(10.0, 19.0, 17.4)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:54.452457,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 9.0, 8.533333333333333)","(10.0, 19.0, 17.4)","(2.2, 3.95, 3.1633333333333336)"
06-01-2023 17:28:55.536345,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 9.0, 8.057142857142857)","(10.0, 19.0, 17.4)","(2.2, 3.95, 3.4442857142857144)"
06-01-2023 17:28:56.784450,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 8.8, 7.699999999999999)","(10.0, 19.0, 17.4)","(2.2, 3.95, 3.38)"
06-01-2023 17:28:57.952275,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 9.2, 7.699999999999999)","(10.0, 19.0, 17.4)","(2.2, 4.1, 3.38)"
06-01-2023 17:28:59.056140,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 9.0, 7.6)","(10.0, 19.0, 17.4)","(2.2, 4.1, 3.38)"
06-01-2023 17:29:00.209550,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 9.2, 7.836363636363636)","(10.0, 19.0, 17.4)","(2.2, 4.1, 3.38)"
06-01-2023 17:29:01.361860,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 9.2, 8.266666666666666)","(10.0, 19.0, 17.4)","(2.2, 4.0, 3.09)"
06-01-2023 17:29:02.644358,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.2)","(6.5, 9.2, 8.266666666666666)","(10.0, 19.0, 17.4)","(2.2, 4.0, 3.09)"
06-01-2023 17:29:03.746107,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 10.142857142857142)","(6.5, 9.2, 8.7)","(10.0, 19.0, 17.4)","(2.2, 4.0, 3.09)"
06-01-2023 17:29:04.839179,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 16.5, 10.142857142857142)","(6.5, 9.2, 8.95)","(10.0, 19.0, 17.4)","(2.2, 4.0, 3.09)"
06-01-2023 17:29:06.016169,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 16.5, 10.142857142857142)","(6.5, 9.2, 8.95)","(10.0, 19.0, 17.4)","(2.2, 4.0, 3.09)"
06-01-2023 17:29:07.111803,"(31.0, 85.0, 51.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 16.5, 10.142857142857142)","(6.5, 9.2, 7.866666666666666)","(10.0, 19.0, 14.0)","(2.2, 4.0, 3.09)"
06-01-2023 17:29:08.223161,"(31.0, 85.0, 65.41666666666666)","(5.5, 99999, 99990)","(19.0, 38.0, 29.833333333333332)","(4.6, 10.5, 8.666666666666666)","(8.0, 16.5, 10.142857142857142)","(6.5, 9.2, 8.533333333333333)","(10.0, 19.0, 14.0)","(2.2, 4.0, 3.09)"
