,Sir William Bruce,Jimmys Dream,The Rampant,Dealings Done,Buck Norris,Hill Billy Flyer,Seefeld,Copperchino,Greyt Intentions
11-01-2023 16:14:32.637118,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 11.916666666666666)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:33.822786,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.5)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:35.008318,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.5)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:36.193793,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.5)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:37.365748,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.5)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:38.573026,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.5)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:39.721079,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.5)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:40.940338,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409607686148919)","(10.0, 13.5, 12.833333333333334)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:42.225004,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409607686148919)","(10.0, 14.0, 12.75)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.3)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:43.483654,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409607686148919)","(10.0, 14.0, 12.75)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.3)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:44.740593,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409607686148919)","(10.0, 14.0, 12.75)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.3)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:45.935044,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409607686148919)","(10.0, 14.0, 12.75)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.3)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:47.132137,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409607686148919)","(10.0, 14.0, 12.75)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 27.0)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.3)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:48.368265,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409607686148919)","(10.0, 14.0, 12.75)","(6.5, 10.5, 10.122222222222222)","(16.0, 30.0, 25.5)","(10.0, 16.5, 14.227272727272727)","(12.0, 19.5, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:49.566024,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 12.7)","(6.5, 10.5, 10.190909090909091)","(16.0, 30.0, 25.5)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:50.817875,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 12.7)","(6.5, 10.5, 10.190909090909091)","(16.0, 30.0, 25.5)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:52.038215,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 12.7)","(6.5, 10.5, 10.190909090909091)","(16.0, 30.0, 25.666666666666668)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:53.273518,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 12.875)","(6.5, 10.5, 10.190909090909091)","(16.0, 29.0, 24.625)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:54.364281,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 12.875)","(6.5, 10.5, 10.190909090909091)","(16.0, 29.0, 24.625)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:55.572824,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.722222222222221)","(6.5, 10.5, 10.190909090909091)","(16.0, 29.0, 25.333333333333332)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:56.802323,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.722222222222221)","(6.5, 10.5, 10.190909090909091)","(16.0, 28.0, 25.333333333333332)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:58.050172,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.722222222222221)","(6.5, 10.5, 10.190909090909091)","(16.0, 28.0, 25.0)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:59.340846,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.722222222222221)","(6.5, 10.5, 10.190909090909091)","(16.0, 27.0, 25.0)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:00.491559,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.722222222222221)","(6.5, 10.5, 10.190909090909091)","(16.0, 27.0, 24.375)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:01.577820,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.722222222222221)","(6.5, 10.5, 10.190909090909091)","(16.0, 27.0, 25.0)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:02.741151,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.722222222222221)","(6.5, 10.5, 10.0)","(16.0, 26.0, 25.0)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:03.904483,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.722222222222221)","(6.5, 10.5, 10.0)","(16.0, 26.0, 25.0)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:05.017624,"(7.0, 9.2, 9.046153846153846)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.5, 12.571428571428571)","(6.5, 10.5, 10.330769230769231)","(16.0, 26.0, 21.0)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:06.096349,"(7.0, 10.0, 9.727272727272727)","(1.7, 1.86, 1.8409463722397477)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.330769230769231)","(16.0, 25.0, 21.333333333333332)","(10.0, 16.5, 14.227272727272727)","(12.0, 20.0, 18.4)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:07.262919,"(7.0, 10.0, 9.647058823529411)","(1.7, 1.86, 1.840293637846656)","(10.0, 13.0, 12.225806451612904)","(6.5, 10.5, 10.28)","(16.0, 25.0, 21.333333333333332)","(10.0, 16.5, 14.416666666666666)","(12.0, 20.0, 18.15)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:08.511278,"(7.0, 10.0, 9.571428571428571)","(1.7, 1.86, 1.840293637846656)","(10.0, 13.0, 11.941176470588236)","(6.5, 10.5, 10.330769230769231)","(16.0, 25.0, 21.333333333333332)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:09.773851,"(7.0, 10.0, 9.647058823529411)","(1.7, 1.86, 1.840293637846656)","(10.0, 13.0, 11.941176470588236)","(6.5, 10.5, 9.766666666666667)","(16.0, 25.0, 21.333333333333332)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:11.031534,"(7.0, 10.0, 9.52)","(1.7, 1.86, 1.840293637846656)","(10.0, 13.0, 11.941176470588236)","(6.5, 10.5, 10.16)","(16.0, 25.0, 21.333333333333332)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:12.307429,"(7.0, 10.5, 9.633333333333333)","(1.7, 1.86, 1.840293637846656)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 25.0, 23.166666666666668)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:13.581226,"(7.0, 10.5, 9.633333333333333)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 25.0, 24.352941176470587)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:14.792041,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 25.0, 24.352941176470587)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:15.992002,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 25.0, 24.352941176470587)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:17.254554,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 25.0, 24.352941176470587)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:18.420875,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 25.0, 24.352941176470587)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:19.608588,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 25.0, 22.0)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:20.703085,"(7.0, 10.5, 9.78)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.0)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:21.818056,"(7.0, 10.5, 9.78)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.5)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:22.947796,"(7.0, 10.5, 9.78)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.5)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:24.166315,"(7.0, 10.5, 9.78)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.5)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:25.322184,"(7.0, 10.5, 9.78)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.5)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:26.513667,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.5)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:27.666340,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.5)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:28.822814,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 23.73913043478261)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:29.993384,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 23.73913043478261)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:31.165601,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.666666666666668)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:32.293364,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.666666666666668)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:33.409205,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.666666666666668)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:34.563660,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.666666666666668)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:35.796439,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.666666666666668)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
11-01-2023 16:15:37.079241,"(7.0, 10.5, 9.913333333333334)","(1.7, 1.84, 1.8342857142857143)","(10.0, 13.0, 12.25)","(6.5, 10.5, 10.16)","(16.0, 24.0, 22.666666666666668)","(10.0, 16.5, 14.25)","(12.0, 21.0, 18.130434782608695)","(101.0, 220.0, 184.0)","(101.0, 220.0, 170.0)"
