,Coppola Bale,Besant Bale,Yellow Hawk,Tessa Poppy,Ferocious Betty,Trending Yale,Xyloid Bale,Kanji Waco
11-01-2023 18:20:23.426340,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:24.715411,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:25.886033,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.04)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:27.056161,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 19.0, 18.04)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:28.167332,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:29.233137,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:30.258175,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:31.385035,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:32.501920,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:33.626766,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:34.759247,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:35.929112,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.668032786885246)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:37.018389,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.704)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:38.065966,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.1, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:39.083142,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.05, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:40.117149,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.05, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:41.182808,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.05, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:42.314037,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.05, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:43.448137,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.05, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:44.544698,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.05, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:45.600324,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.05, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:46.701815,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.05, 2.716666666666667)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:47.781683,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.0, 2.716666666666667)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:49.150305,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.0, 2.716666666666667)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:50.315871,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.0, 2.716666666666667)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:51.432629,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.0, 2.716666666666667)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:52.497755,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 22.909090909090907)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.0, 2.716666666666667)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:53.588016,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 26.57142857142857)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.0, 2.716666666666667)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:54.693840,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 22.909090909090907)","(10.0, 20.0, 15.892857142857142)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 3.0, 2.69375)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:55.855845,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 22.909090909090907)","(10.0, 19.5, 15.892857142857142)","(13.0, 27.0, 23.375)","(13.0, 29.0, 26.857142857142858)","(4.4, 6.8, 6.0)","(1.95, 3.2, 2.7133333333333334)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:57.055741,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 22.909090909090907)","(10.0, 19.5, 15.892857142857142)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.0)","(1.95, 2.98, 2.7133333333333334)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:58.205318,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 22.909090909090907)","(10.0, 19.5, 15.892857142857142)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.0)","(1.95, 2.98, 2.7133333333333334)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:59.314083,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 19.5, 15.892857142857142)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.0)","(1.95, 2.98, 2.7133333333333334)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:00.421552,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 19.0, 16.6)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.98, 2.7133333333333334)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:01.604199,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.98, 2.7133333333333334)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:02.655710,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.98, 2.7133333333333334)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:03.686405,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.98, 2.7133333333333334)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:04.874341,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.96, 2.6975000000000002)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:06.208526,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.96, 2.6975000000000002)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:07.358323,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.96, 2.6975000000000002)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:08.504592,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.96, 2.6975000000000002)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:09.590249,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.96, 2.6975000000000002)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:10.811037,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.96, 2.6975000000000002)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:11.988694,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.96, 2.6975000000000002)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:13.185464,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.96, 2.6950000000000003)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:14.253884,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:15.309908,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:16.497915,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:17.690234,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:18.867150,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:19.989924,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.94, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:21.084171,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:22.194481,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 23.375)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.0)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:23.280191,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 19.5, 16.975)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:24.497552,"(9.0, 20.0, 13.25)","(17.0, 40.0, 22.545454545454547)","(10.0, 19.0, 18.04)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:25.587378,"(9.0, 20.0, 15.09090909090909)","(17.0, 40.0, 22.545454545454547)","(10.0, 19.0, 18.04)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.8)"
11-01-2023 18:21:26.758264,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 22.545454545454547)","(10.0, 19.0, 18.04)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.8)"
