,Claim The Crown,Kirkeby,Field Legend,Graces Secret,Chenin,Segrill,Bowery Breeze,Ladies Gem
11-01-2023 14:43:56.809997,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:57.904221,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:59.054098,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:00.213049,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:01.349666,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:02.481560,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:03.636117,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:04.662308,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:05.688764,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:06.806727,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:07.951378,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:09.121015,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 33.266666666666666)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:10.347067,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.266666666666666)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:11.485382,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.266666666666666)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:12.639729,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.266666666666666)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:13.785785,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.266666666666666)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:14.935497,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:16.106502,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:17.143877,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:18.264693,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:19.373340,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:20.502518,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:21.851755,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:23.221411,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:24.510970,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:25.845876,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 33.3125)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:27.087175,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.65, 3.5999999999999996)","(17.0, 34.0, 21.18181818181818)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:28.333944,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.65, 3.5598901098901097)","(17.0, 48.0, 37.230769230769226)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:29.532834,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 10.024999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.85, 3.5598901098901097)","(17.0, 48.0, 37.230769230769226)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:30.748126,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 10.024999999999999)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.85, 3.5598901098901097)","(17.0, 48.0, 37.230769230769226)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:31.906734,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 12.028571428571428)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.85, 3.5598901098901097)","(17.0, 48.0, 74.73684210526315)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:33.085088,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 12.028571428571428)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.85, 3.5598901098901097)","(17.0, 85.0, 74.73684210526315)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:34.341345,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 12.028571428571428)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.85, 3.5595744680851062)","(17.0, 85.0, 74.73684210526315)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:35.565270,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 12.028571428571428)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.85, 3.5595744680851062)","(17.0, 85.0, 74.73684210526315)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:36.735619,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 12.028571428571428)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.85, 3.5595744680851062)","(17.0, 85.0, 74.73684210526315)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:37.915470,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 12.028571428571428)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.85, 3.5595744680851062)","(17.0, 85.0, 74.73684210526315)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:39.113032,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 12.028571428571428)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 21.5)","(3.0, 3.85, 3.5595744680851062)","(17.0, 85.0, 74.73684210526315)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:44:40.294474,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 12.028571428571428)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(17.0, 85.0, 74.73684210526315)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:41.477889,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 11.675)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(17.0, 85.0, 74.73684210526315)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:42.638850,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.5, 11.675)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(17.0, 85.0, 47.666666666666664)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:43.836141,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(17.0, 85.0, 47.666666666666664)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:44.970561,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 85.0, 47.666666666666664)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:46.064090,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 85.0, 47.666666666666664)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:47.193017,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 85.0, 47.666666666666664)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:48.327502,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 85.0, 47.666666666666664)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:49.424383,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 85.0, 47.666666666666664)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:50.536948,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 85.0, 61.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:51.651230,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 39.15789473684211)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:52.775249,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 39.15789473684211)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:53.939599,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 39.15789473684211)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:55.072835,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 39.15789473684211)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:56.228861,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 39.15789473684211)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:57.219432,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 26.53333333333333)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:58.277869,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 26.53333333333333)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:44:59.479665,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 26.53333333333333)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:45:00.598871,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 26.53333333333333)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:45:01.748471,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.727272727272727)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 26.53333333333333)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 23.272727272727273)"
11-01-2023 14:45:03.005543,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 34.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 22.73076923076923)"
11-01-2023 14:45:04.182621,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 34.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.73076923076923)"
11-01-2023 14:45:05.371023,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 34.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.73076923076923)"
11-01-2023 14:45:06.538188,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 34.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.73076923076923)"
11-01-2023 14:45:07.627234,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 34.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.73076923076923)"
11-01-2023 14:45:08.683915,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 34.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.73076923076923)"
11-01-2023 14:45:09.802591,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 34.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.48148148148148)"
11-01-2023 14:45:10.983888,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 34.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.48148148148148)"
11-01-2023 14:45:12.195129,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 34.0)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.73076923076923)"
11-01-2023 14:45:13.367539,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 37.888888888888886)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.73076923076923)"
11-01-2023 14:45:14.517029,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 37.888888888888886)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.73076923076923)"
11-01-2023 14:45:15.737157,"(5.5, 7.2, 6.50909090909091)","(7.0, 12.0, 10.6)","(7.0, 12.0, 9.479999999999999)","(15.0, 28.0, 19.25)","(3.0, 3.85, 3.5595744680851062)","(19.0, 90.0, 37.888888888888886)","(3.9, 4.7, 4.597237569060773)","(16.0, 23.0, 22.73076923076923)"
