,Assertin Lady,Astrophysics,Bout,Chica Bonita,Harbelle,Kasear,Shadie Milly,Shes Enuff,Vancity
15-12-2022 14:44:17.082275,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 41.75)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:18.154446,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 42.22222222222222)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:19.231529,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 42.22222222222222)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:20.312864,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 42.22222222222222)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:21.425465,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 42.22222222222222)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:22.500581,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 42.22222222222222)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:23.550645,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:24.657114,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:25.675682,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:26.731504,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:27.813715,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:28.869951,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:29.946358,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:31.017304,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:32.080650,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:33.137324,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:34.212246,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:35.284459,"(2.3, 2.9, 2.876923076923077)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:36.363789,"(2.3, 2.9, 2.876923076923077)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:37.501897,"(2.3, 2.9, 2.876923076923077)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:38.555981,"(2.3, 2.9, 2.876923076923077)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:39.692014,"(2.3, 2.9, 2.876923076923077)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:40.832460,"(2.3, 2.9, 2.876923076923077)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 63.25)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
