,Halloween,Bettor Sport,Kaybee Starzzz,Theultimate,Bettathanapokeindeye Nz,Guy Looks Good,Classie American Nz,Imperious,Kickatinalongpony,Our Modern Minnie
09-01-2023 15:56:51.928343,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 7.845454545454545)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:53.127437,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.2, 7.845454545454545)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:54.341347,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.2, 7.845454545454545)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:55.546656,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.2, 7.823809523809524)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:56.753271,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.0, 7.823809523809524)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:57.994358,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 47.2)","(5.0, 99999, 99990)","(4.4, 8.0, 6.6)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:59.259750,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.34)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 47.2)","(5.0, 99999, 99990)","(4.4, 8.0, 6.6)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:57:00.505336,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.34)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 47.2)","(5.0, 99999, 99990)","(4.4, 8.0, 6.6)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:57:01.712070,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.34)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 47.2)","(5.0, 99999, 99990)","(4.4, 8.0, 6.6)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:57:03.056134,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.34)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 47.2)","(5.0, 99999, 99990)","(4.4, 8.0, 6.0)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:04.307506,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 40.0)","(5.0, 99999, 99990)","(4.4, 8.0, 6.0)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:05.549971,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 38.285714285714285)","(5.0, 99999, 99990)","(4.4, 8.0, 6.0)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:06.825938,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 38.285714285714285)","(5.0, 99999, 99990)","(4.4, 8.0, 6.0)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:08.090852,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 38.285714285714285)","(5.0, 99999, 99990)","(4.4, 8.0, 6.0)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:09.399668,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 38.285714285714285)","(5.0, 99999, 99990)","(4.4, 8.0, 6.0)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:10.633192,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 38.285714285714285)","(5.0, 99999, 99990)","(4.4, 8.0, 6.0)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:11.868487,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:13.163593,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:14.450050,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:15.744188,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:17.029640,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:18.250293,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:19.472883,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:20.718177,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:21.965780,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:23.161505,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:24.416078,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:25.684666,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:26.887772,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:28.124150,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:29.515333,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:30.868513,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:32.212289,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.1, 3.980983606557377)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:33.546696,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.0, 3.9107692307692306)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:34.874245,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 4.0, 3.325)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:36.178496,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 3.95, 3.1)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:37.430836,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 3.9, 3.1)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:38.722803,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 3.9, 3.466666666666667)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:40.044803,"(8.5, 15.0, 12.4)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 3.85, 3.5675)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:41.436925,"(8.5, 15.0, 13.2)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 3.85, 3.368)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:42.731238,"(8.5, 15.0, 13.2)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 3.8, 3.4925)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:44.009551,"(8.5, 15.0, 13.2)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 3.75, 3.4925)","(31.0, 140.0, 81.11111111111111)"
09-01-2023 15:57:45.339817,"(8.5, 15.0, 13.2)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.4, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 3.75, 3.4925)","(31.0, 140.0, 88.0)"
09-01-2023 15:57:46.633118,"(8.5, 15.0, 13.2)","(9.0, 20.0, 11.0)","(71.0, 220.0, 158.46153846153845)","(21.0, 55.0, 21.57142857142857)","(5.0, 99999, 99990)","(4.6, 8.0, 5.942857142857143)","(5.5, 99999, 99990)","(15.0, 32.0, 24.8)","(2.9, 3.75, 3.6425)","(31.0, 140.0, 88.0)"
