,Willful Bale,Rockstar Ohlmus,Zipping Bonanza,Jolene Bale,Hill Top Jonah,Ivy Isobel,Gypsy Play,Irving Bale
11-01-2023 21:04:48.516712,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.888888888888886)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:49.949102,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 184.0)","(41.0, 370.0, 192.1818181818182)","(8.0, 16.0, 9.385714285714284)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.68, 2.264615384615385)"
11-01-2023 21:04:51.275080,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 370.0, 192.1818181818182)","(8.0, 16.5, 9.385714285714284)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.68, 2.264615384615385)"
11-01-2023 21:04:52.566320,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 370.0, 202.0)","(8.0, 16.5, 9.385714285714284)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:53.839123,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 360.0, 183.0909090909091)","(8.0, 16.5, 9.385714285714284)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:55.170591,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 9.385714285714284)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:56.456255,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 9.385714285714284)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:57.761892,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 9.385714285714284)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:59.047250,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 9.385714285714284)","(9.0, 18.0, 14.0)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.68, 2.264615384615385)"
11-01-2023 21:05:00.387828,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 9.385714285714284)","(9.0, 19.0, 14.0)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.68, 2.332)"
11-01-2023 21:05:01.736203,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 9.385714285714284)","(9.0, 19.0, 14.0)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.78, 2.3600000000000003)"
11-01-2023 21:05:03.079030,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 9.385714285714284)","(9.0, 19.0, 14.0)","(5.0, 9.6, 7.2)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:04.414199,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.4, 8.553846153846154)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:05.768344,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 8.553846153846154)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:07.018405,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 8.553846153846154)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:08.298310,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 8.553846153846154)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:09.543350,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 8.553846153846154)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:10.782518,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:12.134661,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:13.765199,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:15.049199,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 43.40909090909091)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:16.243715,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:17.522081,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.863636363636363)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:18.818874,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 16.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:20.076165,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:21.336293,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:22.561525,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.3600000000000003)"
11-01-2023 21:05:23.878164,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.2600000000000002)"
11-01-2023 21:05:25.227748,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 120.0)","(41.0, 350.0, 183.0909090909091)","(8.0, 15.5, 11.409090909090908)","(9.0, 19.0, 14.0)","(5.0, 9.2, 7.999999999999999)","(18.0, 65.0, 41.5)","(2.15, 2.66, 2.2600000000000002)"
