,Classic Boom,Leisure Games,Oakfield Feather,Pie Party,Swanic Boom,Dare I Say,Hearsay,I Am Takingthelot,In Barcelona,White Ribbon,Yasmeen
11-01-2023 12:35:40.704339,"(20.0, 23.0, 19.884615384615383)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:42.730727,"(20.0, 23.0, 19.884615384615383)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:44.462288,"(20.0, 23.0, 20.666666666666668)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:46.136421,"(20.0, 25.0, 20.125)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:47.815232,"(20.0, 25.0, 20.125)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:49.545898,"(20.0, 25.0, 20.125)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.671428571428572)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:51.273721,"(20.0, 25.0, 20.125)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.671428571428572)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:53.005735,"(20.0, 25.0, 20.125)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.671428571428572)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:54.653167,"(20.0, 25.0, 20.125)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.671428571428572)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:56.360102,"(20.0, 25.0, 22.214285714285715)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.671428571428572)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7266666666666666)"
11-01-2023 12:35:58.238680,"(20.0, 25.0, 19.875)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 72.35714285714286)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7422222222222223)"
11-01-2023 12:35:59.964054,"(20.0, 24.0, 19.875)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 72.35714285714286)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7422222222222223)"
11-01-2023 12:36:01.678999,"(20.0, 24.0, 20.11764705882353)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 71.30000000000001)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 19.0, 17.625)","(2.35, 2.82, 2.7422222222222223)"
11-01-2023 12:36:03.450976,"(20.0, 24.0, 20.11764705882353)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 71.30000000000001)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.7422222222222223)"
11-01-2023 12:36:05.278830,"(20.0, 24.0, 20.11764705882353)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 71.30000000000001)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.7422222222222223)"
11-01-2023 12:36:07.201414,"(20.0, 24.0, 23.38888888888889)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 71.30000000000001)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.7422222222222223)"
11-01-2023 12:36:09.165694,"(20.0, 24.0, 23.5)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 71.30000000000001)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.7422222222222223)"
11-01-2023 12:36:11.114788,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 71.30000000000001)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.76)"
11-01-2023 12:36:13.396434,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 71.30000000000001)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.76)"
11-01-2023 12:36:15.604778,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 71.30000000000001)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.76)"
11-01-2023 12:36:17.771885,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.76)"
11-01-2023 12:36:19.735647,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.80952380952381)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.76)"
11-01-2023 12:36:21.760360,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 12.117647058823529)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.76)"
11-01-2023 12:36:23.606378,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 12.117647058823529)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.82, 2.76)"
11-01-2023 12:36:25.426969,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.80952380952381)","(4.2, 6.8, 6.575)","(15.0, 21.0, 20.5)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.7636363636363637)"
11-01-2023 12:36:27.241917,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.80952380952381)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.7636363636363637)"
11-01-2023 12:36:29.094474,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 12.117647058823529)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.7636363636363637)"
11-01-2023 12:36:30.919775,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 12.117647058823529)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.791)"
11-01-2023 12:36:32.859200,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 12.117647058823529)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.791)"
11-01-2023 12:36:34.686272,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 12.117647058823529)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.791)"
11-01-2023 12:36:36.491348,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.80952380952381)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.83125)"
11-01-2023 12:36:38.255441,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 61.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.80952380952381)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.83125)"
11-01-2023 12:36:40.044684,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.80952380952381)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.83125)"
11-01-2023 12:36:42.301195,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.80952380952381)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.83125)"
11-01-2023 12:36:44.309082,"(20.0, 25.0, 24.142857142857142)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.214285714285714)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.84, 2.822857142857143)"
11-01-2023 12:36:47.440342,"(20.0, 25.0, 23.625)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 60.285714285714285)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.214285714285714)","(4.2, 6.8, 6.575)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.9, 2.7548387096774194)"
11-01-2023 12:36:49.450255,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 70.0, 51.0)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.5)","(4.2, 6.8, 6.2375)","(15.0, 20.0, 16.9375)","(12.0, 18.5, 17.625)","(2.35, 2.9, 2.748421052631579)"
11-01-2023 12:36:50.980364,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 49.33333333333333)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.5)","(4.2, 6.8, 6.2375)","(15.0, 20.0, 16.9375)","(12.0, 18.5, 17.625)","(2.35, 2.9, 2.748421052631579)"
11-01-2023 12:36:52.568453,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 49.33333333333333)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.5)","(4.2, 6.8, 6.2375)","(15.0, 20.0, 16.9375)","(12.0, 18.5, 17.625)","(2.35, 2.9, 2.748421052631579)"
11-01-2023 12:36:54.337180,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 49.33333333333333)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.5)","(4.2, 6.8, 6.2375)","(15.0, 20.0, 16.9375)","(12.0, 18.5, 17.625)","(2.35, 2.9, 2.720740740740741)"
11-01-2023 12:36:56.030112,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 49.33333333333333)","(41.0, 75.0, 48.75)","(9.0, 13.0, 11.928571428571429)","(4.2, 6.8, 6.575)","(15.0, 20.0, 18.3)","(12.0, 18.5, 17.625)","(2.35, 2.9, 2.7600000000000002)"
11-01-2023 12:36:57.784136,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 49.33333333333333)","(41.0, 75.0, 48.75)","(9.0, 13.0, 12.4)","(4.2, 6.8, 6.575)","(15.0, 19.5, 18.3)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.76)"
11-01-2023 12:36:59.290063,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 56.714285714285715)","(41.0, 75.0, 48.75)","(9.0, 13.0, 12.4)","(4.2, 6.8, 6.575)","(15.0, 19.5, 18.3)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7314285714285713)"
11-01-2023 12:37:01.038854,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 65.0, 56.714285714285715)","(41.0, 75.0, 48.75)","(9.0, 13.0, 12.25)","(4.2, 6.8, 6.575)","(15.0, 19.5, 18.3)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7314285714285713)"
11-01-2023 12:37:02.921563,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 65.0, 56.714285714285715)","(41.0, 75.0, 48.75)","(9.0, 13.5, 12.029411764705882)","(4.2, 6.8, 6.6875)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7314285714285713)"
11-01-2023 12:37:04.698090,"(20.0, 25.0, 22.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 65.0, 56.714285714285715)","(41.0, 75.0, 48.75)","(9.0, 13.5, 11.714285714285714)","(4.2, 6.8, 6.6875)","(15.0, 21.0, 19.875)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7541176470588233)"
11-01-2023 12:37:06.202359,"(20.0, 25.0, 21.0)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 65.0, 53.14285714285714)","(41.0, 75.0, 50.0)","(9.0, 13.5, 11.714285714285714)","(4.2, 6.8, 6.444444444444445)","(15.0, 20.0, 18.6)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7541176470588233)"
11-01-2023 12:37:07.684593,"(20.0, 24.0, 21.0)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 53.14285714285714)","(41.0, 70.0, 50.0)","(9.0, 13.5, 11.588235294117647)","(4.2, 6.6, 6.444444444444445)","(15.0, 20.0, 18.6)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7541176470588233)"
11-01-2023 12:37:09.111434,"(20.0, 24.0, 21.0)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 53.14285714285714)","(41.0, 70.0, 50.0)","(9.0, 13.5, 11.588235294117647)","(4.2, 6.6, 6.444444444444445)","(15.0, 20.0, 18.4)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7541176470588233)"
11-01-2023 12:37:10.903088,"(20.0, 24.0, 20.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 53.14285714285714)","(41.0, 70.0, 60.0)","(9.0, 13.5, 11.588235294117647)","(4.2, 6.6, 6.32)","(15.0, 20.0, 18.4)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7541176470588233)"
11-01-2023 12:37:12.557737,"(20.0, 24.0, 20.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 53.14285714285714)","(41.0, 70.0, 60.0)","(9.0, 13.5, 11.588235294117647)","(4.2, 6.6, 6.32)","(15.0, 20.0, 18.4)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7541176470588233)"
11-01-2023 12:37:14.164674,"(20.0, 24.0, 20.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 53.14285714285714)","(41.0, 70.0, 60.0)","(9.0, 13.5, 11.588235294117647)","(4.2, 6.6, 6.32)","(15.0, 20.0, 18.4)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7541176470588233)"
11-01-2023 12:37:15.782003,"(20.0, 24.0, 20.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 60.0, 46.55555555555556)","(41.0, 70.0, 50.0)","(9.0, 13.5, 11.588235294117647)","(4.2, 6.6, 6.32)","(15.0, 20.0, 18.4)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7541176470588233)"
11-01-2023 12:37:17.252860,"(20.0, 24.0, 20.25)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.975)","(31.0, 55.0, 46.0)","(41.0, 60.0, 45.0)","(9.0, 13.5, 11.588235294117647)","(4.2, 6.6, 6.32)","(15.0, 20.0, 18.4)","(12.0, 18.5, 17.625)","(2.35, 2.86, 2.7541176470588233)"
