,Blitzem Benny,Artimos,No More Promises,Gracenava,Shady Jess,Tara Leeann,White Pointer,Glitter Strip,Notmuchuptop,Mach Charm
09-01-2023 13:47:34.597730,"(31.0, 55.0, 50.75)","(21.0, 38.0, 36.8)","(14.0, 25.0, 21.4)","(15.0, 28.0, 22.333333333333332)","(2.9, 3.9, 3.3511363636363636)","(4.6, 6.0, 5.714285714285714)","(71.0, 180.0, 133.33333333333334)","(12.0, 14.5, 13.935483870967742)","(4.6, 4.8, 4.795454545454545)","(7.0, 8.0, 7.617391304347826)"
09-01-2023 13:47:35.989441,"(31.0, 55.0, 47.5)","(21.0, 38.0, 36.8)","(14.0, 25.0, 21.0)","(15.0, 27.0, 23.0)","(2.9, 3.45, 3.7)","(4.6, 5.9, 5.892857142857143)","(71.0, 180.0, 162.5)","(12.0, 14.0, 13.455172413793104)","(4.6, 4.8, 4.815555555555556)","(7.0, 8.0, 7.6117647058823525)"
09-01-2023 13:47:37.386256,"(31.0, 55.0, 49.5)","(21.0, 38.0, 36.8)","(14.0, 25.0, 21.57142857142857)","(15.0, 27.0, 24.636363636363637)","(2.9, 3.85, 3.76)","(4.6, 6.0, 5.722222222222222)","(71.0, 180.0, 133.33333333333334)","(12.0, 15.0, 14.0)","(4.6, 4.9, 4.794444444444444)","(7.0, 8.0, 7.6499999999999995)"
09-01-2023 13:47:38.733419,"(31.0, 55.0, 49.5)","(21.0, 38.0, 36.8)","(14.0, 25.0, 21.57142857142857)","(15.0, 27.0, 24.636363636363637)","(2.9, 3.8, 3.76)","(4.6, 6.0, 5.875)","(71.0, 180.0, 162.5)","(12.0, 14.5, 14.627272727272727)","(4.6, 4.9, 4.791428571428572)","(7.0, 8.0, 7.4750000000000005)"
09-01-2023 13:47:40.339675,"(31.0, 55.0, 45.66666666666667)","(21.0, 38.0, 38.0)","(14.0, 25.0, 18.666666666666668)","(15.0, 27.0, 27.5)","(2.9, 3.8, 4.32)","(4.6, 6.0, 6.6230769230769235)","(71.0, 180.0, 282.5)","(12.0, 15.0, 13.5)","(4.6, 4.9, 5.949999999999999)","(7.0, 8.0, 8.22)"
09-01-2023 13:47:41.882331,"(31.0, 85.0, 48.0)","(21.0, 46.0, 38.0)","(14.0, 32.0, 18.666666666666668)","(14.0, 38.0, 31.5)","(2.9, 5.2, 3.3666666666666667)","(4.6, 7.2, 6.6230769230769235)","(71.0, 500.0, 282.5)","(12.0, 21.0, 13.5)","(4.6, 7.6, 5.949999999999999)","(7.0, 12.0, 6.96)"
09-01-2023 13:47:43.464030,"(31.0, 70.0, 48.0)","(21.0, 46.0, 40.666666666666664)","(14.0, 32.0, 8.027777777777779)","(14.0, 36.0, 21.666666666666668)","(2.9, 3.4, 3.3166666666666664)","(4.6, 7.2, 4.566666666666666)","(71.0, 500.0, 282.5)","(12.0, 21.0, 15.375)","(4.6, 7.6, 5.9714285714285715)","(7.0, 12.0, 8.363636363636363)"
09-01-2023 13:47:44.894221,"(31.0, 70.0, 52.0)","(21.0, 46.0, 40.666666666666664)","(14.0, 9.0, 8.027777777777779)","(14.0, 36.0, 21.666666666666668)","(2.9, 3.4, 3.3166666666666664)","(4.6, 4.7, 4.566666666666666)","(71.0, 500.0, 282.5)","(12.0, 21.0, 15.375)","(4.6, 7.6, 5.699999999999999)","(7.0, 12.0, 8.0)"
09-01-2023 13:47:46.358744,"(31.0, 70.0, 40.666666666666664)","(21.0, 46.0, 35.333333333333336)","(14.0, 24.0, 18.866666666666667)","(14.0, 36.0, 28.5)","(2.9, 3.4, 3.195)","(4.6, 7.0, 5.85)","(71.0, 500.0, 391.25)","(12.0, 21.0, 15.375)","(4.6, 7.6, 4.75)","(7.0, 12.0, 8.0)"
09-01-2023 13:47:47.715162,"(31.0, 70.0, 34.0)","(21.0, 46.0, 35.333333333333336)","(14.0, 8.8, 8.628571428571428)","(14.0, 36.0, 28.5)","(2.9, 3.4, 3.28)","(4.6, 7.2, 6.45)","(71.0, 500.0, 391.25)","(12.0, 21.0, 15.375)","(4.6, 7.6, 4.8625)","(7.0, 12.0, 8.0)"
09-01-2023 13:47:49.153020,"(31.0, 60.0, 33.75)","(21.0, 46.0, 38.0)","(14.0, 8.8, 8.628571428571428)","(14.0, 36.0, 29.571428571428573)","(2.9, 3.4, 3.28)","(4.6, 7.2, 5.95)","(71.0, 500.0, 285.0)","(12.0, 21.0, 15.375)","(4.6, 7.6, 4.9)","(7.0, 12.0, 8.0)"
09-01-2023 13:47:50.668435,"(31.0, 55.0, 35.0)","(21.0, 46.0, 38.0)","(14.0, 8.6, 8.444444444444445)","(14.0, 36.0, 29.571428571428573)","(2.9, 3.4, 3.3)","(4.6, 7.2, 6.042857142857143)","(71.0, 500.0, 285.0)","(12.0, 21.0, 14.035714285714286)","(4.6, 7.6, 4.9)","(7.0, 12.0, 8.0)"
