,Maheno,Reality Jewel,On The Cusp,Malaika Bale,Prince Of Egypt,Wolf,Master Jackal
12,"[datetime.datetime(2022, 11, 28, 13, 47, 38, 577617), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 38, 577617), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 38, 577617), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 38, 577617), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 38, 577617), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 38, 577617), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 38, 577617), 101.0, 580.0]"
13,"[datetime.datetime(2022, 11, 28, 13, 47, 39, 764105), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 39, 764105), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 39, 764105), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 39, 764105), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 39, 764105), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 39, 764105), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 39, 764105), 101.0, 580.0]"
14,"[datetime.datetime(2022, 11, 28, 13, 47, 40, 912216), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 40, 912216), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 40, 912216), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 40, 912216), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 40, 912216), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 40, 912216), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 40, 912216), 101.0, 580.0]"
15,"[datetime.datetime(2022, 11, 28, 13, 47, 42, 33247), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 42, 33247), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 42, 33247), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 42, 33247), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 42, 33247), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 42, 33247), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 42, 33247), 101.0, 580.0]"
16,"[datetime.datetime(2022, 11, 28, 13, 47, 43, 161910), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 43, 161910), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 43, 161910), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 43, 161910), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 43, 161910), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 43, 161910), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 43, 161910), 101.0, 580.0]"
17,"[datetime.datetime(2022, 11, 28, 13, 47, 44, 275611), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 44, 275611), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 44, 275611), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 44, 275611), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 44, 275611), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 44, 275611), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 44, 275611), 101.0, 580.0]"
18,"[datetime.datetime(2022, 11, 28, 13, 47, 45, 400706), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 45, 400706), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 45, 400706), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 45, 400706), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 45, 400706), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 45, 400706), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 45, 400706), 101.0, 570.0]"
19,"[datetime.datetime(2022, 11, 28, 13, 47, 46, 518909), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 46, 518909), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 46, 518909), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 46, 518909), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 46, 518909), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 46, 518909), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 46, 518909), 101.0, 570.0]"
20,"[datetime.datetime(2022, 11, 28, 13, 47, 47, 649052), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 47, 649052), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 47, 649052), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 47, 649052), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 47, 649052), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 47, 649052), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 47, 649052), 101.0, 570.0]"
21,"[datetime.datetime(2022, 11, 28, 13, 47, 48, 822588), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 48, 822588), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 48, 823589), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 48, 823589), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 48, 823589), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 48, 823589), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 48, 823589), 101.0, 570.0]"
22,"[datetime.datetime(2022, 11, 28, 13, 47, 50, 25789), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 50, 25789), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 50, 25789), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 50, 25789), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 50, 25789), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 50, 25789), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 50, 25789), 101.0, 570.0]"
23,"[datetime.datetime(2022, 11, 28, 13, 47, 51, 198586), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 51, 198586), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 51, 198586), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 51, 198586), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 51, 198586), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 51, 198586), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 51, 198586), 101.0, 570.0]"
24,"[datetime.datetime(2022, 11, 28, 13, 47, 52, 452032), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 52, 452032), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 52, 452032), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 52, 452032), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 52, 452032), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 52, 452032), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 52, 452032), 101.0, 570.0]"
25,"[datetime.datetime(2022, 11, 28, 13, 47, 53, 747797), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 53, 747797), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 53, 747797), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 53, 747797), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 53, 747797), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 53, 747797), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 53, 747797), 101.0, 570.0]"
26,"[datetime.datetime(2022, 11, 28, 13, 47, 54, 929709), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 54, 929709), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 54, 929709), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 54, 929709), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 54, 929709), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 54, 929709), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 54, 929709), 101.0, 570.0]"
27,"[datetime.datetime(2022, 11, 28, 13, 47, 56, 57114), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 56, 57114), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 56, 57114), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 56, 57114), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 56, 57114), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 56, 57114), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 56, 57114), 101.0, 590.0]"
28,"[datetime.datetime(2022, 11, 28, 13, 47, 57, 192360), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 57, 192360), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 57, 192360), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 57, 192360), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 57, 192360), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 57, 192360), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 57, 192360), 101.0, 590.0]"
29,"[datetime.datetime(2022, 11, 28, 13, 47, 58, 315125), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 58, 315125), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 58, 315125), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 58, 315125), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 58, 315125), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 58, 315125), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 58, 315125), 101.0, 590.0]"
30,"[datetime.datetime(2022, 11, 28, 13, 47, 59, 442941), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 59, 442941), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 59, 442941), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 59, 442941), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 59, 442941), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 59, 442941), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 59, 442941), 101.0, 590.0]"
31,"[datetime.datetime(2022, 11, 28, 13, 48, 0, 573905), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 0, 573905), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 0, 573905), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 0, 573905), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 0, 573905), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 0, 573905), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 0, 573905), 101.0, 590.0]"
32,"[datetime.datetime(2022, 11, 28, 13, 48, 1, 696586), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 1, 696586), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 1, 696586), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 1, 696586), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 1, 696586), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 1, 696586), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 1, 696586), 101.0, 590.0]"
33,"[datetime.datetime(2022, 11, 28, 13, 48, 2, 811688), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 2, 811688), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 2, 811688), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 2, 811688), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 2, 811688), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 2, 811688), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 2, 811688), 101.0, 590.0]"
34,"[datetime.datetime(2022, 11, 28, 13, 48, 3, 956098), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 3, 956098), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 3, 956098), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 3, 956098), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 3, 956098), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 3, 956098), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 3, 956098), 101.0, 590.0]"
35,"[datetime.datetime(2022, 11, 28, 13, 48, 5, 86787), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 5, 86787), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 5, 86787), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 5, 86787), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 5, 86787), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 5, 86787), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 5, 86787), 101.0, 590.0]"
36,"[datetime.datetime(2022, 11, 28, 13, 48, 6, 225212), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 6, 225212), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 6, 225212), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 6, 225212), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 6, 225212), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 6, 225212), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 6, 225212), 101.0, 590.0]"
37,"[datetime.datetime(2022, 11, 28, 13, 48, 7, 378578), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 7, 378578), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 7, 378578), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 7, 378578), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 7, 378578), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 7, 378578), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 7, 378578), 101.0, 590.0]"
38,"[datetime.datetime(2022, 11, 28, 13, 48, 8, 513724), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 8, 513724), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 8, 513724), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 8, 513724), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 8, 513724), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 8, 513724), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 8, 513724), 101.0, 590.0]"
39,"[datetime.datetime(2022, 11, 28, 13, 48, 9, 643081), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 9, 643081), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 9, 643081), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 9, 643081), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 9, 643081), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 9, 643081), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 9, 643081), 101.0, 590.0]"
40,"[datetime.datetime(2022, 11, 28, 13, 48, 10, 767652), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 10, 767652), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 10, 767652), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 10, 767652), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 10, 767652), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 10, 767652), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 10, 767652), 101.0, 590.0]"
41,"[datetime.datetime(2022, 11, 28, 13, 48, 11, 897745), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 11, 897745), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 11, 897745), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 11, 897745), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 11, 897745), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 11, 897745), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 11, 897745), 101.0, 590.0]"
42,"[datetime.datetime(2022, 11, 28, 13, 48, 13, 12137), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 13, 12137), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 13, 12137), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 13, 12137), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 13, 12137), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 13, 12137), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 13, 12137), 101.0, 590.0]"
43,"[datetime.datetime(2022, 11, 28, 13, 48, 14, 134430), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 14, 134430), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 14, 134430), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 14, 134430), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 14, 134430), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 14, 134430), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 14, 134430), 101.0, 590.0]"
44,"[datetime.datetime(2022, 11, 28, 13, 48, 15, 251908), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 15, 251908), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 15, 251908), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 15, 251908), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 15, 251908), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 15, 251908), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 15, 251908), 101.0, 590.0]"
45,"[datetime.datetime(2022, 11, 28, 13, 48, 16, 367281), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 48, 16, 367281), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 48, 16, 367281), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 48, 16, 367281), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 48, 16, 367281), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 48, 16, 367281), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 48, 16, 367281), 101.0, 590.0]"
