,Summer Classic,Sahara Castle,King Wylde,Summer Fiesta,Lornas Flying,Wallys Boy,Johnny Baha,Tuta Grizzly
04-01-2023 13:00:45.311335,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.6980392156862747)"
04-01-2023 13:00:46.405304,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.6980392156862747)"
04-01-2023 13:00:47.453413,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 4.091666666666667)"
04-01-2023 13:00:48.578209,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 4.091666666666667)"
04-01-2023 13:00:49.676271,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:00:50.764844,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:00:51.797834,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:00:52.846418,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:00:53.832056,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:00:54.908546,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:00:55.985985,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:00:57.081497,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:00:58.098445,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:00:59.138952,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:01:00.180702,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:01:01.187496,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:01:02.163153,"(71.0, 590.0, 387.5)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.934615384615385)"
04-01-2023 13:01:03.261882,"(71.0, 960.0, 505.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.0, 3.576923076923077)"
04-01-2023 13:01:04.400231,"(71.0, 960.0, 400.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.0, 3.576923076923077)"
04-01-2023 13:01:05.463340,"(71.0, 960.0, 400.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.0, 3.576923076923077)"
04-01-2023 13:01:06.502970,"(71.0, 960.0, 400.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.2142857142857144)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.0, 3.272727272727273)"
04-01-2023 13:01:07.481849,"(71.0, 590.0, 325.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.408695652173913)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.0, 3.8285714285714283)"
04-01-2023 13:01:08.492628,"(71.0, 590.0, 325.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.408695652173913)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.8285714285714283)"
04-01-2023 13:01:09.571673,"(71.0, 590.0, 325.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.408695652173913)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.355)"
04-01-2023 13:01:10.662088,"(71.0, 590.0, 325.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.355)"
04-01-2023 13:01:11.780860,"(71.0, 590.0, 325.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.355)"
04-01-2023 13:01:12.866456,"(71.0, 590.0, 325.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.355)"
04-01-2023 13:01:13.955731,"(71.0, 590.0, 325.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.355)"
04-01-2023 13:01:14.978549,"(71.0, 590.0, 325.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.355)"
04-01-2023 13:01:16.071883,"(71.0, 590.0, 325.0)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.355)"
04-01-2023 13:01:17.088769,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.355)"
04-01-2023 13:01:18.187862,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.3, 3.4689189189189187)"
04-01-2023 13:01:19.390585,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.3787878787878785)"
04-01-2023 13:01:20.521070,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.826923076923077)"
04-01-2023 13:01:21.619973,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.826923076923077)"
04-01-2023 13:01:22.721455,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.826923076923077)"
04-01-2023 13:01:23.849465,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.7363636363636363)"
04-01-2023 13:01:24.917622,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.7363636363636363)"
04-01-2023 13:01:25.957463,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.7363636363636363)"
04-01-2023 13:01:26.989211,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.7363636363636363)"
04-01-2023 13:01:28.066809,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.4125)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.7363636363636363)"
04-01-2023 13:01:29.171808,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 4.134090909090909)"
04-01-2023 13:01:30.261492,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.6444444444444444)"
04-01-2023 13:01:31.341129,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:32.443033,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:33.539221,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.3, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:34.579926,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:35.624105,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:36.676071,"(71.0, 590.0, 325.0)","(6.5, 15.5, 11.190909090909091)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:37.743618,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.5, 11.190909090909091)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:38.844735,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.5, 11.190909090909091)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:39.936166,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.5, 11.190909090909091)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:41.056964,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:42.125760,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:43.212081,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:44.205247,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:45.224910,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:46.213124,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:47.192521,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:48.278036,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:49.271491,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:50.333086,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:51.399413,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:52.510660,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:53.591245,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:54.693603,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:55.732485,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:56.791494,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:57.832037,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:01:58.937446,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:02:00.036055,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:02:01.135808,"(71.0, 940.0, 606.25)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
04-01-2023 13:02:02.244198,"(71.0, 940.0, 495.0)","(6.5, 15.0, 12.225)","(3.4, 3.5, 3.1769230769230767)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 14.8)","(5.0, 8.8, 6.5200000000000005)","(7.5, 13.0, 10.75)","(2.5, 4.5, 3.5812500000000003)"
