,Montabot,Namakwa,Our Rebel,Isabellas Spring,Bernies Tiger,Savvy Oak,Reflect The Stars,Suppression,Circling,General Wolffe
14-12-2022 14:32:44.794938,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.0, 16.625)","(21.0, 29.0, 25.5)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.857142857142858)","(7.0, 8.8, 8.52)","(31.0, 42.0, 30.75)"
14-12-2022 14:32:45.931909,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.0, 16.625)","(21.0, 29.0, 25.5)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.857142857142858)","(7.0, 8.8, 8.52)","(31.0, 42.0, 30.75)"
14-12-2022 14:32:47.186283,"(3.9, 4.8, 4.707142857142857)","(15.0, 17.0, 16.625)","(21.0, 29.0, 27.0)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.857142857142858)","(7.0, 8.8, 8.52)","(31.0, 40.0, 33.5)"
14-12-2022 14:32:48.332793,"(3.9, 4.8, 4.707142857142857)","(15.0, 17.0, 16.625)","(21.0, 29.0, 27.0)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.857142857142858)","(7.0, 8.8, 8.52)","(31.0, 40.0, 33.5)"
14-12-2022 14:32:49.522860,"(3.9, 4.8, 4.707142857142857)","(15.0, 17.0, 16.625)","(21.0, 29.0, 27.0)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.8)","(9.0, 11.0, 10.9)","(7.0, 8.8, 8.52)","(31.0, 40.0, 33.5)"
14-12-2022 14:32:50.717692,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 29.0, 27.0)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.8)","(9.0, 11.0, 10.9)","(7.0, 8.8, 8.52)","(31.0, 40.0, 33.5)"
14-12-2022 14:32:51.843601,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 29.0, 27.0)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 33.5)"
14-12-2022 14:32:53.000868,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 29.0, 27.0)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 33.5)"
14-12-2022 14:32:54.157256,"(3.9, 4.8, 4.711111111111111)","(14.0, 17.0, 16.625)","(20.0, 29.0, 27.0)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 33.5)"
14-12-2022 14:32:55.366064,"(3.9, 4.8, 4.711111111111111)","(14.0, 17.0, 16.625)","(20.0, 29.0, 27.0)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 35.666666666666664)"
14-12-2022 14:32:56.484651,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 29.0, 27.0)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 35.666666666666664)"
14-12-2022 14:32:57.614756,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 29.0, 25.5)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 35.666666666666664)"
14-12-2022 14:32:58.827534,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 28.0, 25.6)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 35.666666666666664)"
14-12-2022 14:32:59.998806,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 28.0, 25.6)","(3.9, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.277777777777779)","(5.0, 7.0, 6.8)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 38.333333333333336)"
14-12-2022 14:33:01.230470,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 29.0, 26.2)","(3.9, 5.2, 5.1)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.277777777777779)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.9)","(7.0, 8.8, 8.52)","(31.0, 44.0, 33.8)"
14-12-2022 14:33:02.536164,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 29.0, 24.333333333333332)","(4.0, 5.2, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.277777777777779)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 44.0, 33.8)"
14-12-2022 14:33:03.757806,"(3.9, 4.8, 4.727777777777778)","(14.0, 17.0, 16.625)","(20.0, 29.0, 24.333333333333332)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.277777777777779)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 44.0, 34.5)"
14-12-2022 14:33:04.937876,"(3.9, 4.8, 4.727777777777778)","(14.0, 17.0, 16.625)","(20.0, 29.0, 24.333333333333332)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.277777777777779)","(5.0, 7.0, 6.8)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 42.0, 34.5)"
14-12-2022 14:33:06.135984,"(3.9, 4.8, 4.721739130434782)","(14.0, 17.0, 16.625)","(20.0, 29.0, 24.333333333333332)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.277777777777779)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.9)","(7.0, 8.8, 8.52)","(31.0, 42.0, 33.5)"
14-12-2022 14:33:07.366699,"(3.9, 4.8, 4.705263157894737)","(14.0, 17.0, 16.625)","(20.0, 29.0, 24.1)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.277777777777779)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 34.0)"
14-12-2022 14:33:08.611260,"(3.9, 4.9, 4.765625)","(14.0, 17.0, 16.625)","(20.0, 28.0, 25.6)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 34.0)"
14-12-2022 14:33:09.824375,"(3.9, 4.8, 4.785)","(14.0, 17.0, 16.625)","(20.0, 28.0, 25.6)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.8)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 34.0)"
14-12-2022 14:33:11.026955,"(3.9, 4.8, 4.756666666666667)","(14.0, 17.0, 16.625)","(20.0, 29.0, 23.75)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 33.5)"
14-12-2022 14:33:12.277059,"(3.9, 4.8, 4.756666666666667)","(14.0, 17.0, 16.625)","(20.0, 29.0, 23.75)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 33.5)"
14-12-2022 14:33:13.482345,"(3.9, 4.8, 4.756666666666667)","(14.0, 17.0, 16.625)","(20.0, 29.0, 23.75)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 40.0, 34.333333333333336)"
14-12-2022 14:33:14.642364,"(3.9, 4.8, 4.756666666666667)","(14.0, 17.0, 16.625)","(20.0, 29.0, 23.75)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 38.0, 34.333333333333336)"
14-12-2022 14:33:15.826966,"(3.9, 4.8, 4.756666666666667)","(14.0, 17.0, 16.625)","(20.0, 29.0, 23.75)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 36.0, 32.0)"
14-12-2022 14:33:16.964266,"(3.9, 4.7, 4.604672897196261)","(14.0, 17.0, 16.625)","(20.0, 29.0, 23.75)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.428571428571429)","(5.0, 7.0, 6.788235294117647)","(9.0, 11.0, 10.961538461538462)","(7.0, 8.8, 8.600000000000001)","(31.0, 36.0, 32.666666666666664)"
14-12-2022 14:33:18.051011,"(3.9, 4.6, 4.551724137931035)","(14.0, 17.0, 16.625)","(20.0, 29.0, 23.75)","(4.0, 5.3, 5.125)","(31.0, 60.0, 53.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.788235294117647)","(9.0, 11.5, 10.863636363636363)","(7.0, 8.8, 8.600000000000001)","(31.0, 42.0, 38.05882352941177)"
14-12-2022 14:33:19.174555,"(3.9, 4.6, 4.551724137931035)","(14.0, 17.0, 16.625)","(20.0, 29.0, 23.75)","(4.0, 5.3, 5.208695652173913)","(31.0, 60.0, 55.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.788235294117647)","(9.0, 11.5, 10.847826086956522)","(7.0, 8.8, 8.620689655172415)","(31.0, 40.0, 38.05882352941177)"
14-12-2022 14:33:20.328047,"(3.9, 4.6, 4.5562499999999995)","(14.0, 17.0, 16.625)","(20.0, 29.0, 25.6)","(4.0, 5.3, 5.208695652173913)","(31.0, 60.0, 55.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.788235294117647)","(9.0, 11.5, 10.863636363636363)","(7.0, 8.8, 8.620689655172415)","(31.0, 40.0, 38.05882352941177)"
14-12-2022 14:33:21.463343,"(3.9, 4.6, 4.5562499999999995)","(14.0, 17.0, 16.625)","(20.0, 28.0, 25.6)","(4.0, 5.3, 5.208695652173913)","(31.0, 60.0, 55.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.788235294117647)","(9.0, 11.5, 10.863636363636363)","(7.0, 8.8, 8.620689655172415)","(31.0, 40.0, 38.05882352941177)"
14-12-2022 14:33:22.624576,"(3.9, 4.6, 4.5562499999999995)","(14.0, 17.0, 16.625)","(20.0, 28.0, 25.6)","(4.0, 5.3, 5.208695652173913)","(31.0, 60.0, 60.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.788235294117647)","(9.0, 11.5, 11.166666666666666)","(7.0, 8.8, 8.620689655172415)","(31.0, 40.0, 38.05882352941177)"
14-12-2022 14:33:23.842237,"(3.9, 4.6, 4.5562499999999995)","(14.0, 17.5, 16.375)","(20.0, 28.0, 25.5)","(4.0, 5.3, 5.208695652173913)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.76)","(9.0, 11.5, 11.25)","(7.0, 8.8, 8.620689655172415)","(31.0, 40.0, 34.0)"
14-12-2022 14:33:25.072442,"(3.9, 4.6, 4.5562499999999995)","(14.0, 17.5, 16.375)","(20.0, 29.0, 22.875)","(4.0, 5.3, 5.208695652173913)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.529411764705882)","(5.0, 7.0, 6.815384615384615)","(9.0, 11.5, 11.25)","(7.0, 8.8, 8.612499999999999)","(31.0, 40.0, 34.0)"
14-12-2022 14:33:26.292053,"(3.9, 4.6, 4.43963963963964)","(14.0, 17.5, 16.375)","(20.0, 29.0, 22.0)","(4.0, 5.3, 5.208695652173913)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.529411764705882)","(5.0, 7.0, 6.82)","(9.0, 11.5, 11.333333333333334)","(7.0, 8.8, 8.623076923076923)","(31.0, 40.0, 34.0)"
14-12-2022 14:33:27.523383,"(3.9, 4.5, 4.484444444444445)","(14.0, 17.5, 16.375)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.208695652173913)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.529411764705882)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.2, 8.623076923076923)","(31.0, 40.0, 34.0)"
14-12-2022 14:33:28.726889,"(3.9, 4.6, 4.506046511627907)","(14.0, 17.5, 16.375)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.204545454545454)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.529411764705882)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 38.0, 35.0)"
14-12-2022 14:33:29.845245,"(3.9, 4.6, 4.52887323943662)","(14.0, 17.5, 16.375)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.529411764705882)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 40.0, 35.0)"
14-12-2022 14:33:31.035439,"(3.9, 4.6, 4.54074074074074)","(14.0, 17.5, 16.375)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.815384615384615)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 34.0)"
14-12-2022 14:33:32.186431,"(3.9, 4.6, 4.536666666666666)","(14.0, 17.5, 16.375)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.815384615384615)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 39.111111111111114)"
14-12-2022 14:33:33.355615,"(3.9, 4.6, 4.58080808080808)","(14.0, 17.5, 16.32608695652174)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.815384615384615)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 39.111111111111114)"
14-12-2022 14:33:34.585364,"(3.9, 4.6, 4.561904761904762)","(14.0, 17.5, 16.32608695652174)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 39.111111111111114)"
14-12-2022 14:33:35.791743,"(3.9, 4.5, 4.4879518072289155)","(14.0, 17.5, 16.32608695652174)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 39.111111111111114)"
14-12-2022 14:33:37.014052,"(3.9, 4.5, 4.4879518072289155)","(14.0, 17.5, 16.32608695652174)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 39.111111111111114)"
14-12-2022 14:33:38.225083,"(3.9, 4.5, 4.4879518072289155)","(14.0, 17.5, 16.32608695652174)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 39.111111111111114)"
14-12-2022 14:33:39.416546,"(3.9, 4.5, 4.4879518072289155)","(15.0, 17.5, 16.32608695652174)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 40.375)"
14-12-2022 14:33:40.570588,"(3.9, 4.5, 4.4879518072289155)","(15.0, 17.5, 16.32608695652174)","(20.0, 27.0, 25.0)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 34.0)"
14-12-2022 14:33:41.692683,"(3.9, 4.5, 4.4879518072289155)","(15.0, 17.5, 16.32608695652174)","(20.0, 27.0, 23.571428571428573)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.68)","(31.0, 42.0, 34.0)"
14-12-2022 14:33:42.822812,"(3.9, 4.5, 4.4879518072289155)","(15.0, 17.5, 16.32608695652174)","(20.0, 30.0, 23.571428571428573)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.822222222222223)","(31.0, 42.0, 36.0)"
14-12-2022 14:33:43.984903,"(3.9, 4.5, 4.488505747126437)","(15.0, 17.0, 16.5)","(20.0, 29.0, 24.2)","(4.0, 5.3, 5.189473684210526)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.413793103448276)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.854545454545454)","(31.0, 42.0, 33.0)"
14-12-2022 14:33:45.114989,"(3.9, 4.5, 4.488505747126437)","(15.0, 17.0, 16.5)","(20.0, 29.0, 24.2)","(4.0, 5.3, 5.2124999999999995)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.363636363636363)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.854545454545454)","(31.0, 42.0, 33.0)"
14-12-2022 14:33:46.281542,"(3.9, 4.5, 4.488505747126437)","(15.0, 17.0, 16.5)","(20.0, 29.0, 24.2)","(4.0, 5.3, 5.2124999999999995)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.854545454545454)","(31.0, 42.0, 33.0)"
14-12-2022 14:33:47.528069,"(3.9, 4.5, 4.488505747126437)","(15.0, 17.0, 16.5)","(20.0, 29.0, 24.2)","(4.0, 5.3, 5.2124999999999995)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.854545454545454)","(31.0, 42.0, 33.0)"
14-12-2022 14:33:48.786515,"(3.9, 4.5, 4.488505747126437)","(15.0, 17.0, 16.5)","(20.0, 29.0, 24.2)","(4.0, 5.3, 5.2124999999999995)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.854545454545454)","(31.0, 42.0, 33.0)"
14-12-2022 14:33:49.996333,"(3.9, 4.5, 4.488505747126437)","(15.0, 17.0, 16.5)","(20.0, 29.0, 24.2)","(4.0, 5.3, 5.2124999999999995)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.428571428571429)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.854545454545454)","(31.0, 42.0, 33.0)"
14-12-2022 14:33:51.226970,"(3.9, 4.5, 4.488505747126437)","(15.0, 17.0, 16.5)","(20.0, 29.0, 24.2)","(4.0, 5.3, 5.2124999999999995)","(31.0, 70.0, 60.0)","(8.5, 12.0, 11.375)","(5.0, 7.0, 6.82)","(9.0, 12.0, 11.333333333333334)","(7.0, 9.0, 8.885714285714286)","(31.0, 42.0, 33.0)"
