,Logan Street Lion,Worthily,Mahagoni,Lovely Esteem,Tavion Prince,Yukon,Dr Evil,First Light,Yggdrasil,Naval Seal
07-01-2023 16:06:52.799074,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.754545454545456)","(6.5, 8.0, 7.647826086956521)","(10.0, 13.0, 12.064516129032258)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:06:54.134818,"(5.5, 7.6, 7.412987012987013)","(7.5, 8.8, 8.754545454545456)","(6.5, 8.0, 7.647826086956521)","(10.0, 13.0, 12.064516129032258)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:06:55.497603,"(5.5, 7.6, 7.412987012987013)","(7.5, 8.8, 8.754545454545456)","(6.5, 8.0, 7.647826086956521)","(10.0, 13.0, 12.064516129032258)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:06:56.709293,"(5.5, 7.6, 7.412987012987013)","(7.5, 8.8, 8.754545454545456)","(6.5, 8.0, 7.647826086956521)","(10.0, 13.0, 12.064516129032258)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:06:58.024030,"(5.5, 7.6, 7.412987012987013)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7375)","(10.0, 13.0, 12.064516129032258)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:06:59.321941,"(5.5, 7.6, 7.412987012987013)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.064516129032258)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:00.604463,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.064516129032258)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:01.891279,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:03.156852,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:04.462963,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:05.800782,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:07.078049,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:08.408982,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:09.728938,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.754545454545456)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:11.103856,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.688888888888888)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.666666666666668)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:12.440220,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.688888888888888)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 28.0, 26.666666666666668)","(5.5, 6.4, 6.39047619047619)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:13.835319,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.688888888888888)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 28.0, 26.666666666666668)","(5.5, 6.6, 6.39047619047619)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:15.099386,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.688888888888888)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 28.0, 26.666666666666668)","(5.5, 6.6, 6.39047619047619)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:07:16.372455,"(5.5, 7.6, 7.410526315789474)","(7.5, 8.8, 8.688888888888888)","(6.5, 7.8, 7.7696969696969695)","(10.0, 13.0, 12.151219512195121)","(41.0, 65.0, 61.05263157894737)","(21.0, 28.0, 26.666666666666668)","(5.5, 6.6, 6.39047619047619)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.478632478632479)"
