,Patricias Pride,Tumbling Dice,Burned,Magistrate,Cheeky Willow,Godges,Tequila Worm,Really Royal
10-01-2023 16:56:40.570793,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:41.576659,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:42.628284,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:43.676993,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:44.742587,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:45.859112,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:46.919262,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:47.929790,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:48.909504,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:49.956109,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:50.981529,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:52.040652,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:53.088447,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:54.169176,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:55.188391,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:56.203733,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:57.193468,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:58.176132,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:56:59.159213,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:00.213467,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:01.289659,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5932142857142857)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:02.383850,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:03.446139,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:04.472879,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:05.496281,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:06.509134,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:07.464468,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:08.469356,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:09.521675,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:10.563550,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:11.602286,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:12.580334,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:13.591831,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
10-01-2023 16:57:14.623603,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
