,Jalapeno Lad,Aston Chaffy,Just Buffy,Emerley Sharon,Oda May,Magic Ebbs
08-01-2023 18:26:52.343910,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:53.558626,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 26.38888888888889)"
08-01-2023 18:26:54.773701,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 26.38888888888889)"
08-01-2023 18:26:55.975436,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 26.38888888888889)"
08-01-2023 18:26:57.126674,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 26.38888888888889)"
08-01-2023 18:26:58.285213,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 26.38888888888889)"
08-01-2023 18:26:59.456879,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 26.38888888888889)"
08-01-2023 18:27:00.519983,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 26.38888888888889)"
08-01-2023 18:27:01.665575,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 26.38888888888889)"
08-01-2023 18:27:02.841530,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.2)"
08-01-2023 18:27:03.982518,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.2)"
08-01-2023 18:27:05.161639,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 24.5)"
08-01-2023 18:27:06.198743,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 24.625)"
08-01-2023 18:27:07.230653,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.923076923076923)","(10.0, 28.0, 24.625)"
08-01-2023 18:27:08.373971,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.923076923076923)","(10.0, 28.0, 24.625)"
08-01-2023 18:27:09.599729,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.55)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.923076923076923)","(10.0, 28.0, 24.625)"
08-01-2023 18:27:10.759312,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.55)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.923076923076923)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:11.808049,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.55)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.923076923076923)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:12.859749,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.55)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.923076923076923)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:14.032656,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:15.074334,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:16.150235,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:17.360707,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:18.520209,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:19.598577,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:20.682718,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:21.731175,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:22.719102,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:23.777726,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:24.934937,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:26.027027,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:27.091099,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:28.165283,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.7857142857142865)","(10.0, 28.0, 26.3125)"
08-01-2023 18:27:29.305898,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.791666666666666)","(10.0, 28.0, 18.714285714285715)"
08-01-2023 18:27:30.382013,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.791666666666666)","(10.0, 28.0, 18.714285714285715)"
08-01-2023 18:27:31.530612,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 18.384615384615383)"
08-01-2023 18:27:32.596811,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 18.384615384615383)"
08-01-2023 18:27:33.634232,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 18.384615384615383)"
08-01-2023 18:27:34.760720,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 18.384615384615383)"
08-01-2023 18:27:35.702158,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 18.384615384615383)"
08-01-2023 18:27:36.807616,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 18.384615384615383)"
08-01-2023 18:27:37.989964,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 20.647058823529413)"
08-01-2023 18:27:39.044369,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 26.4375)"
08-01-2023 18:27:39.936993,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 26.4375)"
08-01-2023 18:27:41.039655,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 26.4375)"
08-01-2023 18:27:42.085511,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 26.4375)"
08-01-2023 18:27:43.266048,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 26.4375)"
08-01-2023 18:27:44.411088,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 26.4375)"
08-01-2023 18:27:45.545203,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 28.0, 21.1875)"
08-01-2023 18:27:46.669971,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 22.0, 21.1875)"
08-01-2023 18:27:47.860042,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 22.0, 21.1875)"
08-01-2023 18:27:49.098365,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.928571428571429)","(10.0, 22.0, 21.1875)"
08-01-2023 18:27:50.255740,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 21.0, 23.200000000000003)"
08-01-2023 18:27:51.309940,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 32.0, 21.333333333333332)"
08-01-2023 18:27:52.367663,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 32.0, 21.333333333333332)"
08-01-2023 18:27:53.446308,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 32.0, 21.333333333333332)"
08-01-2023 18:27:54.475037,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 32.0, 21.333333333333332)"
08-01-2023 18:27:55.475074,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 32.0, 22.4)"
08-01-2023 18:27:56.533613,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 24.0, 22.1)"
08-01-2023 18:27:57.634993,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 24.0, 21.75)"
08-01-2023 18:27:58.781105,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 24.0, 22.875)"
08-01-2023 18:27:59.811957,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:00.802942,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.083333333333333)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:01.828875,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 6.083333333333333)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:02.896504,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:03.905044,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:05.005608,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:06.063077,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:07.020998,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:08.000999,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:08.991548,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:10.009978,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:11.024293,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:12.074172,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:13.133795,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:14.105353,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.875)"
08-01-2023 18:28:15.077919,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.3)"
08-01-2023 18:28:16.009626,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.3)"
08-01-2023 18:28:16.900921,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.6875)"
08-01-2023 18:28:17.900360,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 22.6875)"
08-01-2023 18:28:18.951490,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 24.0, 25.3125)"
08-01-2023 18:28:19.864567,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:20.865514,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:21.838671,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 7.0)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:22.802979,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.5)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:23.706804,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.804347826086957)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:24.674036,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.804347826086957)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:25.642908,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.804347826086957)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:26.577796,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.804347826086957)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:27.494026,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.804347826086957)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:28.414319,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.804347826086957)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:29.388418,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.804347826086957)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:30.373406,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.804347826086957)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:31.391613,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.804347826086957)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:32.344733,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.547619047619047)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:33.272280,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.547619047619047)","(10.0, 27.0, 25.3125)"
08-01-2023 18:28:34.243538,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.547619047619047)","(10.0, 27.0, 27.9375)"
08-01-2023 18:28:35.173986,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.547619047619047)","(10.0, 30.0, 27.9375)"
08-01-2023 18:28:36.070706,"(4.6, 7.4, 7.094736842105264)","(3.5, 3.8, 3.525)","(3.4, 5.4, 4.9)","(5.5, 8.4, 7.675000000000001)","(4.8, 11.5, 8.547619047619047)","(10.0, 30.0, 27.9375)"
