,Goldstar Linda,Know Ratio,Smash Wave,Maisey,Ohoka Torey,Epic Blossom,Mine Hunter,Goldstar Ange
05-01-2023 16:41:44.830846,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:45.931852,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:47.056542,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:48.235645,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:49.368931,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:50.481547,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:51.599433,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:52.765298,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:53.951711,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:55.131037,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:56.428267,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:57.620363,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:58.782440,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:42:00.016986,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:42:01.248035,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:42:02.383914,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:42:03.570504,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:42:04.775089,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:42:06.065215,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:42:07.193384,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:42:08.299003,"(1.75, 2.8, 2.6121052631578947)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:42:09.404812,"(1.75, 2.8, 2.6121052631578947)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
