,Hardin,Rocket Ballad,Cristiano Boy,Chartered Course,Comeonturnmeloose,Colonial Road,Mister Deeks
06-01-2023 10:29:50.508316,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:51.532157,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:52.497808,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:53.441695,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:54.373121,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:55.326020,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:56.357260,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:57.320131,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:58.309994,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:59.329724,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:00.317191,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:01.315069,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:02.274357,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:03.237962,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:04.266693,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:05.297662,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:06.303639,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:07.351985,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:08.343494,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:09.333789,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:10.325861,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:11.299737,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:12.242059,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:13.218609,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:14.206853,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:15.212709,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:16.205491,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:17.184382,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:18.157173,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:19.085690,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:20.025880,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:20.971560,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:21.937935,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:22.917261,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:23.906343,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:24.883817,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:25.855279,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:26.825119,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:27.781419,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:28.739549,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:29.742354,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:30.742087,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:31.818006,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:32.892103,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:33.977410,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:35.068469,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:36.093182,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:37.180614,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:38.185133,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:39.245627,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:40.246309,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:41.260126,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:42.257147,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:43.252152,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:44.222990,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:45.229149,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:46.252906,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:47.273005,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:48.272711,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:49.272540,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:50.202740,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:51.140551,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:52.109574,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:53.058798,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:30:54.029510,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
