,Bundy Chelle,Goddess Of War,Cosmic Franky,Bad Habits,Subzero Annie,Barbs Manda,Miss Tallowood,Gold On Black
14-12-2022 12:15:00.708175,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 50.625)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:01.932722,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:03.149445,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:04.388981,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:05.561656,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:06.812584,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:08.078315,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:09.308351,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:10.555271,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:11.833414,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:12.983473,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:14.103404,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:15.218062,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:16.344394,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:17.532015,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:18.724961,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:19.893732,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:21.011092,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:22.084349,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:23.179198,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:24.197437,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:25.248979,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:26.381743,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:27.530133,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:28.658848,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:29.802894,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:30.908540,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:32.265535,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:33.574232,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:34.843752,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:15:36.168509,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8150000000000004)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5)"
14-12-2022 12:15:37.436422,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.675)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5)"
14-12-2022 12:15:38.652215,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.675)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5)"
14-12-2022 12:15:39.874626,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5)"
14-12-2022 12:15:41.010744,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.607142857142857)"
14-12-2022 12:15:42.121348,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:15:43.328554,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:15:44.478266,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:15:45.639817,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 4.111111111111111)"
14-12-2022 12:15:46.785426,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:15:47.863249,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 4.035714285714286)"
14-12-2022 12:15:49.096509,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 4.035714285714286)"
14-12-2022 12:15:50.111996,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 4.035714285714286)"
14-12-2022 12:15:51.152257,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.607142857142857)"
14-12-2022 12:15:52.296045,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:15:53.370152,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:15:54.489093,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:15:55.609958,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:15:56.982062,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8150000000000004)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.9375)"
14-12-2022 12:15:58.405139,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.675)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5714285714285716)"
14-12-2022 12:15:59.605165,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.675)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5384615384615383)"
14-12-2022 12:16:00.828077,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5384615384615383)"
14-12-2022 12:16:02.017161,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5)"
14-12-2022 12:16:03.220056,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.675)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:16:04.482777,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.675)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:16:05.725064,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:16:06.904228,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5)"
14-12-2022 12:16:08.058207,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.607142857142857)"
14-12-2022 12:16:09.210799,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:16:10.392505,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.675)","(12.0, 26.0, 18.75)","(21.0, 95.0, 38.2)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:16:11.579681,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.745)","(12.0, 26.0, 17.944444444444443)","(21.0, 95.0, 50.625)","(71.0, 580.0, 325.0)","(11.0, 28.0, 24.07142857142857)","(3.1, 4.5, 3.5769230769230766)"
14-12-2022 12:16:12.794165,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.745)","(12.0, 26.0, 17.944444444444443)","(21.0, 95.0, 50.625)","(71.0, 580.0, 325.0)","(11.0, 28.0, 24.07142857142857)","(3.1, 4.5, 3.678571428571429)"
14-12-2022 12:16:14.062414,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.675)","(12.0, 26.0, 17.944444444444443)","(21.0, 95.0, 50.625)","(71.0, 580.0, 325.0)","(11.0, 28.0, 24.07142857142857)","(3.1, 4.5, 3.6538461538461537)"
14-12-2022 12:16:15.268783,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.675)","(12.0, 26.0, 17.944444444444443)","(21.0, 95.0, 50.625)","(71.0, 580.0, 325.0)","(11.0, 28.0, 24.07142857142857)","(3.1, 4.5, 3.6538461538461537)"
14-12-2022 12:16:16.452853,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.745)","(12.0, 26.0, 17.944444444444443)","(21.0, 95.0, 43.36363636363636)","(71.0, 580.0, 325.0)","(11.0, 28.0, 24.07142857142857)","(3.1, 4.5, 3.6538461538461537)"
14-12-2022 12:16:17.558135,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.745)","(12.0, 26.0, 14.75)","(21.0, 95.0, 43.36363636363636)","(71.0, 580.0, 325.0)","(11.0, 28.0, 14.666666666666666)","(3.1, 4.5, 3.6538461538461537)"
14-12-2022 12:16:18.776520,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 14.333333333333334)","(21.0, 95.0, 43.36363636363636)","(71.0, 580.0, 325.0)","(11.0, 28.0, 14.666666666666666)","(3.1, 4.5, 4.111111111111111)"
14-12-2022 12:16:19.980395,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.881818181818182)","(12.0, 26.0, 14.333333333333334)","(21.0, 95.0, 43.36363636363636)","(71.0, 580.0, 325.0)","(11.0, 28.0, 14.666666666666666)","(3.1, 4.5, 3.5357142857142856)"
14-12-2022 12:16:21.189688,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.8150000000000004)","(12.0, 26.0, 14.333333333333334)","(21.0, 95.0, 43.36363636363636)","(71.0, 580.0, 325.0)","(11.0, 28.0, 14.666666666666666)","(3.1, 4.5, 4.035714285714286)"
14-12-2022 12:16:22.530550,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.675)","(12.0, 26.0, 14.333333333333334)","(21.0, 95.0, 43.36363636363636)","(71.0, 580.0, 325.0)","(11.0, 28.0, 14.666666666666666)","(3.1, 4.5, 4.035714285714286)"
14-12-2022 12:16:23.702808,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.675)","(12.0, 26.0, 14.333333333333334)","(21.0, 95.0, 43.36363636363636)","(71.0, 580.0, 325.0)","(11.0, 28.0, 14.666666666666666)","(3.1, 4.5, 4.035714285714286)"
14-12-2022 12:16:25.160962,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 45.833333333333336)","(3.0, 4.9, 3.745)","(12.0, 26.0, 14.333333333333334)","(21.0, 95.0, 43.36363636363636)","(71.0, 580.0, 325.0)","(11.0, 28.0, 14.666666666666666)","(3.1, 4.5, 4.035714285714286)"
