,Galactic Ruler,Yankeedelight Nz,Make Your Mark,Rodger James,Elli Mirando,Goodonya Mate,Bettor Move Along,Batavia Reactor,Star Lilly,Happy Dayz
11-01-2023 19:31:57.977176,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 80.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:31:59.379336,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 80.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:00.837288,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:02.370832,"(6.5, 12.5, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 11.791666666666666)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:03.727751,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 13.5, 11.791666666666666)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:05.074961,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 13.5, 12.2)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:06.485250,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 3.0025)","(26.0, 65.0, 47.0)","(9.0, 13.0, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:07.893882,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 3.0025)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:09.323801,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 3.0025)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:10.658824,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 3.0025)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:11.967124,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 3.0025)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:13.218203,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 3.0025)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:14.427031,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 3.0025)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:15.635287,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 3.0025)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:16.905329,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9916666666666667)","(26.0, 65.0, 55.33333333333333)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:18.220267,"(6.5, 12.0, 9.733333333333333)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.85, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 144.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:19.562793,"(6.5, 12.0, 9.45)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 15.5, 14.7375)","(91.0, 160.0, 144.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:20.889758,"(6.5, 12.0, 9.45)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 15.5, 14.7375)","(91.0, 160.0, 144.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:22.262960,"(6.5, 12.0, 9.45)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 15.5, 14.7375)","(91.0, 160.0, 144.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:23.550974,"(6.5, 12.0, 9.45)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 15.5, 11.92)","(91.0, 160.0, 144.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:24.886036,"(6.5, 12.0, 9.45)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 13.0, 11.92)","(91.0, 160.0, 128.0)","(31.0, 100.0, 87.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:26.189186,"(6.5, 12.0, 9.45)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 13.0, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 83.33333333333334)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:27.488685,"(6.5, 12.0, 9.45)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 83.33333333333334)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:28.805271,"(6.5, 12.0, 9.45)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 83.33333333333334)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:30.177101,"(6.5, 12.0, 9.45)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 83.33333333333334)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:31.603352,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 83.33333333333334)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:33.067726,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.065)","(26.0, 65.0, 55.33333333333333)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 83.33333333333334)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:34.521015,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.651578947368421)","(26.0, 65.0, 55.33333333333333)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 83.33333333333334)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:35.982463,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.4057142857142857)","(26.0, 65.0, 55.33333333333333)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 83.33333333333334)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:37.527630,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.4057142857142857)","(26.0, 65.0, 55.33333333333333)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 83.33333333333334)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:38.924680,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.4057142857142857)","(26.0, 65.0, 55.33333333333333)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 65.33333333333333)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:40.485708,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.4057142857142857)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 100.0, 59.75)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:41.932485,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.4057142857142857)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 95.0, 62.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:43.312844,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.3)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:44.713804,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.3)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:46.110954,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.3)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:47.456473,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.3)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.95)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:32:48.868482,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.3)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:50.204513,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.3)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:51.725870,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.3)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:53.279836,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.3)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:54.817977,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.3)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:56.334965,"(6.5, 11.5, 9.566666666666666)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:57.754004,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:32:59.184523,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9074999999999998)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 62.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:33:00.664415,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 76.66666666666667)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:02.181349,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 74.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:03.600808,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 74.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:05.032039,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 74.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:06.360748,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 74.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:07.672820,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 74.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:09.044363,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 74.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:10.440277,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 74.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:11.795385,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 60.666666666666664)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:13.194410,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 60.666666666666664)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:14.663321,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 60.666666666666664)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:16.000504,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 60.666666666666664)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:33:17.342478,"(6.5, 11.0, 9.690909090909091)","(14.0, 99999, 99990)","(2.8, 2.92, 2.9066666666666667)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.8, 3.2119999999999997)","(26.0, 65.0, 47.0)","(9.0, 12.5, 10.02)","(91.0, 140.0, 128.0)","(31.0, 90.0, 60.666666666666664)","(51.0, 160.0, 128.33333333333334)"
