,Paddy Hayze,Capacitor,Striking Stare,Be The Best,Atomic Len,Vibranium,Nomad Road
06-01-2023 12:53:12.564494,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:13.577675,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:14.612855,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:15.557815,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:16.568804,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:17.594203,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:18.646265,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:19.702595,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:20.847025,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:21.950473,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:23.007880,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:24.048668,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:25.069701,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:26.018236,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:27.068113,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:28.113822,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:29.156236,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:30.262948,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:31.337057,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:32.395904,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:33.474027,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:34.548903,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:35.521139,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:36.596216,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:37.627204,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:38.568118,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:39.610264,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:40.636496,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:41.639142,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:42.743623,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:43.783628,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:44.816301,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:45.933653,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:47.021219,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:48.004458,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:49.038344,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:50.057959,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:51.005852,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:52.036626,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:53.063681,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:54.114630,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:55.184127,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:56.257615,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:57.298331,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:58.412096,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:53:59.501332,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:00.571251,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:01.597574,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:02.555805,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:03.509539,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:04.488810,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:05.544604,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:06.539818,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:07.640627,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:08.738915,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:54:09.732395,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:10.694823,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:11.639930,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:12.584135,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:13.649073,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:14.715858,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:15.762486,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:16.857970,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:17.952936,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:18.917951,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:19.938841,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
06-01-2023 12:54:20.965155,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 33.69230769230769)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 33.69230769230769)"
