,Dasha Tullamore,Burnt Brother,Phantom Jasper,Stormy Paradise,Sunset Charlie,Kingsbrae Archie,Liar For Hire,Dixie Kath
15-12-2022 13:03:48.116958,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.21)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.5, 7.9399999999999995)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:03:49.162807,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 82.33333333333333)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.192857142857143)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.0, 8.285714285714285)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:03:50.159310,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 82.33333333333333)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.192857142857143)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.0, 8.285714285714285)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:03:51.169844,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 82.33333333333333)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.192857142857143)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.0, 8.285714285714285)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:03:52.185892,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.6, 5.421428571428571)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.0, 8.285714285714285)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:03:53.241670,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.21)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.0, 8.285714285714285)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:03:54.370906,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.21)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.0, 8.285714285714285)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:03:55.475069,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.21)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.0, 8.285714285714285)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:03:56.605825,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.192857142857143)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.0, 9.75)","(2.5, 4.1, 2.9200000000000004)"
15-12-2022 13:03:57.746705,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.192857142857143)","(21.0, 90.0, 68.75)","(15.0, 55.0, 36.0)","(6.5, 12.0, 10.275)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:03:58.979362,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.51)","(21.0, 90.0, 73.0)","(15.0, 55.0, 38.958333333333336)","(6.5, 11.5, 10.275)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:04:00.127248,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.51)","(21.0, 90.0, 73.0)","(15.0, 55.0, 38.958333333333336)","(6.5, 11.5, 9.363636363636363)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:04:01.223456,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.51)","(21.0, 90.0, 73.0)","(15.0, 55.0, 38.958333333333336)","(6.5, 11.5, 9.363636363636363)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:04:02.345036,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.51)","(21.0, 90.0, 73.0)","(15.0, 55.0, 42.96875)","(6.5, 11.5, 9.363636363636363)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:04:03.450190,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.51)","(21.0, 90.0, 73.0)","(15.0, 55.0, 42.96875)","(6.5, 11.5, 9.363636363636363)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:04:04.516808,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.51)","(21.0, 90.0, 56.0)","(15.0, 55.0, 42.96875)","(6.5, 11.5, 9.615384615384615)","(2.5, 4.0, 2.8533333333333335)"
15-12-2022 13:04:05.541491,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.566666666666666)","(21.0, 90.0, 56.0)","(15.0, 55.0, 42.96875)","(6.5, 11.5, 9.615384615384615)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:04:06.548824,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.566666666666666)","(21.0, 90.0, 56.0)","(15.0, 55.0, 42.96875)","(6.5, 11.5, 9.615384615384615)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:04:07.609709,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.566666666666666)","(21.0, 90.0, 56.0)","(15.0, 55.0, 42.96875)","(6.5, 11.5, 9.615384615384615)","(2.5, 4.1, 2.9200000000000004)"
15-12-2022 13:04:08.684521,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.51)","(21.0, 90.0, 56.0)","(15.0, 34.0, 32.40909090909091)","(6.5, 11.5, 9.615384615384615)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:04:09.741044,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.3)","(21.0, 90.0, 56.0)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.5, 9.615384615384615)","(2.5, 4.0, 3.504)"
15-12-2022 13:04:10.831658,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.405882352941177)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.5, 9.615384615384615)","(2.5, 4.0, 3.436923076923077)"
15-12-2022 13:04:11.967324,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.405882352941177)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.5, 9.615384615384615)","(2.5, 4.0, 3.436923076923077)"
15-12-2022 13:04:13.093866,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.080769230769231)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.1, 3.293333333333333)"
15-12-2022 13:04:14.192907,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.5376470588235294)","(4.0, 6.4, 4.970833333333333)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.1, 3.20625)"
15-12-2022 13:04:15.306826,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.5376470588235294)","(4.0, 6.4, 5.0)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.1, 3.3177777777777777)"
15-12-2022 13:04:16.404067,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.5376470588235294)","(4.0, 6.4, 5.44)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.1, 3.4553846153846153)"
15-12-2022 13:04:17.397294,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.626315789473684)","(4.0, 6.2, 5.32)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.0, 3.005714285714286)"
15-12-2022 13:04:18.391752,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.626315789473684)","(4.0, 6.2, 5.32)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.0, 3.005714285714286)"
15-12-2022 13:04:19.389858,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.4573333333333336)","(4.0, 6.2, 4.88)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.0, 3.544)"
15-12-2022 13:04:20.467351,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.4573333333333336)","(4.0, 6.2, 5.36)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.0, 3.483076923076923)"
15-12-2022 13:04:21.553108,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.4573333333333336)","(4.0, 6.2, 5.36)","(21.0, 90.0, 56.5)","(15.0, 34.0, 32.541666666666664)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.0, 3.2533333333333334)"
15-12-2022 13:04:22.685498,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.4573333333333336)","(4.0, 6.2, 5.321428571428571)","(21.0, 90.0, 56.5)","(15.0, 34.0, 31.166666666666668)","(6.5, 11.0, 9.307692307692307)","(2.5, 4.0, 3.2533333333333334)"
15-12-2022 13:04:23.801849,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.4573333333333336)","(4.0, 6.0, 4.944444444444445)","(21.0, 90.0, 63.84615384615385)","(15.0, 34.0, 31.166666666666668)","(6.5, 11.0, 8.96)","(2.5, 4.0, 3.1414285714285715)"
15-12-2022 13:04:24.855514,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.4573333333333336)","(4.0, 6.0, 4.944444444444445)","(21.0, 90.0, 63.84615384615385)","(15.0, 34.0, 31.166666666666668)","(6.5, 12.5, 8.96)","(2.5, 4.1, 3.4399999999999995)"
15-12-2022 13:04:25.870334,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.7327272727272724)","(4.0, 6.0, 5.357142857142858)","(21.0, 90.0, 63.84615384615385)","(15.0, 34.0, 31.166666666666668)","(6.5, 12.5, 8.96)","(2.5, 4.1, 3.4399999999999995)"
15-12-2022 13:04:26.873342,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.4786666666666664)","(4.0, 6.0, 5.357142857142858)","(21.0, 90.0, 63.84615384615385)","(15.0, 34.0, 31.166666666666668)","(6.5, 12.5, 8.96)","(2.5, 4.1, 3.3788888888888886)"
15-12-2022 13:04:27.930742,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.4786666666666664)","(4.0, 6.0, 5.357142857142858)","(21.0, 90.0, 63.84615384615385)","(15.0, 34.0, 31.166666666666668)","(6.5, 12.5, 8.96)","(2.5, 4.1, 3.3788888888888886)"
15-12-2022 13:04:29.022837,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 75.0)","(2.7, 4.3, 3.4786666666666664)","(4.0, 6.0, 5.357142857142858)","(21.0, 90.0, 63.84615384615385)","(15.0, 34.0, 31.166666666666668)","(6.5, 12.5, 8.96)","(2.5, 4.1, 3.3788888888888886)"
15-12-2022 13:04:30.143429,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 74.63157894736842)","(2.7, 4.3, 2.9666666666666663)","(4.0, 6.0, 5.0)","(21.0, 90.0, 54.266666666666666)","(15.0, 34.0, 31.166666666666668)","(6.5, 12.0, 9.771428571428572)","(2.5, 4.2, 3.365217391304348)"
15-12-2022 13:04:31.248367,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 78.0)","(2.7, 4.3, 2.9666666666666663)","(4.0, 6.0, 5.392857142857142)","(21.0, 90.0, 54.266666666666666)","(15.0, 34.0, 31.166666666666668)","(6.5, 12.0, 9.771428571428572)","(2.5, 4.0, 3.576)"
15-12-2022 13:04:32.406319,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 78.0)","(2.7, 4.3, 2.89375)","(4.0, 6.0, 5.392857142857142)","(21.0, 90.0, 60.666666666666664)","(15.0, 34.0, 31.166666666666668)","(6.5, 8.0, 7.875)","(2.5, 4.0, 3.576)"
15-12-2022 13:04:33.553100,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 78.0)","(2.7, 4.3, 3.4)","(4.0, 5.9, 4.9625)","(21.0, 90.0, 55.33333333333333)","(15.0, 36.0, 32.35)","(6.5, 8.0, 7.875)","(2.5, 3.95, 3.640625)"
15-12-2022 13:04:34.676577,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 78.0)","(2.7, 4.3, 3.4)","(4.0, 5.9, 4.9625)","(21.0, 90.0, 55.33333333333333)","(15.0, 34.0, 32.35)","(6.5, 8.0, 7.875)","(2.5, 3.95, 3.640625)"
15-12-2022 13:04:35.728917,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 78.0)","(2.7, 4.3, 3.4)","(4.0, 5.9, 4.9625)","(21.0, 90.0, 55.33333333333333)","(15.0, 34.0, 29.875)","(6.5, 8.0, 7.666666666666667)","(2.5, 3.95, 3.4749999999999996)"
15-12-2022 13:04:36.746509,"(81.0, 580.0, 509.2857142857142)","(21.0, 110.0, 78.0)","(2.7, 4.2, 3.51)","(4.0, 5.9, 4.9714285714285715)","(21.0, 90.0, 50.61538461538461)","(15.0, 34.0, 31.714285714285715)","(6.5, 8.0, 10.271428571428572)","(2.5, 3.9, 3.3714285714285714)"
15-12-2022 13:04:37.738626,"(81.0, 580.0, 456.25)","(21.0, 110.0, 78.0)","(2.7, 4.2, 3.897777777777778)","(4.0, 5.9, 5.25)","(21.0, 90.0, 50.61538461538461)","(15.0, 34.0, 31.714285714285715)","(6.5, 11.5, 8.6)","(2.5, 3.95, 3.2136363636363634)"
15-12-2022 13:04:38.775918,"(81.0, 580.0, 456.25)","(21.0, 110.0, 78.0)","(2.7, 4.2, 3.817142857142857)","(4.0, 5.9, 5.25)","(21.0, 90.0, 50.61538461538461)","(15.0, 34.0, 31.714285714285715)","(6.5, 11.0, 9.2)","(2.5, 3.95, 3.2136363636363634)"
15-12-2022 13:04:39.823188,"(81.0, 580.0, 456.25)","(21.0, 110.0, 78.0)","(2.7, 4.2, 3.9)","(4.0, 5.9, 5.25)","(21.0, 90.0, 50.61538461538461)","(15.0, 34.0, 31.714285714285715)","(6.5, 11.0, 9.56)","(2.5, 3.95, 3.307142857142857)"
15-12-2022 13:04:40.848906,"(81.0, 580.0, 456.25)","(21.0, 110.0, 78.0)","(2.7, 4.3, 3.9)","(4.0, 5.9, 5.25)","(21.0, 90.0, 50.61538461538461)","(15.0, 34.0, 30.8)","(6.5, 11.0, 9.56)","(2.5, 3.95, 3.6464285714285714)"
15-12-2022 13:04:41.907281,"(81.0, 580.0, 456.25)","(21.0, 120.0, 104.5)","(2.7, 4.3, 3.911428571428571)","(4.0, 5.9, 5.438461538461539)","(21.0, 90.0, 50.61538461538461)","(15.0, 34.0, 42.0)","(6.5, 11.0, 9.56)","(2.5, 3.95, 3.6464285714285714)"
15-12-2022 13:04:42.950633,"(81.0, 580.0, 415.0)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.3, 3.911428571428571)","(4.0, 5.9, 5.438461538461539)","(21.0, 90.0, 44.82352941176471)","(15.0, 48.0, 43.083333333333336)","(6.5, 11.0, 10.9875)","(2.5, 3.95, 3.6464285714285714)"
15-12-2022 13:04:43.987216,"(81.0, 580.0, 415.0)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.3, 3.3285714285714283)","(4.0, 5.9, 5.15)","(21.0, 90.0, 44.82352941176471)","(15.0, 48.0, 43.083333333333336)","(6.5, 11.5, 9.45)","(2.5, 3.95, 3.477777777777778)"
15-12-2022 13:04:45.025877,"(81.0, 580.0, 550.5882352941176)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.1, 3.2714285714285714)","(4.0, 5.9, 5.95)","(21.0, 90.0, 43.77777777777778)","(15.0, 48.0, 38.16666666666667)","(6.5, 11.5, 9.45)","(2.5, 3.95, 3.716666666666667)"
15-12-2022 13:04:46.062056,"(81.0, 580.0, 550.5882352941176)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.0, 3.2933333333333334)","(4.0, 6.2, 5.933333333333334)","(21.0, 90.0, 48.857142857142854)","(15.0, 48.0, 38.16666666666667)","(6.5, 11.5, 9.45)","(2.5, 4.0, 3.89375)"
15-12-2022 13:04:47.095688,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.0, 3.2933333333333334)","(4.0, 6.2, 5.733333333333333)","(21.0, 90.0, 48.857142857142854)","(15.0, 48.0, 38.16666666666667)","(6.5, 11.5, 9.45)","(2.5, 4.0, 3.89375)"
15-12-2022 13:04:48.246914,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.0, 3.2933333333333334)","(4.0, 6.2, 5.733333333333333)","(21.0, 90.0, 48.857142857142854)","(15.0, 48.0, 32.25)","(6.5, 11.5, 9.690909090909091)","(2.5, 4.0, 3.89375)"
15-12-2022 13:04:49.261570,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.0, 3.2933333333333334)","(4.0, 6.2, 5.733333333333333)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 32.25)","(6.5, 11.0, 9.690909090909091)","(2.5, 4.0, 3.89375)"
15-12-2022 13:04:50.268689,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.0, 3.2933333333333334)","(4.0, 6.2, 5.45)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 32.25)","(6.5, 11.0, 9.690909090909091)","(2.5, 4.0, 3.8583333333333334)"
15-12-2022 13:04:51.250654,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.0, 3.2933333333333334)","(4.0, 6.2, 5.550000000000001)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 32.25)","(6.5, 11.0, 9.690909090909091)","(2.5, 4.0, 3.92)"
15-12-2022 13:04:52.300376,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.0, 3.2933333333333334)","(4.0, 5.8, 5.1647058823529415)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 32.25)","(6.5, 11.0, 9.690909090909091)","(2.5, 4.0, 3.8)"
15-12-2022 13:04:53.414171,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.0, 3.2933333333333334)","(4.0, 5.8, 5.1647058823529415)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 32.25)","(6.5, 11.0, 10.9875)","(2.5, 4.0, 3.8)"
15-12-2022 13:04:54.658157,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 4.0, 3.26)","(4.0, 5.8, 5.023529411764706)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 32.25)","(6.5, 11.5, 9.81111111111111)","(2.5, 4.0, 3.657142857142857)"
15-12-2022 13:04:55.801675,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.9, 3.26)","(4.0, 5.8, 5.094117647058823)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 32.25)","(6.5, 10.5, 10.588888888888889)","(2.5, 4.0, 3.7954545454545454)"
15-12-2022 13:04:57.001850,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.9, 3.26)","(4.0, 5.8, 5.094117647058823)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 32.25)","(6.5, 11.5, 10.620000000000001)","(2.5, 4.0, 3.7954545454545454)"
15-12-2022 13:04:58.188549,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.9, 3.26)","(4.0, 5.8, 5.094117647058823)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 38.16666666666667)","(6.5, 12.0, 10.533333333333333)","(2.5, 4.0, 3.7954545454545454)"
15-12-2022 13:04:59.419237,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.9, 3.26)","(4.0, 5.8, 4.9941176470588236)","(21.0, 90.0, 48.857142857142854)","(15.0, 48.0, 38.16666666666667)","(6.5, 12.0, 10.15)","(2.5, 4.0, 3.4833333333333334)"
15-12-2022 13:05:00.545890,"(81.0, 580.0, 541.5384615384615)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.9, 3.26)","(4.0, 5.7, 5.014285714285714)","(21.0, 90.0, 48.857142857142854)","(15.0, 48.0, 38.16666666666667)","(6.5, 12.5, 10.32)","(2.5, 3.95, 3.6714285714285713)"
15-12-2022 13:05:01.753878,"(81.0, 580.0, 481.0)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.9, 3.26)","(4.0, 5.7, 5.073913043478261)","(21.0, 90.0, 48.857142857142854)","(15.0, 48.0, 38.16666666666667)","(6.5, 12.0, 10.15)","(2.5, 3.95, 3.6714285714285713)"
15-12-2022 13:05:02.916770,"(81.0, 580.0, 481.0)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.9, 3.26)","(4.0, 5.7, 5.073913043478261)","(21.0, 90.0, 48.857142857142854)","(15.0, 48.0, 38.16666666666667)","(6.5, 12.5, 9.9)","(2.5, 3.95, 3.6714285714285713)"
15-12-2022 13:05:03.997421,"(81.0, 580.0, 481.0)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.9, 3.26)","(4.0, 5.7, 5.073913043478261)","(21.0, 90.0, 48.857142857142854)","(15.0, 48.0, 38.16666666666667)","(6.5, 12.0, 9.9)","(2.5, 3.95, 3.6714285714285713)"
15-12-2022 13:05:05.041067,"(81.0, 580.0, 481.0)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.9, 3.26)","(4.0, 5.7, 5.073913043478261)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 32.25)","(6.5, 12.5, 9.5625)","(2.5, 3.95, 3.5166666666666666)"
15-12-2022 13:05:06.157122,"(81.0, 580.0, 481.0)","(21.0, 120.0, 79.11111111111111)","(2.7, 3.85, 3.1054545454545455)","(4.0, 5.7, 4.758823529411765)","(21.0, 90.0, 48.857142857142854)","(15.0, 46.0, 38.16666666666667)","(6.5, 12.5, 9.4375)","(2.5, 3.95, 3.8227272727272728)"
