,Quested Bale,Flying Redeemer,Fabs Wasabi,Break The Clouds,Miss Daisy Lee,Coppola Bale,Heavy Load,Lowick Bale
07-12-2022 18:42:28.133503,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:29.371305,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:30.666610,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:31.951577,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:33.261362,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:34.544858,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:35.880203,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:37.251735,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:38.543608,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:39.883466,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:41.241631,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 108.125)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:42.488678,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.0, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 108.125)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:43.884542,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.0, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 108.125)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:45.190237,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.0, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:46.513539,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.0, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:47.826923,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.0, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:49.183346,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.5563106796116504)","(9.0, 17.0, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:50.473210,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.5563106796116504)","(9.0, 17.0, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:51.723029,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.5563106796116504)","(9.0, 17.0, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:53.005178,"(3.0, 6.2, 4.331666666666667)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 14.923076923076923)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:54.287931,"(3.0, 6.2, 4.331666666666667)","(2.4, 3.6, 3.195)","(9.0, 17.0, 15.071428571428573)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.3076923076923075)"
07-12-2022 18:42:55.659374,"(3.0, 6.2, 3.445)","(2.4, 3.6, 3.195)","(9.0, 17.0, 15.071428571428573)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.3076923076923075)"
07-12-2022 18:42:56.993538,"(3.0, 6.2, 3.445)","(2.4, 3.6, 3.195)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.8, 4.933333333333333)"
07-12-2022 18:42:58.241521,"(3.0, 6.2, 3.445)","(2.4, 3.6, 3.195)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.6, 4.933333333333333)"
07-12-2022 18:42:59.479949,"(3.0, 6.2, 3.445)","(2.4, 3.6, 3.195)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 29.944444444444443)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.6, 4.933333333333333)"
07-12-2022 18:43:00.959726,"(3.0, 6.2, 3.445)","(2.4, 3.6, 3.195)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.6, 4.933333333333333)"
07-12-2022 18:43:02.405995,"(3.0, 6.2, 3.904166666666667)","(2.4, 3.6, 3.195)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:03.778760,"(3.0, 6.2, 3.904166666666667)","(2.4, 3.6, 3.195)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:05.177995,"(3.0, 6.2, 3.904166666666667)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 81.75)","(21.0, 55.0, 31.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:06.585762,"(3.0, 6.2, 3.904166666666667)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 81.75)","(21.0, 55.0, 39.57142857142857)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:08.012280,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 105.0)","(21.0, 55.0, 32.77777777777778)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:09.396278,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 105.0)","(21.0, 50.0, 35.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:10.746132,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 105.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:12.025625,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 105.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:13.298206,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:14.561897,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:15.808162,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.6, 3.492857142857143)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:17.140307,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.6, 3.518965517241379)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 6.216666666666667)"
07-12-2022 18:43:18.466864,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.55, 3.4555172413793103)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:19.757986,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.55, 2.418636363636364)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:21.111309,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.65, 2.618333333333333)","(9.0, 17.0, 14.285714285714285)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:22.431595,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.55, 2.5824999999999996)","(9.0, 16.0, 13.176470588235293)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:23.755526,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.55, 2.5671428571428567)","(9.0, 16.0, 13.176470588235293)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:25.101299,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.55, 2.5671428571428567)","(9.0, 16.0, 13.176470588235293)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:26.553437,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.55, 2.5671428571428567)","(9.0, 16.0, 13.176470588235293)","(17.0, 48.0, 30.22222222222222)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:27.991185,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.55, 2.5671428571428567)","(9.0, 16.0, 13.176470588235293)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:29.444467,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.55, 3.1100000000000003)","(9.0, 16.0, 13.176470588235293)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:30.905825,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.45, 3.1100000000000003)","(9.0, 16.0, 15.071428571428573)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:32.346157,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.45, 3.1100000000000003)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:33.653016,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.45, 3.1100000000000003)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:35.105721,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.45, 3.1100000000000003)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 32.77777777777778)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:36.572799,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.45, 2.61625)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 50.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:37.999802,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.4, 2.61625)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:39.417979,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.4, 2.61625)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:40.849275,"(3.0, 6.2, 4.856097560975609)","(2.4, 3.4, 2.61625)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:42.418540,"(3.0, 6.2, 5.775)","(2.4, 3.4, 2.61625)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:43.950841,"(3.0, 6.0, 5.775)","(2.4, 3.4, 2.61625)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:45.405110,"(3.0, 6.0, 5.775)","(2.4, 3.4, 2.600625)","(9.0, 17.0, 13.823529411764707)","(17.0, 48.0, 33.68181818181819)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 128.8235294117647)","(21.0, 55.0, 31.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:46.767417,"(3.0, 6.0, 5.775)","(2.4, 3.35, 2.600625)","(9.0, 17.0, 15.071428571428573)","(17.0, 48.0, 25.5)","(12.0, 36.0, 23.22222222222222)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:48.151885,"(3.0, 6.0, 5.775)","(2.4, 3.35, 2.600625)","(9.0, 17.0, 15.615384615384615)","(17.0, 48.0, 28.0)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:49.709726,"(3.0, 6.0, 5.775)","(2.4, 3.35, 2.415)","(9.0, 17.0, 15.615384615384615)","(17.0, 48.0, 28.0)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:51.144488,"(3.0, 6.0, 5.775)","(2.4, 3.35, 2.614375)","(9.0, 17.0, 15.615384615384615)","(17.0, 48.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:52.610423,"(3.0, 6.0, 5.775)","(2.4, 3.35, 2.992)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:54.017287,"(3.0, 6.0, 5.775)","(2.4, 3.3, 2.992)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:55.437510,"(3.0, 6.0, 5.775)","(2.4, 3.3, 2.713333333333333)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:56.895653,"(3.0, 6.0, 5.775)","(2.4, 3.3, 2.955333333333333)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:58.316189,"(3.0, 6.0, 5.775)","(2.4, 3.3, 2.955333333333333)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:43:59.711490,"(3.0, 6.0, 5.775)","(2.4, 3.3, 3.4309090909090907)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:44:00.965821,"(3.0, 6.0, 4.94)","(2.4, 3.6, 3.4309090909090907)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:44:02.302421,"(3.0, 6.0, 4.94)","(2.4, 3.6, 2.7929411764705883)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:44:03.774843,"(3.0, 6.0, 4.94)","(2.4, 3.55, 2.6307142857142853)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:44:05.160091,"(3.0, 6.0, 4.94)","(2.4, 3.55, 2.6307142857142853)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
07-12-2022 18:44:06.552349,"(3.0, 6.0, 4.94)","(2.4, 3.55, 3.121)","(9.0, 17.0, 15.615384615384615)","(17.0, 50.0, 28.75)","(12.0, 36.0, 22.944444444444443)","(31.0, 240.0, 135.0)","(21.0, 55.0, 35.0)","(3.9, 6.6, 5.133333333333334)"
