,The Girls Have It,Lara Tiara,Rose Of Juliana,Krafty Boy,Chelseas Girl,Karinya Max,Kulani Courage,Preacher Quince,Limousine Cheeky
11-01-2023 19:29:21.631639,"(3.2, 6.2, 5.842857142857143)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 10.0, 8.914285714285715)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:23.013989,"(3.2, 6.2, 5.842857142857143)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.6, 8.575)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:24.433023,"(3.2, 6.2, 5.842857142857143)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.4, 9.2)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:25.698969,"(3.2, 6.2, 5.842857142857143)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 10.0, 9.2)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:27.190142,"(3.2, 6.2, 5.875)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.5)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:28.582255,"(3.2, 6.2, 5.956250000000001)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:30.031947,"(3.2, 6.2, 5.956250000000001)","(6.5, 9.8, 9.12)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:31.791489,"(3.2, 6.2, 5.956250000000001)","(6.5, 9.6, 8.85)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:33.284665,"(3.2, 6.2, 5.956250000000001)","(6.5, 9.6, 8.85)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:34.785996,"(3.2, 6.2, 5.84)","(6.5, 9.6, 8.85)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 20.0)","(6.0, 9.8, 8.200000000000001)","(12.0, 18.0, 15.75)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
