,Frankee Merch,Internet Of Things,I See The Stars,Sugar Daddy,Better Boogie,One More Factor,Halos Dance,Sunman
08-01-2023 13:49:53.853982,"(9.0, 18.5, 13.928571428571429)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 10.04)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:54.900872,"(9.0, 18.5, 13.928571428571429)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:55.941212,"(9.0, 18.5, 13.928571428571429)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:57.057242,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:58.178357,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:49:59.245617,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:50:00.258328,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:50:01.315861,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:50:02.348993,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:50:03.442296,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:50:04.570754,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:50:05.741672,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 177.375)","(26.0, 230.0, 178.5)","(26.0, 210.0, 117.5)"
08-01-2023 13:50:06.740060,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.8, 2.26, 2.1266666666666665)","(6.5, 10.5, 9.575)","(26.0, 230.0, 124.75)","(26.0, 230.0, 178.5)","(26.0, 210.0, 122.5)"
08-01-2023 13:50:07.772319,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.75, 2.2, 1.8819354838709679)","(6.5, 10.5, 9.575)","(26.0, 230.0, 124.75)","(21.0, 230.0, 178.5)","(21.0, 220.0, 122.5)"
08-01-2023 13:50:08.771403,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.75, 2.2, 2.0022222222222226)","(6.5, 10.5, 9.575)","(26.0, 230.0, 124.75)","(21.0, 230.0, 178.5)","(21.0, 220.0, 122.5)"
08-01-2023 13:50:09.865550,"(9.0, 18.0, 15.0)","(21.0, 230.0, 208.4)","(4.0, 8.4, 7.033333333333333)","(1.75, 2.18, 2.007777777777778)","(6.5, 10.5, 9.575)","(26.0, 230.0, 124.75)","(21.0, 230.0, 178.5)","(21.0, 220.0, 122.5)"
