,Trajec Holiday,Lady Lightfeet,Outspend,Marion Grace,Finishing Touch,Lucky Stroke
15-12-2022 11:37:49.332587,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 78.375)"
15-12-2022 11:37:50.341532,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:51.433303,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:52.404144,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:53.305815,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.14)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:54.274587,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:55.285406,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:56.285574,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:57.265104,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.2)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:58.199086,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:59.093074,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:37:59.988244,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:38:00.908325,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:38:01.834825,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:38:02.685177,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 11.75)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:38:03.628434,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 11.75)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:38:04.541862,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 11.75)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 82.7)"
15-12-2022 11:38:05.435382,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.2133333333333334)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:06.327872,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.2133333333333334)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:07.218712,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.2133333333333334)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:08.150143,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:09.015168,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.165714285714286)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:09.926575,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:10.856762,"(12.0, 32.0, 19.4)","(3.3, 6.0, 5.15)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:11.864416,"(12.0, 32.0, 19.4)","(3.3, 6.0, 4.4799999999999995)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.585714285714285)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:13.005195,"(12.0, 32.0, 19.4)","(3.3, 6.2, 4.8)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.875)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:14.016958,"(12.0, 32.0, 19.4)","(3.3, 6.2, 4.8)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.875)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:14.905943,"(12.0, 32.0, 19.4)","(3.3, 6.2, 4.8)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.875)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:15.863163,"(12.0, 32.0, 19.4)","(3.3, 6.2, 4.8)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.16)","(8.5, 14.5, 12.875)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:16.873778,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.9)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.16)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:17.815022,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.9375)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.16)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:18.732966,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.4)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.16)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:19.668831,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.883333333333333)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.16)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:20.652594,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.988888888888889)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:21.747352,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.657142857142857)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:22.881447,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.685714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:23.850441,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.916666666666667)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:24.785865,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.916666666666667)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:25.784156,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.4)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:26.719335,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.883333333333333)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:27.656966,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.883333333333333)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.20875)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:28.732486,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.685714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.24, 1.8924137931034481)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:29.785051,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.685714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.2, 2.04)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:30.887245,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.685714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.18, 1.86)","(8.5, 14.5, 12.7)","(13.0, 100.0, 57.0)"
15-12-2022 11:38:31.894926,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.933333333333334)","(9.0, 13.5, 12.0)","(1.9, 2.28, 1.7644444444444445)","(9.0, 14.5, 12.466666666666667)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:32.767698,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.933333333333334)","(9.0, 13.5, 12.0)","(1.9, 2.26, 1.9949999999999999)","(9.0, 14.5, 12.466666666666667)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:33.751639,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.933333333333334)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.096923076923077)","(9.0, 14.5, 12.466666666666667)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:34.769415,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.933333333333334)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.096923076923077)","(9.0, 14.5, 12.466666666666667)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:35.838644,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.933333333333334)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.1)","(9.0, 14.5, 12.466666666666667)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:36.878315,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.771428571428571)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.1)","(9.0, 14.5, 12.466666666666667)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:37.898159,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.771428571428571)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.1)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:38.885860,"(12.0, 32.0, 19.4)","(3.3, 6.2, 5.771428571428571)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.1)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:39.869267,"(12.0, 32.0, 23.9375)","(3.3, 6.2, 5.771428571428571)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.1)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:40.804760,"(12.0, 32.0, 23.9375)","(3.3, 6.2, 5.771428571428571)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.1)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:41.771236,"(12.0, 32.0, 23.9375)","(3.3, 6.2, 5.771428571428571)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.1)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:42.702289,"(12.0, 32.0, 23.9375)","(3.3, 6.2, 5.771428571428571)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.1)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:43.810946,"(12.0, 32.0, 23.9375)","(3.3, 6.2, 6.116666666666667)","(9.0, 13.5, 12.0)","(1.9, 2.24, 2.128)","(9.0, 14.5, 13.17142857142857)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:44.960008,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.116666666666667)","(9.0, 13.5, 12.0)","(1.9, 2.24, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:45.993727,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.116666666666667)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:46.953575,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.116666666666667)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:47.896970,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.116666666666667)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:48.808035,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.116666666666667)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 11.266666666666666)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:49.751647,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 11.266666666666666)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:50.725834,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 11.266666666666666)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:51.692887,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:52.737570,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:53.713116,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:54.617517,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:55.539417,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:56.527710,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:57.537280,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 14.5, 12.814285714285713)","(14.0, 100.0, 57.0)"
15-12-2022 11:38:58.533793,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 6.25)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 14.5, 13.17142857142857)","(14.0, 100.0, 80.0)"
15-12-2022 11:38:59.525864,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 5.4625)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 80.0)"
15-12-2022 11:39:00.454192,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 5.4625)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 80.0)"
15-12-2022 11:39:01.374579,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 5.4625)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 80.0)"
15-12-2022 11:39:02.337215,"(12.0, 32.0, 23.9375)","(3.3, 6.4, 5.4625)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 80.0)"
15-12-2022 11:39:03.342203,"(12.0, 32.0, 22.785714285714285)","(3.3, 6.4, 5.4625)","(9.0, 13.5, 11.75)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 80.0)"
15-12-2022 11:39:04.394253,"(12.0, 32.0, 22.785714285714285)","(3.3, 6.4, 4.80625)","(9.0, 13.5, 11.75)","(1.9, 1.95, 1.9360869565217391)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 78.375)"
15-12-2022 11:39:05.398995,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.4, 4.80625)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9405882352941175)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 78.375)"
15-12-2022 11:39:06.326058,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.4, 4.80625)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9405882352941175)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 78.375)"
15-12-2022 11:39:07.207398,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.4, 4.80625)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9405882352941175)","(9.0, 15.0, 13.17142857142857)","(14.0, 100.0, 82.7)"
15-12-2022 11:39:08.300892,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.4, 4.80625)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9405882352941175)","(9.0, 15.0, 18.1)","(14.0, 100.0, 82.8)"
15-12-2022 11:39:09.322638,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.4, 4.80625)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9405882352941175)","(9.0, 20.0, 16.385714285714286)","(14.0, 100.0, 82.8)"
15-12-2022 11:39:10.354402,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.2, 5.45)","(9.0, 13.5, 12.0)","(1.9, 1.95, 1.9333333333333333)","(9.0, 19.5, 16.385714285714286)","(14.0, 100.0, 82.8)"
15-12-2022 11:39:11.315001,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.2, 5.45)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9333333333333333)","(9.0, 19.5, 16.385714285714286)","(14.0, 100.0, 82.8)"
15-12-2022 11:39:12.462570,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9333333333333333)","(9.0, 19.5, 16.385714285714286)","(14.0, 100.0, 82.8)"
15-12-2022 11:39:13.521385,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9333333333333333)","(9.0, 19.5, 16.385714285714286)","(14.0, 100.0, 82.8)"
15-12-2022 11:39:14.458207,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9333333333333333)","(9.0, 19.5, 16.385714285714286)","(14.0, 100.0, 82.8)"
15-12-2022 11:39:15.612495,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9981818181818183)","(9.0, 19.5, 16.385714285714286)","(14.0, 100.0, 82.8)"
15-12-2022 11:39:16.883443,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9981818181818183)","(9.0, 19.5, 16.385714285714286)","(14.0, 100.0, 82.8)"
15-12-2022 11:39:18.071174,"(12.0, 32.0, 25.549999999999997)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9981818181818183)","(9.0, 19.5, 16.02857142857143)","(14.0, 100.0, 70.0)"
15-12-2022 11:39:19.296558,"(12.0, 30.0, 25.666666666666664)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9981818181818183)","(9.0, 19.0, 15.4)","(14.0, 95.0, 70.0)"
15-12-2022 11:39:20.370693,"(12.0, 30.0, 20.5)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9981818181818183)","(9.0, 19.0, 15.4)","(14.0, 95.0, 70.0)"
15-12-2022 11:39:21.694097,"(12.0, 30.0, 24.571428571428573)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9981818181818183)","(9.0, 19.0, 15.4)","(14.0, 95.0, 70.0)"
15-12-2022 11:39:22.645170,"(12.0, 30.0, 24.571428571428573)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 2.02, 1.9981818181818183)","(9.0, 19.0, 11.933333333333334)","(14.0, 95.0, 70.0)"
15-12-2022 11:39:23.695137,"(12.0, 30.0, 22.6)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 1.93, 1.9107999999999998)","(9.0, 19.0, 11.933333333333334)","(14.0, 95.0, 70.0)"
15-12-2022 11:39:24.736715,"(12.0, 30.0, 22.6)","(3.3, 6.2, 5.985714285714286)","(9.0, 13.5, 12.0)","(1.9, 1.93, 1.9107999999999998)","(9.0, 19.0, 11.933333333333334)","(14.0, 95.0, 70.0)"
