,Rheinberg,Remix,Pyrois,Nunthorpe,Thesecondatportsea,High Resolution
11-01-2023 14:18:52.449142,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.930555555555555)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:53.438598,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.930555555555555)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:54.433219,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.930555555555555)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:55.403772,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.930555555555555)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:56.342135,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8852941176470588)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:57.375370,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8852941176470588)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:58.418172,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8852941176470588)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 206.0)"
11-01-2023 14:18:59.382274,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8852941176470588)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:00.361923,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:01.375553,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:02.372307,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:03.324303,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:04.215275,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:05.149262,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:06.118142,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:07.198929,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:08.127309,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:09.046126,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:10.065356,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:11.037282,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:12.012623,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:12.919965,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8858064516129032)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:13.889851,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:14.855820,"(4.2, 5.9, 5.738709677419355)","(10.0, 12.0, 11.91891891891892)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:15.782783,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:16.703979,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.15)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:17.644728,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.288888888888889)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:18.597932,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:19.544804,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:20.497891,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:21.442493,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:22.443922,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:23.417557,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:24.342210,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:25.249768,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:26.170265,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.83695652173913)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:27.111396,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:28.028624,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:28.944060,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:29.904803,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:30.884179,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:31.864879,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:32.773523,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:33.705729,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:34.656582,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:35.562312,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:36.488208,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:37.452369,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:38.413576,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.822916666666666)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8872)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:39.334757,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.897435897435898)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:40.256808,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.897435897435898)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:41.145110,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.833333333333334)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:42.094638,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.833333333333334)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:43.119583,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.789473684210526)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:44.056902,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.789473684210526)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:45.055120,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.692307692307692)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:46.043922,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.934782608695652)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:47.052465,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.934782608695652)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:47.963200,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.934782608695652)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:48.873936,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.8125)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:49.785511,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.8125)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:50.671499,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.82258064516129)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:51.532538,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.82258064516129)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:52.515044,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.82258064516129)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:53.476460,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.884615384615385)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:54.393259,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.976190476190476)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:55.298132,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.976190476190476)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:56.201230,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.976190476190476)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:57.168034,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.0, 11.981481481481481)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:58.139262,"(4.2, 5.8, 5.635443037974683)","(10.0, 12.5, 11.817073170731707)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:19:59.048222,"(4.2, 5.8, 5.6405797101449275)","(10.0, 12.5, 11.817073170731707)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:20:00.026116,"(4.2, 5.8, 5.641791044776119)","(10.0, 12.5, 11.817073170731707)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8842857142857141)","(10.0, 16.5, 15.078947368421053)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:20:01.014831,"(4.2, 5.8, 5.641791044776119)","(10.0, 12.5, 11.817073170731707)","(6.0, 7.4, 7.355555555555556)","(1.7, 1.9, 1.8838297872340424)","(10.0, 16.5, 15.0)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:20:01.901995,"(4.2, 5.8, 5.6394366197183095)","(10.0, 12.5, 11.833333333333334)","(6.0, 7.4, 7.34)","(1.7, 1.9, 1.8853846153846152)","(10.0, 16.5, 15.0)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:20:02.762040,"(4.2, 5.8, 5.6394366197183095)","(10.0, 12.0, 11.96774193548387)","(6.0, 7.4, 7.34)","(1.7, 1.9, 1.8853846153846152)","(10.0, 16.5, 15.0)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:20:03.752140,"(4.2, 5.8, 5.6394366197183095)","(10.0, 12.0, 11.96774193548387)","(6.0, 7.4, 7.34)","(1.7, 1.9, 1.8853846153846152)","(10.0, 16.5, 15.0)","(81.0, 440.0, 197.33333333333334)"
11-01-2023 14:20:04.712730,"(4.2, 5.8, 5.6394366197183095)","(10.0, 12.0, 11.96774193548387)","(6.0, 7.4, 7.34)","(1.7, 1.9, 1.8853846153846152)","(10.0, 16.5, 15.0)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:20:05.703247,"(4.2, 5.8, 5.6394366197183095)","(10.0, 12.0, 11.96774193548387)","(6.0, 7.4, 7.34)","(1.7, 1.9, 1.8853846153846152)","(10.0, 16.5, 15.0)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:20:06.602917,"(4.2, 5.8, 5.6394366197183095)","(10.0, 12.0, 11.96774193548387)","(6.0, 7.4, 7.34)","(1.7, 1.9, 1.8853846153846152)","(10.0, 16.5, 15.0)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:20:07.545080,"(4.2, 5.8, 5.6394366197183095)","(10.0, 12.0, 11.96774193548387)","(6.0, 7.4, 7.34)","(1.7, 1.9, 1.8853846153846152)","(10.0, 16.5, 15.0)","(81.0, 440.0, 189.28571428571428)"
11-01-2023 14:20:08.551341,"(4.2, 5.8, 5.6394366197183095)","(10.0, 12.0, 11.96774193548387)","(6.0, 7.4, 7.34)","(1.7, 1.9, 1.8853846153846152)","(10.0, 16.5, 15.0)","(81.0, 440.0, 189.28571428571428)"
